bid,true_type_eval_only,optional_roof_archetype,pipeline_success,val3dity_status,val3dity_valid,h_err,recall_coverage,pred_precision,F_score,vol_ratio,footprint_IoU,Hausdorff,Chamfer,edge_ok,failure_reason
27,complex,hip-like,True,BLOCKED_DEPENDENCY,,0.37500000000000355,0.8335,0.8743333333333333,0.8534285156631208,0.9888413862163961,0.9603404092439642,2.694481946859377,0.32322377628374216,True,VAL3DITY_BLOCKED_DEPENDENCY
28,tri-slope,gable-like,True,BLOCKED_DEPENDENCY,,0.012699999999998823,0.9101666666666667,0.9045,0.9073244856722998,1.2909852622411733,0.9910765383702375,2.798055059006912,0.26673172577892934,True,VAL3DITY_BLOCKED_DEPENDENCY
29,tri-slope,complex-like,True,BLOCKED_DEPENDENCY,,1.7763568394002505e-15,0.9536666666666667,0.9436666666666667,0.9486403138908409,1.7267902131193882,0.9937695163495311,1.51376541691051,0.218987949388258,True,VAL3DITY_BLOCKED_DEPENDENCY
30,gable,gable-like,True,BLOCKED_DEPENDENCY,,3.552713678800501e-15,0.92,0.9466666666666667,0.9331428571428572,0.9427405542835458,0.9999748735181828,2.780803543028114,0.2528050408182487,True,VAL3DITY_BLOCKED_DEPENDENCY
31,tri-slope,gable-like,True,BLOCKED_DEPENDENCY,,2.097999999999999,0.9635,0.9986666666666667,0.980768198420114,0.9861292341612137,0.9999328260551705,2.3894045372233665,0.1901005789622638,True,VAL3DITY_BLOCKED_DEPENDENCY
32,gable,gable-like,True,BLOCKED_DEPENDENCY,,4.224000000000002,0.8121666666666667,0.9151666666666667,0.8605957481024058,0.8549068775927796,0.9999776842989564,4.430579201721283,0.41622858385852957,True,VAL3DITY_BLOCKED_DEPENDENCY
33,tri-slope,gable-like,True,BLOCKED_DEPENDENCY,,0.002999999999996561,0.7418333333333333,0.8555,0.7946223914858097,2.0405437897864194,0.9926985175125133,6.820693749349298,0.5958972015621635,True,LOW_PRECISION_OVERFILL
34,flat,flat-like,True,BLOCKED_DEPENDENCY,,3.552713678800501e-15,0.9641666666666666,0.9673333333333334,0.9657474041476113,1.1765840813390263,0.9866587808742843,1.5873811782966487,0.21512509394807114,True,VAL3DITY_BLOCKED_DEPENDENCY
35,complex,complex-like,True,BLOCKED_DEPENDENCY,,3.552713678800501e-15,0.8665,0.9106666666666666,0.8880345118634531,1.1333730652480245,0.9937146997402093,3.1362304084392227,0.3277153231574248,True,VAL3DITY_BLOCKED_DEPENDENCY
36,gable,complex-like,True,BLOCKED_DEPENDENCY,,3.552713678800501e-15,0.8596666666666667,0.8841666666666667,0.8717445601962471,1.1580585418675065,1.0,4.026986247389679,0.35335960359334234,True,VAL3DITY_BLOCKED_DEPENDENCY
37,gable,complex-like,True,BLOCKED_DEPENDENCY,,2.6290000000000013,0.9538333333333333,0.9991666666666666,0.97597385788246,0.9829546608035925,0.9999077086963701,2.805421817495499,0.2054276877025938,True,VAL3DITY_BLOCKED_DEPENDENCY
38,complex,gable-like,True,BLOCKED_DEPENDENCY,,1.3309999999999995,0.939,0.9193333333333333,0.9290626008968609,0.9998858325603364,0.9979211331146539,2.7011119224207922,0.261323549393441,True,VAL3DITY_BLOCKED_DEPENDENCY
39,gable,flat-like,True,BLOCKED_DEPENDENCY,,0.0259999999999998,0.9845,0.9905,0.9874908860759495,1.1181474377625928,0.9995911191883721,0.6821000430751194,0.18348603137233704,True,VAL3DITY_BLOCKED_DEPENDENCY
40,flat,flat-like,True,BLOCKED_DEPENDENCY,,0.0,0.9985,0.9973333333333333,0.9979163256784969,1.0000042516327314,0.9999999999999966,0.6886047508148846,0.17207857460245296,True,VAL3DITY_BLOCKED_DEPENDENCY
41,flat,flat-like,True,BLOCKED_DEPENDENCY,,1.7763568394002505e-15,0.9983333333333333,0.9986666666666667,0.998499972180493,0.999995918366746,0.9999999999999979,0.6722984223574909,0.17338865770903955,True,VAL3DITY_BLOCKED_DEPENDENCY
42,tri-slope,complex-like,True,BLOCKED_DEPENDENCY,,0.009999999999999787,0.8753333333333333,0.924,0.8990085216746944,1.288358402865864,0.9998930480393837,2.4740569686719582,0.28683964882728175,True,VAL3DITY_BLOCKED_DEPENDENCY
43,gable,flat-like,True,BLOCKED_DEPENDENCY,,0.0,0.9986666666666667,0.9981666666666666,0.9984166040675513,0.9933207102710582,0.9999883083400208,0.6226230043710641,0.18083961185687347,True,VAL3DITY_BLOCKED_DEPENDENCY
44,gable,flat-like,True,BLOCKED_DEPENDENCY,,0.02599999999999625,0.9975,0.9995,0.9984989984977466,0.9975074757951652,0.9999912998741917,0.6621785432105091,0.17234479503475203,True,VAL3DITY_BLOCKED_DEPENDENCY
45,complex,hip-like,True,BLOCKED_DEPENDENCY,,0.8460000000000001,0.986,0.9916666666666667,0.9888252148997134,0.994810865608865,0.9999914124210452,1.017330556201379,0.1814758769218655,True,VAL3DITY_BLOCKED_DEPENDENCY
46,flat,flat-like,True,BLOCKED_DEPENDENCY,,0.0,0.9748333333333333,0.9905,0.982604223202171,0.9993987823598945,0.9899618982885061,0.9017456013931955,0.17907204234738527,True,VAL3DITY_BLOCKED_DEPENDENCY
47,flat,flat-like,True,BLOCKED_DEPENDENCY,,0.0,0.9986666666666667,0.9986666666666667,0.9986666666666667,1.0000047630976776,0.9999999999999964,0.6619432652542749,0.17286713961864764,True,VAL3DITY_BLOCKED_DEPENDENCY
48,tri-slope,complex-like,True,BLOCKED_DEPENDENCY,,0.010999999999997456,0.9283333333333333,0.9361666666666667,0.9322335448884121,1.7140164686586807,0.9920949111550614,1.8331849055916696,0.23384239162873632,True,VAL3DITY_BLOCKED_DEPENDENCY
49,flat,flat-like,True,BLOCKED_DEPENDENCY,,0.0,1.0,0.9993333333333333,0.9996665555185061,1.0000034351998848,0.9999999999999991,0.6005800468426159,0.1539054166602574,True,VAL3DITY_BLOCKED_DEPENDENCY
50,complex,hip-like,True,BLOCKED_DEPENDENCY,,1.5869999999999997,0.855,0.9153333333333333,0.8841385803050273,0.9034548416001702,0.9999468489826483,3.1908948345330965,0.33584325833781625,True,VAL3DITY_BLOCKED_DEPENDENCY
51,tri-slope,gable-like,True,BLOCKED_DEPENDENCY,,0.1059999999999981,0.9541666666666667,0.9673333333333334,0.9607048891201898,1.0083515310246756,0.9999621567018206,1.707904665686862,0.20151286462279358,True,VAL3DITY_BLOCKED_DEPENDENCY
52,tri-slope,gable-like,True,BLOCKED_DEPENDENCY,,0.7950000000000017,0.9461666666666667,0.9743333333333334,0.9600434493332176,0.9848019127921155,0.9940337340958884,1.157734949179106,0.20579350514871758,True,VAL3DITY_BLOCKED_DEPENDENCY
53,tri-slope,complex-like,True,BLOCKED_DEPENDENCY,,0.0,0.8996666666666666,0.9043333333333333,0.9019939640305494,1.0946567955858981,0.988676446920183,2.8295662326958655,0.2752253070390729,True,VAL3DITY_BLOCKED_DEPENDENCY
54,gable,complex-like,True,BLOCKED_DEPENDENCY,,0.010000000000001563,0.9246666666666666,0.943,0.9337433517758343,0.9539917860996419,0.9999678443053865,2.0320156739001987,0.2277701394639292,True,VAL3DITY_BLOCKED_DEPENDENCY
55,gable,gable-like,True,BLOCKED_DEPENDENCY,,0.0,0.9326666666666666,0.9476666666666667,0.9401068368492584,1.0091951559440304,0.9902195836365273,1.5822833264758578,0.23922788647984233,True,VAL3DITY_BLOCKED_DEPENDENCY
56,tri-slope,gable-like,True,BLOCKED_DEPENDENCY,,0.05999999999999872,0.8491666666666666,0.929,0.8872912175461618,0.9009610223562315,0.9989649066808277,4.254408038704352,0.322722895487119,True,VAL3DITY_BLOCKED_DEPENDENCY
57,hip,hip-like,True,BLOCKED_DEPENDENCY,,0.005299999999998306,0.9603333333333334,0.9515,0.9558962601342516,1.0227394794247493,0.9934060281490331,2.2136376981197765,0.19480221626960045,True,VAL3DITY_BLOCKED_DEPENDENCY
58,hip,gable-like,True,BLOCKED_DEPENDENCY,,0.007799999999999585,0.8905,0.9275,0.9086234873487348,1.0760391444046837,0.9820644532633406,2.4283020004898868,0.2727138090932361,True,VAL3DITY_BLOCKED_DEPENDENCY
59,tri-slope,complex-like,True,BLOCKED_DEPENDENCY,,0.0,0.9656666666666667,0.9851666666666666,0.9753192083155346,0.9827263161875884,0.9928365540680157,1.278212234909043,0.18887989134447292,True,VAL3DITY_BLOCKED_DEPENDENCY
60,hip,hip-like,True,BLOCKED_DEPENDENCY,,2.5490000000000013,0.8196666666666667,0.9193333333333333,0.8666439205162609,0.8606414729789484,0.9963446591700252,2.6543840616526473,0.39799787517229124,True,VAL3DITY_BLOCKED_DEPENDENCY
61,tri-slope,hip-like,True,BLOCKED_DEPENDENCY,,3.552713678800501e-15,0.899,0.8975,0.8982493737823546,1.7064022192520547,0.9997717933862559,2.968359785118919,0.2974473261809941,True,VAL3DITY_BLOCKED_DEPENDENCY
62,complex,gable-like,True,BLOCKED_DEPENDENCY,,0.08799999999999741,0.908,0.943,0.9251690977849811,0.959771731075652,0.9955459906333691,2.011300980882666,0.2511192152658821,True,VAL3DITY_BLOCKED_DEPENDENCY
63,complex,hip-like,True,BLOCKED_DEPENDENCY,,0.0,0.9051666666666667,0.8996666666666666,0.9024082863914796,1.7262538370841674,0.9990587723085729,2.1526409566833715,0.28229917795737436,True,VAL3DITY_BLOCKED_DEPENDENCY
64,complex,hip-like,True,BLOCKED_DEPENDENCY,,0.0,0.5893333333333334,0.7455,0.6582814333874392,0.6404462390690479,0.9998768407375365,5.374955332897216,0.8067728400059377,True,VAL3DITY_BLOCKED_DEPENDENCY
65,gable,complex-like,True,BLOCKED_DEPENDENCY,,0.0,0.9093333333333333,0.9365,0.922716749435666,0.9454696787400929,0.999991262948612,2.419771422570217,0.2450843555006772,True,VAL3DITY_BLOCKED_DEPENDENCY
66,tri-slope,gable-like,True,BLOCKED_DEPENDENCY,,0.0,0.8901666666666667,0.9245,0.907008541513593,0.9534892507389313,0.9999944522924361,2.1469208026514703,0.2599697341389126,True,VAL3DITY_BLOCKED_DEPENDENCY
67,flat,flat-like,True,BLOCKED_DEPENDENCY,,0.0,0.999,0.9981666666666666,0.9985831594759242,0.9999905673446986,0.9999999999999996,0.6637308712631573,0.17109875185696394,True,VAL3DITY_BLOCKED_DEPENDENCY
68,tri-slope,gable-like,True,BLOCKED_DEPENDENCY,,2.9579999999999984,0.8243333333333334,0.9345,0.8759664550364825,0.9104372853881616,0.9998438351508959,4.095862546124559,0.3436686297143442,True,VAL3DITY_BLOCKED_DEPENDENCY
69,gable,complex-like,True,BLOCKED_DEPENDENCY,,0.0,0.965,0.9601666666666666,0.9625772660375724,0.9770114993842732,0.9999926372864328,1.6036356984826463,0.2013950408762438,True,VAL3DITY_BLOCKED_DEPENDENCY
70,flat,flat-like,True,BLOCKED_DEPENDENCY,,0.0,0.9991666666666666,0.9998333333333334,0.9994998888333054,1.0013136398086429,0.9974522090201008,0.535380164299697,0.16175572498123997,True,VAL3DITY_BLOCKED_DEPENDENCY
71,flat,flat-like,True,BLOCKED_DEPENDENCY,,0.0,0.9788333333333333,0.9866666666666667,0.9827343904576161,0.5752003865074083,0.9912229351832778,1.2285995759926045,0.18134695581780036,True,VAL3DITY_BLOCKED_DEPENDENCY
72,complex,hip-like,True,BLOCKED_DEPENDENCY,,0.02050000000000196,0.8188333333333333,0.83,0.8243788537349641,0.9196077700879874,0.9871287657887039,3.5225791332596144,0.41525459927629943,True,VAL3DITY_BLOCKED_DEPENDENCY
73,complex,hip-like,True,BLOCKED_DEPENDENCY,,0.0,0.8173333333333334,0.8465,0.8316610237403587,0.864432881869128,0.9730157648853349,2.9718307926753718,0.3666978839789202,True,VAL3DITY_BLOCKED_DEPENDENCY
74,complex,hip-like,True,BLOCKED_DEPENDENCY,,0.029599999999998516,0.8245,0.7921666666666667,0.80801,2.252080422012214,0.9903581121914032,3.1807445504883844,0.45665220911824045,True,LOW_PRECISION_OVERFILL
75,hip,hip-like,True,BLOCKED_DEPENDENCY,,1.7763568394002505e-15,0.9685,0.9781666666666666,0.9733093321917807,1.5605372963816315,0.9906874396858354,1.112088453141684,0.22062517396911463,True,VAL3DITY_BLOCKED_DEPENDENCY
76,hip,gable-like,True,BLOCKED_DEPENDENCY,,0.0,0.8413333333333334,0.9205,0.8791380191088828,0.9656006549547387,0.9375952259786225,2.7153321217486193,0.32492082199964545,True,VAL3DITY_BLOCKED_DEPENDENCY
