building_id,short_id,delta_rms_s0_minus_s1_m,s0_median_gs_r1_rms_m,s1_median_gs_r1_rms_m,texture_signal_1_minus_lowtex_frac,texture_signal_1_minus_lowtex_v5,roof_lowtex_frac,roof_lowtex_v5,roof_obs_covered_frac,render_backproj_coverage_median,readout_post_sor_coverage_median,recon_score_median,route_label
DEBY_LOD2_108247351,108247351,1.3735999999999997,14.7778,13.4042,0.8260000000000001,0.45099999999999996,0.174,0.549,1.0,0.1577,0.0385,74.873,input_low_observed_occluded
DEBY_LOD2_4907184,4907184,1.1100999999999999,1.4341,0.324,0.984,0.802,0.016,0.198,1.0,1.0,1.0,127.033,normal
DEBY_LOD2_4907185,4907185,1.4989000000000001,3.4967,1.9978,0.94,0.6619999999999999,0.06,0.338,1.0,0.7453,0.4969,129.596,normal
DEBY_LOD2_4907186,4907186,3.8686000000000007,9.4128,5.5442,0.947,0.39,0.053,0.61,1.0,0.6984,0.0966,68.276,defect
DEBY_LOD2_4907188,4907188,0.4316000000000013,8.9083,8.4767,0.937,0.402,0.063,0.598,1.0,0.3268,0.0602,64.062,defect
DEBY_LOD2_4907195,4907195,1.0335999999999994,4.8325,3.7989,0.927,0.268,0.073,0.732,1.0,0.4127,0.2577,42.14,defect
DEBY_LOD2_4907198,4907198,1.3286000000000002,2.8936,1.565,0.969,0.359,0.031,0.641,1.0,0.5431,0.2754,86.069,normal
DEBY_LOD2_4907202,4907202,14.076149999999998,14.65815,0.582,0.915,0.43799999999999994,0.085,0.562,1.0,1.0,0.532,84.473,normal
DEBY_LOD2_4908168,4908168,1.545,1.8959,0.3509,0.957,0.30600000000000005,0.043,0.694,1.0,0.6316,0.6404,160.781,normal
DEBY_LOD2_4908178,4908178,10.9323,11.7012,0.7689,0.971,0.594,0.029,0.406,1.0,1.0,0.4626,63.723,normal
DEBY_LOD2_60098,60098,8.945450000000001,14.66695,5.7215,0.94,0.45599999999999996,0.06,0.544,1.0,0.5217,0.1403,78.074,defect
DEBY_LOD2_8568391,8568391,-3.2426000000000013,9.943,13.1856,0.963,0.46399999999999997,0.037,0.536,1.0,1.0,0.0181,86.872,input_textureless_observed
