building_id,short_id,source,source_run,display_label,has_lod22,completeness,correctness,ref_rms_m,roof_planes,shell_bucket,status,texture_lens,observation_lens,complexity_lens,size_lens,label_lens,n_views_nadir,roof_obs_covered_frac,roof_lowtex_frac,roof_lowtex_v5,occlusion_frac_approx,recon_score_median
DEBY_LOD2_4907195,4907195,raw_dense,raw_dense,raw dense(MVS),true,0.5000,0.5000,0.2698,2,조립,success,not_reviewed,low,low,mid,none,0.0,1.0,0.073,0.732,0.0,42.14
DEBY_LOD2_4907198,4907198,raw_dense,raw_dense,raw dense(MVS),true,0.2500,1.0000,2.1275,1,조립,success,not_reviewed,mid,high,high,none,0.09,1.0,0.031,0.641,0.25,86.069
DEBY_LOD2_4907199,4907199,raw_dense,raw_dense,raw dense(MVS),false,0.0000,,,0,미조립,failure,무텍스처,mid,low,low,무텍스처,0.0,1.0,0.108,0.656,0.273,84.618
DEBY_LOD2_4907202,4907202,raw_dense,raw_dense,raw dense(MVS),true,1.0000,0.6667,0.5637,3,조립,success,not_reviewed,mid,low,mid,none,1.94,1.0,0.085,0.562,0.333,84.473
DEBY_LOD2_4908168,4908168,raw_dense,raw_dense,raw dense(MVS),true,1.0000,1.0000,0.1789,1,조립,success,not_reviewed,high,low,low,none,2.9,1.0,0.043,0.694,0.571,160.781
DEBY_LOD2_4908178,4908178,raw_dense,raw_dense,raw dense(MVS),true,0.5000,1.0000,0.6249,1,조립,success,not_reviewed,low,low,low,none,0.32,1.0,0.029,0.406,0.455,63.723
DEBY_LOD2_4908179,4908179,raw_dense,raw_dense,raw dense(MVS),false,0.0000,,,0,미조립,failure,not_reviewed,mid,low,low,none,0.0,1.0,0.042,0.429,0.375,75.129
DEBY_LOD2_60098,60098,raw_dense,raw_dense,raw dense(MVS),true,1.0000,0.6667,2.9920,3,조립,success,not_reviewed,mid,low,mid,none,0.0,1.0,0.06,0.544,0.0,78.074
DEBY_LOD2_8568391,8568391,raw_dense,raw_dense,raw dense(MVS),false,0.0000,,,0,미조립,failure,무텍스처,mid,low,low,무텍스처,1.02,1.0,0.037,0.536,0.625,86.872
DEBY_LOD2_8568392,8568392,raw_dense,raw_dense,raw dense(MVS),false,0.0000,,,0,미조립,failure,lowtex_high,mid,low,low,복합(소형+재질),2.25,1.0,0.038,0.549,0.75,94.587
DEBY_LOD2_108247349,108247349,raw_acmp,raw_acmp,raw acmp,false,0.0000,,,0,미조립,failure,not_reviewed,mid,low,low,none,0.0,1.0,0.019,0.576,0.333,71.823
DEBY_LOD2_108247350,108247350,raw_acmp,raw_acmp,raw acmp,true,0.0000,0.0000,13.3698,1,조립,success,lowtex_mid,mid,low,low,복합(소형+가림),0.0,1.0,0.063,0.49,0.625,67.515
DEBY_LOD2_108247351,108247351,raw_acmp,raw_acmp,raw acmp,true,0.0000,0.0000,10.8289,1,조립,success,복합(저조도+가림),mid,low,low,복합(저조도+가림),0.0,1.0,0.174,0.549,0.556,74.873
DEBY_LOD2_4907184,4907184,raw_acmp,raw_acmp,raw acmp,true,1.0000,0.8000,2.1372,5,조립,success,not_reviewed,high,high,high,none,1.42,1.0,0.016,0.198,0.0,127.033
DEBY_LOD2_4907185,4907185,raw_acmp,raw_acmp,raw acmp,true,1.0000,0.3333,1.7903,6,조립,success,not_reviewed,high,low,mid,none,0.65,1.0,0.06,0.338,0.2,129.596
DEBY_LOD2_4907186,4907186,raw_acmp,raw_acmp,raw acmp,true,1.0000,0.5000,2.4179,4,조립,success,not_reviewed,mid,low,mid,none,0.0,1.0,0.053,0.61,0.0,68.276
DEBY_LOD2_4907188,4907188,raw_acmp,raw_acmp,raw acmp,true,1.0000,0.5000,1.8306,4,조립,success,not_reviewed,low,low,mid,none,0.0,1.0,0.063,0.598,0.4,64.062
DEBY_LOD2_4907194,4907194,raw_acmp,raw_acmp,raw acmp,true,1.0000,0.2857,1.7648,7,조립,success,not_reviewed,low,low,mid,none,0.0,1.0,0.056,0.708,0.0,51.146
DEBY_LOD2_4907195,4907195,raw_acmp,raw_acmp,raw acmp,true,1.0000,0.5000,2.2543,4,조립,success,not_reviewed,low,low,mid,none,0.0,1.0,0.073,0.732,0.0,42.14
DEBY_LOD2_4907198,4907198,raw_acmp,raw_acmp,raw acmp,true,1.0000,0.6667,2.1713,6,조립,success,not_reviewed,mid,high,high,none,0.09,1.0,0.031,0.641,0.25,86.069
DEBY_LOD2_4907199,4907199,raw_acmp,raw_acmp,raw acmp,false,0.0000,,,0,미조립,failure,무텍스처,mid,low,low,무텍스처,0.0,1.0,0.108,0.656,0.273,84.618
DEBY_LOD2_4907202,4907202,raw_acmp,raw_acmp,raw acmp,true,1.0000,0.6667,2.1561,3,조립,success,not_reviewed,mid,low,mid,none,1.94,1.0,0.085,0.562,0.333,84.473
DEBY_LOD2_4908168,4908168,raw_acmp,raw_acmp,raw acmp,true,1.0000,1.0000,2.0838,1,조립,success,not_reviewed,high,low,low,none,2.9,1.0,0.043,0.694,0.571,160.781
DEBY_LOD2_4908178,4908178,raw_acmp,raw_acmp,raw acmp,false,0.0000,,,0,미조립,failure,not_reviewed,low,low,low,none,0.32,1.0,0.029,0.406,0.455,63.723
DEBY_LOD2_4908179,4908179,raw_acmp,raw_acmp,raw acmp,false,0.0000,,,0,미조립,failure,not_reviewed,mid,low,low,none,0.0,1.0,0.042,0.429,0.375,75.129
DEBY_LOD2_60098,60098,raw_acmp,raw_acmp,raw acmp,true,1.0000,0.5000,1.9607,4,무효·붕괴,failure,not_reviewed,mid,low,mid,none,0.0,1.0,0.06,0.544,0.0,78.074
DEBY_LOD2_8568391,8568391,raw_acmp,raw_acmp,raw acmp,false,0.0000,,,0,미조립,failure,무텍스처,mid,low,low,무텍스처,1.02,1.0,0.037,0.536,0.625,86.872
DEBY_LOD2_8568392,8568392,raw_acmp,raw_acmp,raw acmp,false,0.0000,,,0,미조립,failure,lowtex_high,mid,low,low,복합(소형+재질),2.25,1.0,0.038,0.549,0.75,94.587
DEBY_LOD2_108247349,108247349,lidar,lidar,LiDAR (완전측량 기준선),false,0.0000,,,0,미조립,failure,not_reviewed,mid,low,low,none,0.0,1.0,0.019,0.576,0.333,71.823
DEBY_LOD2_108247350,108247350,lidar,lidar,LiDAR (완전측량 기준선),true,1.0000,1.0000,0.0073,1,조립,success,lowtex_mid,mid,low,low,복합(소형+가림),0.0,1.0,0.063,0.49,0.625,67.515
DEBY_LOD2_108247351,108247351,lidar,lidar,LiDAR (완전측량 기준선),true,1.0000,0.5000,1.0524,2,조립,success,복합(저조도+가림),mid,low,low,복합(저조도+가림),0.0,1.0,0.174,0.549,0.556,74.873
DEBY_LOD2_4907184,4907184,lidar,lidar,LiDAR (완전측량 기준선),true,1.0000,0.5714,3.0085,7,무효·붕괴,failure,not_reviewed,high,high,high,none,1.42,1.0,0.016,0.198,0.0,127.033
DEBY_LOD2_4907185,4907185,lidar,lidar,LiDAR (완전측량 기준선),true,1.0000,0.5000,0.2677,4,조립,success,not_reviewed,high,low,mid,none,0.65,1.0,0.06,0.338,0.2,129.596
DEBY_LOD2_4907186,4907186,lidar,lidar,LiDAR (완전측량 기준선),true,1.0000,0.4000,0.4070,5,조립,success,not_reviewed,mid,low,mid,none,0.0,1.0,0.053,0.61,0.0,68.276
DEBY_LOD2_4907188,4907188,lidar,lidar,LiDAR (완전측량 기준선),true,1.0000,0.5000,0.1736,4,조립,success,not_reviewed,low,low,mid,none,0.0,1.0,0.063,0.598,0.4,64.062
DEBY_LOD2_4907194,4907194,lidar,lidar,LiDAR (완전측량 기준선),false,0.0000,,,0,미조립,failure,not_reviewed,low,low,mid,none,0.0,1.0,0.056,0.708,0.0,51.146
DEBY_LOD2_4907195,4907195,lidar,lidar,LiDAR (완전측량 기준선),true,1.0000,0.6667,0.2512,3,조립,success,not_reviewed,low,low,mid,none,0.0,1.0,0.073,0.732,0.0,42.14
DEBY_LOD2_4907198,4907198,lidar,lidar,LiDAR (완전측량 기준선),true,1.0000,1.0000,0.1859,4,조립,success,not_reviewed,mid,high,high,none,0.09,1.0,0.031,0.641,0.25,86.069
DEBY_LOD2_4907199,4907199,lidar,lidar,LiDAR (완전측량 기준선),true,1.0000,1.0000,0.0315,1,조립,success,무텍스처,mid,low,low,무텍스처,0.0,1.0,0.108,0.656,0.273,84.618
DEBY_LOD2_4907202,4907202,lidar,lidar,LiDAR (완전측량 기준선),true,1.0000,0.5000,1.0143,4,조립,success,not_reviewed,mid,low,mid,none,1.94,1.0,0.085,0.562,0.333,84.473
DEBY_LOD2_4908168,4908168,lidar,lidar,LiDAR (완전측량 기준선),true,1.0000,1.0000,0.0975,1,조립,success,not_reviewed,high,low,low,none,2.9,1.0,0.043,0.694,0.571,160.781
DEBY_LOD2_4908178,4908178,lidar,lidar,LiDAR (완전측량 기준선),true,1.0000,0.6667,0.9970,3,조립,success,not_reviewed,low,low,low,none,0.32,1.0,0.029,0.406,0.455,63.723
DEBY_LOD2_4908179,4908179,lidar,lidar,LiDAR (완전측량 기준선),false,0.0000,,,0,미조립,failure,not_reviewed,mid,low,low,none,0.0,1.0,0.042,0.429,0.375,75.129
DEBY_LOD2_60098,60098,lidar,lidar,LiDAR (완전측량 기준선),true,1.0000,0.4000,2.8175,5,조립,success,not_reviewed,mid,low,mid,none,0.0,1.0,0.06,0.544,0.0,78.074
DEBY_LOD2_8568391,8568391,lidar,lidar,LiDAR (완전측량 기준선),true,1.0000,1.0000,0.0365,1,조립,success,무텍스처,mid,low,low,무텍스처,1.02,1.0,0.037,0.536,0.625,86.872
DEBY_LOD2_8568392,8568392,lidar,lidar,LiDAR (완전측량 기준선),true,1.0000,1.0000,0.1038,1,조립,success,lowtex_high,mid,low,low,복합(소형+재질),2.25,1.0,0.038,0.549,0.75,94.587
DEBY_LOD2_108247349,108247349,reference,reference,참조 LoD2,true,1.0000,1.0000,0.0000,1,참조,,not_reviewed,mid,low,low,none,0.0,1.0,0.019,0.576,0.333,71.823
DEBY_LOD2_108247350,108247350,reference,reference,참조 LoD2,true,1.0000,1.0000,0.0000,1,참조,,lowtex_mid,mid,low,low,복합(소형+가림),0.0,1.0,0.063,0.49,0.625,67.515
DEBY_LOD2_108247351,108247351,reference,reference,참조 LoD2,true,1.0000,1.0000,0.0000,1,참조,,복합(저조도+가림),mid,low,low,복합(저조도+가림),0.0,1.0,0.174,0.549,0.556,74.873
DEBY_LOD2_4907184,4907184,reference,reference,참조 LoD2,true,1.0000,1.0000,0.0000,4,참조,,not_reviewed,high,high,high,none,1.42,1.0,0.016,0.198,0.0,127.033
DEBY_LOD2_4907185,4907185,reference,reference,참조 LoD2,true,1.0000,1.0000,0.0000,2,참조,,not_reviewed,high,low,mid,none,0.65,1.0,0.06,0.338,0.2,129.596
DEBY_LOD2_4907186,4907186,reference,reference,참조 LoD2,true,1.0000,1.0000,0.0000,2,참조,,not_reviewed,mid,low,mid,none,0.0,1.0,0.053,0.61,0.0,68.276
DEBY_LOD2_4907188,4907188,reference,reference,참조 LoD2,true,1.0000,1.0000,0.0000,2,참조,,not_reviewed,low,low,mid,none,0.0,1.0,0.063,0.598,0.4,64.062
DEBY_LOD2_4907194,4907194,reference,reference,참조 LoD2,true,1.0000,1.0000,0.0000,2,참조,,not_reviewed,low,low,mid,none,0.0,1.0,0.056,0.708,0.0,51.146
DEBY_LOD2_4907195,4907195,reference,reference,참조 LoD2,true,1.0000,1.0000,0.0000,2,참조,,not_reviewed,low,low,mid,none,0.0,1.0,0.073,0.732,0.0,42.14
DEBY_LOD2_4907198,4907198,reference,reference,참조 LoD2,true,1.0000,1.0000,0.0000,4,참조,,not_reviewed,mid,high,high,none,0.09,1.0,0.031,0.641,0.25,86.069
DEBY_LOD2_4907199,4907199,reference,reference,참조 LoD2,true,1.0000,1.0000,0.0000,1,참조,,무텍스처,mid,low,low,무텍스처,0.0,1.0,0.108,0.656,0.273,84.618
DEBY_LOD2_4907202,4907202,reference,reference,참조 LoD2,true,1.0000,1.0000,0.0000,2,참조,,not_reviewed,mid,low,mid,none,1.94,1.0,0.085,0.562,0.333,84.473
DEBY_LOD2_4908168,4908168,reference,reference,참조 LoD2,true,1.0000,1.0000,0.0000,1,참조,,not_reviewed,high,low,low,none,2.9,1.0,0.043,0.694,0.571,160.781
DEBY_LOD2_4908178,4908178,reference,reference,참조 LoD2,true,1.0000,1.0000,0.0000,2,참조,,not_reviewed,low,low,low,none,0.32,1.0,0.029,0.406,0.455,63.723
DEBY_LOD2_4908179,4908179,reference,reference,참조 LoD2,true,1.0000,1.0000,0.0000,1,참조,,not_reviewed,mid,low,low,none,0.0,1.0,0.042,0.429,0.375,75.129
DEBY_LOD2_60098,60098,reference,reference,참조 LoD2,true,1.0000,1.0000,0.0000,2,참조,,not_reviewed,mid,low,mid,none,0.0,1.0,0.06,0.544,0.0,78.074
DEBY_LOD2_8568391,8568391,reference,reference,참조 LoD2,true,1.0000,1.0000,0.0000,1,참조,,무텍스처,mid,low,low,무텍스처,1.02,1.0,0.037,0.536,0.625,86.872
DEBY_LOD2_8568392,8568392,reference,reference,참조 LoD2,true,1.0000,1.0000,0.0000,1,참조,,lowtex_high,mid,low,low,복합(소형+재질),2.25,1.0,0.038,0.549,0.75,94.587
DEBY_LOD2_108247349,108247349,gs_s1_sparse,base__gs_e5_C001_s1_sparse_r1,base sparse r1,true,0.0000,0.0000,45.5241,1,무효·붕괴,success,not_reviewed,mid,low,low,none,0.0,1.0,0.019,0.576,0.333,71.823
DEBY_LOD2_108247350,108247350,gs_s1_sparse,base__gs_e5_C001_s1_sparse_r1,base sparse r1,false,0.0000,,,0,미조립,failure,lowtex_mid,mid,low,low,복합(소형+가림),0.0,1.0,0.063,0.49,0.625,67.515
DEBY_LOD2_108247351,108247351,gs_s1_sparse,base__gs_e5_C001_s1_sparse_r1,base sparse r1,false,0.0000,,,0,미조립,failure,복합(저조도+가림),mid,low,low,복합(저조도+가림),0.0,1.0,0.174,0.549,0.556,74.873
DEBY_LOD2_4907184,4907184,gs_s1_sparse,base__gs_e5_C001_s1_sparse_r1,base sparse r1,true,1.0000,1.0000,0.3228,4,조립,success,not_reviewed,high,high,high,none,1.42,1.0,0.016,0.198,0.0,127.033
DEBY_LOD2_4907185,4907185,gs_s1_sparse,base__gs_e5_C001_s1_sparse_r1,base sparse r1,true,1.0000,0.5000,1.9978,4,조립,success,not_reviewed,high,low,mid,none,0.65,1.0,0.06,0.338,0.2,129.596
DEBY_LOD2_4907186,4907186,gs_s1_sparse,base__gs_e5_C001_s1_sparse_r1,base sparse r1,true,0.5000,1.0000,5.5442,1,조립,success,not_reviewed,mid,low,mid,none,0.0,1.0,0.053,0.61,0.0,68.276
DEBY_LOD2_4907188,4907188,gs_s1_sparse,base__gs_e5_C001_s1_sparse_r1,base sparse r1,true,0.0000,0.0000,12.2163,1,무효·붕괴,failure,not_reviewed,low,low,mid,none,0.0,1.0,0.063,0.598,0.4,64.062
DEBY_LOD2_4907194,4907194,gs_s1_sparse,base__gs_e5_C001_s1_sparse_r1,base sparse r1,true,0.5000,1.0000,8.5485,1,조립,success,not_reviewed,low,low,mid,none,0.0,1.0,0.056,0.708,0.0,51.146
DEBY_LOD2_4907195,4907195,gs_s1_sparse,base__gs_e5_C001_s1_sparse_r1,base sparse r1,true,1.0000,1.0000,3.7989,2,조립,success,not_reviewed,low,low,mid,none,0.0,1.0,0.073,0.732,0.0,42.14
DEBY_LOD2_4907198,4907198,gs_s1_sparse,base__gs_e5_C001_s1_sparse_r1,base sparse r1,true,0.2500,1.0000,1.5650,1,조립,success,not_reviewed,mid,high,high,none,0.09,1.0,0.031,0.641,0.25,86.069
DEBY_LOD2_4907199,4907199,gs_s1_sparse,base__gs_e5_C001_s1_sparse_r1,base sparse r1,false,0.0000,,,0,미조립,failure,무텍스처,mid,low,low,무텍스처,0.0,1.0,0.108,0.656,0.273,84.618
DEBY_LOD2_4907202,4907202,gs_s1_sparse,base__gs_e5_C001_s1_sparse_r1,base sparse r1,true,1.0000,0.5000,0.9277,4,조립,success,not_reviewed,mid,low,mid,none,1.94,1.0,0.085,0.562,0.333,84.473
DEBY_LOD2_4908168,4908168,gs_s1_sparse,base__gs_e5_C001_s1_sparse_r1,base sparse r1,true,1.0000,0.5000,0.3349,2,조립,success,not_reviewed,high,low,low,none,2.9,1.0,0.043,0.694,0.571,160.781
DEBY_LOD2_4908178,4908178,gs_s1_sparse,base__gs_e5_C001_s1_sparse_r1,base sparse r1,true,0.5000,1.0000,0.7689,1,조립,success,not_reviewed,low,low,low,none,0.32,1.0,0.029,0.406,0.455,63.723
DEBY_LOD2_4908179,4908179,gs_s1_sparse,base__gs_e5_C001_s1_sparse_r1,base sparse r1,false,0.0000,,,0,미조립,failure,not_reviewed,mid,low,low,none,0.0,1.0,0.042,0.429,0.375,75.129
DEBY_LOD2_60098,60098,gs_s1_sparse,base__gs_e5_C001_s1_sparse_r1,base sparse r1,true,0.0000,0.0000,7.7677,1,조립,success,not_reviewed,mid,low,mid,none,0.0,1.0,0.06,0.544,0.0,78.074
DEBY_LOD2_8568391,8568391,gs_s1_sparse,base__gs_e5_C001_s1_sparse_r1,base sparse r1,false,0.0000,,,0,미조립,failure,무텍스처,mid,low,low,무텍스처,1.02,1.0,0.037,0.536,0.625,86.872
DEBY_LOD2_8568392,8568392,gs_s1_sparse,base__gs_e5_C001_s1_sparse_r1,base sparse r1,false,0.0000,,,0,미조립,failure,lowtex_high,mid,low,low,복합(소형+재질),2.25,1.0,0.038,0.549,0.75,94.587
DEBY_LOD2_108247349,108247349,gs_s1_dense,base__gs_e5_C001_s1_dense_r1,base dense r1,false,0.0000,,,0,미조립,failure,not_reviewed,mid,low,low,none,0.0,1.0,0.019,0.576,0.333,71.823
DEBY_LOD2_108247350,108247350,gs_s1_dense,base__gs_e5_C001_s1_dense_r1,base dense r1,false,0.0000,,,0,미조립,failure,lowtex_mid,mid,low,low,복합(소형+가림),0.0,1.0,0.063,0.49,0.625,67.515
DEBY_LOD2_108247351,108247351,gs_s1_dense,base__gs_e5_C001_s1_dense_r1,base dense r1,false,0.0000,,,0,미조립,failure,복합(저조도+가림),mid,low,low,복합(저조도+가림),0.0,1.0,0.174,0.549,0.556,74.873
DEBY_LOD2_4907184,4907184,gs_s1_dense,base__gs_e5_C001_s1_dense_r1,base dense r1,true,1.0000,0.6667,0.3541,6,조립,success,not_reviewed,high,high,high,none,1.42,1.0,0.016,0.198,0.0,127.033
DEBY_LOD2_4907185,4907185,gs_s1_dense,base__gs_e5_C001_s1_dense_r1,base dense r1,true,1.0000,1.0000,1.8068,2,조립,success,not_reviewed,high,low,mid,none,0.65,1.0,0.06,0.338,0.2,129.596
DEBY_LOD2_4907186,4907186,gs_s1_dense,base__gs_e5_C001_s1_dense_r1,base dense r1,true,0.0000,0.0000,12.6620,1,조립,success,not_reviewed,mid,low,mid,none,0.0,1.0,0.053,0.61,0.0,68.276
DEBY_LOD2_4907188,4907188,gs_s1_dense,base__gs_e5_C001_s1_dense_r1,base dense r1,true,0.5000,1.0000,6.8456,1,무효·붕괴,failure,not_reviewed,low,low,mid,none,0.0,1.0,0.063,0.598,0.4,64.062
DEBY_LOD2_4907194,4907194,gs_s1_dense,base__gs_e5_C001_s1_dense_r1,base dense r1,true,0.0000,0.0000,10.5170,1,조립,success,not_reviewed,low,low,mid,none,0.0,1.0,0.056,0.708,0.0,51.146
DEBY_LOD2_4907195,4907195,gs_s1_dense,base__gs_e5_C001_s1_dense_r1,base dense r1,true,0.5000,1.0000,5.4966,1,조립,success,not_reviewed,low,low,mid,none,0.0,1.0,0.073,0.732,0.0,42.14
DEBY_LOD2_4907198,4907198,gs_s1_dense,base__gs_e5_C001_s1_dense_r1,base dense r1,true,0.2500,1.0000,1.4949,1,조립,success,not_reviewed,mid,high,high,none,0.09,1.0,0.031,0.641,0.25,86.069
DEBY_LOD2_4907199,4907199,gs_s1_dense,base__gs_e5_C001_s1_dense_r1,base dense r1,false,0.0000,,,0,미조립,failure,무텍스처,mid,low,low,무텍스처,0.0,1.0,0.108,0.656,0.273,84.618
DEBY_LOD2_4907202,4907202,gs_s1_dense,base__gs_e5_C001_s1_dense_r1,base dense r1,true,1.0000,0.6667,0.3890,3,조립,success,not_reviewed,mid,low,mid,none,1.94,1.0,0.085,0.562,0.333,84.473
DEBY_LOD2_4908168,4908168,gs_s1_dense,base__gs_e5_C001_s1_dense_r1,base dense r1,true,1.0000,1.0000,0.7348,1,조립,success,not_reviewed,high,low,low,none,2.9,1.0,0.043,0.694,0.571,160.781
DEBY_LOD2_4908178,4908178,gs_s1_dense,base__gs_e5_C001_s1_dense_r1,base dense r1,true,0.5000,1.0000,0.6489,1,조립,success,not_reviewed,low,low,low,none,0.32,1.0,0.029,0.406,0.455,63.723
DEBY_LOD2_4908179,4908179,gs_s1_dense,base__gs_e5_C001_s1_dense_r1,base dense r1,false,0.0000,,,0,미조립,failure,not_reviewed,mid,low,low,none,0.0,1.0,0.042,0.429,0.375,75.129
DEBY_LOD2_60098,60098,gs_s1_dense,base__gs_e5_C001_s1_dense_r1,base dense r1,true,0.5000,1.0000,5.7215,1,조립,success,not_reviewed,mid,low,mid,none,0.0,1.0,0.06,0.544,0.0,78.074
DEBY_LOD2_8568391,8568391,gs_s1_dense,base__gs_e5_C001_s1_dense_r1,base dense r1,false,0.0000,,,0,미조립,failure,무텍스처,mid,low,low,무텍스처,1.02,1.0,0.037,0.536,0.625,86.872
DEBY_LOD2_8568392,8568392,gs_s1_dense,base__gs_e5_C001_s1_dense_r1,base dense r1,false,0.0000,,,0,미조립,failure,lowtex_high,mid,low,low,복합(소형+재질),2.25,1.0,0.038,0.549,0.75,94.587
DEBY_LOD2_108247349,108247349,gs_s1_acmp,base__gs_e5_C001_s1_acmp_r1,base acmp r1,false,0.0000,,,0,미조립,failure,not_reviewed,mid,low,low,none,0.0,1.0,0.019,0.576,0.333,71.823
DEBY_LOD2_108247350,108247350,gs_s1_acmp,base__gs_e5_C001_s1_acmp_r1,base acmp r1,false,0.0000,,,0,미조립,failure,lowtex_mid,mid,low,low,복합(소형+가림),0.0,1.0,0.063,0.49,0.625,67.515
