building_id,source_group,source_run,display_label,source_role,seed,replicate,pair_raw,source_badge,readout,z_shift_to_reference_m,complexity_lens,size_lens,texture_lens,observation_lens,label_lens,has_lod22,val3dity_valid,status,status_reason,rf_success,rf_pointcloud_unusable,roof_planes,status_rf_roof_planes,ref_roof_planes,match_count,completeness,correctness,mean_match_iou,ref_rms_m,ref_hausdorff_m,ref_distance_samples,rf_rmse_lod22,shell_bucket,ref_rms_tail,ref_rms_tail_fence_m,setting,run_name,arm,readout_min_obs,readout_voxel_m,readout_alpha,readout_sor,readout_sor_std
DEBY_LOD2_108247349,gs_sparse,base__gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1,base sparse r1,gs,sparse,r1,raw_sparse,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,low,not_reviewed,mid,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,19.0876,base,gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1,sparse,3,0.05,0.5,on,2.0
DEBY_LOD2_108247350,gs_sparse,base__gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1,base sparse r1,gs,sparse,r1,raw_sparse,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,low,lowtex_mid,mid,복합(소형+가림),false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,19.0876,base,gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1,sparse,3,0.05,0.5,on,2.0
DEBY_LOD2_108247351,gs_sparse,base__gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1,base sparse r1,gs,sparse,r1,raw_sparse,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,low,복합(저조도+가림),mid,복합(저조도+가림),true,false,failure,val3dity_invalid,True,False,1,1,1,0,0.0000,0.0000,,11.7141,14.7338,260,0.951944,무효·붕괴,false,19.0876,base,gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1,sparse,3,0.05,0.5,on,2.0
DEBY_LOD2_4907184,gs_sparse,base__gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1,base sparse r1,gs,sparse,r1,raw_sparse,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,high,high,not_reviewed,high,none,true,false,failure,val3dity_invalid,True,False,7,31,4,4,1.0000,0.5714,0.8643,0.4814,11.6035,1354,0.948779,무효·붕괴,false,19.0876,base,gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1,sparse,3,0.05,0.5,on,2.0
DEBY_LOD2_4907185,gs_sparse,base__gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1,base sparse r1,gs,sparse,r1,raw_sparse,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,mid,not_reviewed,high,none,true,false,failure,val3dity_invalid,True,False,4,14,2,2,1.0000,0.5000,0.3197,5.6198,15.8195,644,0.778020,무효·붕괴,false,19.0876,base,gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1,sparse,3,0.05,0.5,on,2.0
DEBY_LOD2_4907186,gs_sparse,base__gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1,base sparse r1,gs,sparse,r1,raw_sparse,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,mid,not_reviewed,mid,none,true,false,failure,val3dity_invalid,True,False,2,3,2,1,0.5000,0.5000,0.5028,3.8551,11.4476,674,1.540035,무효·붕괴,false,19.0876,base,gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1,sparse,3,0.05,0.5,on,2.0
DEBY_LOD2_4907188,gs_sparse,base__gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1,base sparse r1,gs,sparse,r1,raw_sparse,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,mid,not_reviewed,low,none,true,false,failure,val3dity_invalid,True,False,1,2,2,1,0.5000,1.0000,0.5034,6.6575,14.0430,664,0.726396,무효·붕괴,false,19.0876,base,gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1,sparse,3,0.05,0.5,on,2.0
DEBY_LOD2_4907194,gs_sparse,base__gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1,base sparse r1,gs,sparse,r1,raw_sparse,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,mid,not_reviewed,low,none,true,true,success,success,True,False,1,1,2,0,0.0000,0.0000,,11.5249,23.2339,850,0.952298,조립,false,19.0876,base,gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1,sparse,3,0.05,0.5,on,2.0
DEBY_LOD2_4907195,gs_sparse,base__gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1,base sparse r1,gs,sparse,r1,raw_sparse,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,mid,not_reviewed,low,none,true,true,success,success,True,False,2,10,2,2,1.0000,1.0000,0.3128,3.8006,8.9927,713,1.524940,조립,false,19.0876,base,gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1,sparse,3,0.05,0.5,on,2.0
DEBY_LOD2_4907198,gs_sparse,base__gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1,base sparse r1,gs,sparse,r1,raw_sparse,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,high,high,not_reviewed,mid,none,true,true,success,success,True,False,1,30,4,1,0.2500,1.0000,0.3814,1.5100,4.1291,1200,1.632844,조립,false,19.0876,base,gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1,sparse,3,0.05,0.5,on,2.0
DEBY_LOD2_4907199,gs_sparse,base__gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1,base sparse r1,gs,sparse,r1,raw_sparse,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,low,무텍스처,mid,무텍스처,false,true,failure,pointcloud_unusable_no_planes,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,19.0876,base,gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1,sparse,3,0.05,0.5,on,2.0
DEBY_LOD2_4907202,gs_sparse,base__gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1,base sparse r1,gs,sparse,r1,raw_sparse,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,mid,not_reviewed,mid,none,true,false,failure,val3dity_invalid,True,False,2,4,2,0,0.0000,0.0000,,32.9745,47.7622,642,0.906665,무효·붕괴,true,19.0876,base,gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1,sparse,3,0.05,0.5,on,2.0
DEBY_LOD2_4908168,gs_sparse,base__gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1,base sparse r1,gs,sparse,r1,raw_sparse,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,low,not_reviewed,high,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,19.0876,base,gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1,sparse,3,0.05,0.5,on,2.0
DEBY_LOD2_4908178,gs_sparse,base__gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1,base sparse r1,gs,sparse,r1,raw_sparse,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,low,not_reviewed,low,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,2,0,0.0000,,,,,0,,미조립,false,19.0876,base,gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1,sparse,3,0.05,0.5,on,2.0
DEBY_LOD2_4908179,gs_sparse,base__gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1,base sparse r1,gs,sparse,r1,raw_sparse,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,low,not_reviewed,mid,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,19.0876,base,gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1,sparse,3,0.05,0.5,on,2.0
DEBY_LOD2_60098,gs_sparse,base__gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1,base sparse r1,gs,sparse,r1,raw_sparse,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,mid,not_reviewed,mid,none,true,true,success,success,True,False,1,8,2,1,0.5000,1.0000,0.5010,4.2639,10.9905,784,1.337946,조립,false,19.0876,base,gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1,sparse,3,0.05,0.5,on,2.0
DEBY_LOD2_8568391,gs_sparse,base__gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1,base sparse r1,gs,sparse,r1,raw_sparse,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,low,무텍스처,mid,무텍스처,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,19.0876,base,gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1,sparse,3,0.05,0.5,on,2.0
DEBY_LOD2_8568392,gs_sparse,base__gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1,base sparse r1,gs,sparse,r1,raw_sparse,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,low,lowtex_high,mid,복합(소형+재질),false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,19.0876,base,gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1,sparse,3,0.05,0.5,on,2.0
DEBY_LOD2_108247349,gs_dense,base__gs_e5_C001_corrected_s1_preprune_keepall_dense_r1,base dense r1,gs,dense,r1,raw_dense,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,low,not_reviewed,mid,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,19.0876,base,gs_e5_C001_corrected_s1_preprune_keepall_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_108247350,gs_dense,base__gs_e5_C001_corrected_s1_preprune_keepall_dense_r1,base dense r1,gs,dense,r1,raw_dense,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,low,lowtex_mid,mid,복합(소형+가림),false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,19.0876,base,gs_e5_C001_corrected_s1_preprune_keepall_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_108247351,gs_dense,base__gs_e5_C001_corrected_s1_preprune_keepall_dense_r1,base dense r1,gs,dense,r1,raw_dense,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,low,복합(저조도+가림),mid,복합(저조도+가림),false,true,failure,pointcloud_unusable_no_planes,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,19.0876,base,gs_e5_C001_corrected_s1_preprune_keepall_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907184,gs_dense,base__gs_e5_C001_corrected_s1_preprune_keepall_dense_r1,base dense r1,gs,dense,r1,raw_dense,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,high,high,not_reviewed,high,none,true,true,success,success,True,False,5,32,4,4,1.0000,0.8000,0.8933,0.3357,1.2082,1362,1.190698,조립,false,19.0876,base,gs_e5_C001_corrected_s1_preprune_keepall_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907185,gs_dense,base__gs_e5_C001_corrected_s1_preprune_keepall_dense_r1,base dense r1,gs,dense,r1,raw_dense,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,mid,not_reviewed,high,none,true,true,success,success,True,False,3,15,2,2,1.0000,0.6667,0.2906,2.9381,6.5078,639,1.398169,조립,false,19.0876,base,gs_e5_C001_corrected_s1_preprune_keepall_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907186,gs_dense,base__gs_e5_C001_corrected_s1_preprune_keepall_dense_r1,base dense r1,gs,dense,r1,raw_dense,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,mid,not_reviewed,mid,none,true,true,success,success,True,False,1,7,2,1,0.5000,1.0000,0.4981,5.7016,14.0325,674,2.528249,조립,false,19.0876,base,gs_e5_C001_corrected_s1_preprune_keepall_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907188,gs_dense,base__gs_e5_C001_corrected_s1_preprune_keepall_dense_r1,base dense r1,gs,dense,r1,raw_dense,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,mid,not_reviewed,low,none,true,false,failure,val3dity_invalid,True,False,1,2,2,0,0.0000,0.0000,,11.8036,23.4476,664,1.994706,무효·붕괴,false,19.0876,base,gs_e5_C001_corrected_s1_preprune_keepall_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907194,gs_dense,base__gs_e5_C001_corrected_s1_preprune_keepall_dense_r1,base dense r1,gs,dense,r1,raw_dense,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,mid,not_reviewed,low,none,false,true,failure,pointcloud_unusable_no_planes,True,True,0,0,2,0,0.0000,,,,,0,,미조립,false,19.0876,base,gs_e5_C001_corrected_s1_preprune_keepall_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907195,gs_dense,base__gs_e5_C001_corrected_s1_preprune_keepall_dense_r1,base dense r1,gs,dense,r1,raw_dense,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,mid,not_reviewed,low,none,true,true,success,success,True,False,1,9,2,1,0.5000,1.0000,0.4447,5.4426,12.4867,710,1.772587,조립,false,19.0876,base,gs_e5_C001_corrected_s1_preprune_keepall_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907198,gs_dense,base__gs_e5_C001_corrected_s1_preprune_keepall_dense_r1,base dense r1,gs,dense,r1,raw_dense,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,high,high,not_reviewed,mid,none,true,true,success,success,True,False,4,25,4,2,0.5000,0.5000,0.6513,1.7554,4.1805,1439,0.619006,조립,false,19.0876,base,gs_e5_C001_corrected_s1_preprune_keepall_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907199,gs_dense,base__gs_e5_C001_corrected_s1_preprune_keepall_dense_r1,base dense r1,gs,dense,r1,raw_dense,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,low,무텍스처,mid,무텍스처,false,true,failure,pointcloud_unusable_no_planes,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,19.0876,base,gs_e5_C001_corrected_s1_preprune_keepall_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907202,gs_dense,base__gs_e5_C001_corrected_s1_preprune_keepall_dense_r1,base dense r1,gs,dense,r1,raw_dense,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,mid,not_reviewed,mid,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,2,0,0.0000,,,,,0,,미조립,false,19.0876,base,gs_e5_C001_corrected_s1_preprune_keepall_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4908168,gs_dense,base__gs_e5_C001_corrected_s1_preprune_keepall_dense_r1,base dense r1,gs,dense,r1,raw_dense,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,low,not_reviewed,high,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,19.0876,base,gs_e5_C001_corrected_s1_preprune_keepall_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4908178,gs_dense,base__gs_e5_C001_corrected_s1_preprune_keepall_dense_r1,base dense r1,gs,dense,r1,raw_dense,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,low,not_reviewed,low,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,2,0,0.0000,,,,,0,,미조립,false,19.0876,base,gs_e5_C001_corrected_s1_preprune_keepall_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4908179,gs_dense,base__gs_e5_C001_corrected_s1_preprune_keepall_dense_r1,base dense r1,gs,dense,r1,raw_dense,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,low,not_reviewed,mid,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,19.0876,base,gs_e5_C001_corrected_s1_preprune_keepall_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_60098,gs_dense,base__gs_e5_C001_corrected_s1_preprune_keepall_dense_r1,base dense r1,gs,dense,r1,raw_dense,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,mid,not_reviewed,mid,none,true,true,success,success,True,False,1,7,2,1,0.5000,1.0000,0.5010,4.6850,12.3938,784,0.878311,조립,false,19.0876,base,gs_e5_C001_corrected_s1_preprune_keepall_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_8568391,gs_dense,base__gs_e5_C001_corrected_s1_preprune_keepall_dense_r1,base dense r1,gs,dense,r1,raw_dense,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,low,무텍스처,mid,무텍스처,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,19.0876,base,gs_e5_C001_corrected_s1_preprune_keepall_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_8568392,gs_dense,base__gs_e5_C001_corrected_s1_preprune_keepall_dense_r1,base dense r1,gs,dense,r1,raw_dense,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,low,lowtex_high,mid,복합(소형+재질),false,true,failure,roofer_skip_no_3d_geometry,True,False,0,None,1,0,0.0000,,,,,0,,미조립,false,19.0876,base,gs_e5_C001_corrected_s1_preprune_keepall_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_108247349,gs_acmp,base__gs_e5_C001_corrected_s1_preprune_keepall_acmp_r1,base acmp r1,gs,acmp,r1,raw_acmp,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,low,not_reviewed,mid,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,19.0876,base,gs_e5_C001_corrected_s1_preprune_keepall_acmp_r1,acmp,3,0.05,0.5,on,2.0
