family,run_name,arm,run_dir,effective_config,has_final,has_final_preprune,available_ckpts,ckpt_count,step_ckpts,notes
corrected_s1,gs_e5_C001_corrected_s1_sparse_r1,sparse,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/effective_config.json,true,false,final.pt;step_010000.pt;step_020000.pt,3,step_010000.pt;step_020000.pt,no explicit pre-final-prune ckpt found
corrected_s1,gs_e5_C001_corrected_s1_dense_r1,dense,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/effective_config.json,true,false,final.pt;step_010000.pt;step_020000.pt,3,step_010000.pt;step_020000.pt,no explicit pre-final-prune ckpt found
corrected_s1,gs_e5_C001_corrected_s1_acmp_r1,acmp,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_acmp_r1,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_acmp_r1/effective_config.json,true,false,final.pt;step_010000.pt;step_020000.pt,3,step_010000.pt;step_020000.pt,no explicit pre-final-prune ckpt found
recheck_preprune_fallback,gs_e5_C001_corrected_s1_preprune_sparse_r1,sparse,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/effective_config.json,true,false,final.pt;step_005000.pt;step_010000.pt;step_015000.pt;step_020000.pt;step_025000.pt,6,step_005000.pt;step_010000.pt;step_015000.pt;step_020000.pt;step_025000.pt,final-prune-pre state absent in corrected-S1; fallback final has final_prune_opa=0
recheck_preprune_fallback,gs_e5_C001_corrected_s1_preprune_dense_r1,dense,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/effective_config.json,true,false,final.pt;step_005000.pt;step_010000.pt;step_015000.pt;step_020000.pt;step_025000.pt,6,step_005000.pt;step_010000.pt;step_015000.pt;step_020000.pt;step_025000.pt,final-prune-pre state absent in corrected-S1; fallback final has final_prune_opa=0
recheck_preprune_fallback,gs_e5_C001_corrected_s1_preprune_acmp_r1,acmp,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_acmp_r1,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_acmp_r1/effective_config.json,true,false,final.pt;step_005000.pt;step_010000.pt;step_015000.pt;step_020000.pt;step_025000.pt,6,step_005000.pt;step_010000.pt;step_015000.pt;step_020000.pt;step_025000.pt,final-prune-pre state absent in corrected-S1; fallback final has final_prune_opa=0
