building_id,population_scope,population_difference_status,footprint_area_m2,small_lt50,texture_low_gradient_fraction,texture_grad_p10,texture_valid,texture_view,dense_point_count,dense_point_density_m2,dense_zero_points_recode,coverage_frac,coverage_zero_points_recode,n_views_nadir,frac_views_incidence_le60,recon_score_median,dense_assembled,outline_inframe_frac_max,outline_inframe_frac_median,outline_valid_pixel_count_max,outline_valid_pixel_count_median,representative_view_count,representative_views_json,projection_status,projection_reference_height_m,projection_reference_height_used,projection_reference_source,crop_pair_correspondence_count,crop_pair_reciprocal_raw_count,crop_pair_border_count,crop_pair_status,crop_pair_view_a,crop_pair_view_b,crop_pair_model_revision,crop_pair_model_sha256,fm_status,fm_view_a,fm_view_b,fm_baseline_m,fm_selected_pair_count,fm_completed_pair_count,fm_successful_pair_count,fm_excluded_pair_count,fm_failed_pair_count,fm_pending_pair_count,fm_pair_status_json,fm_pooling_rule,fm_reprojection_pass_count,fm_correspondence_count,fm_z_median_m,fm_z_mad_m,fm_score,fm_vertical_datum,fm_projection_geoid_m,fm_projection_datum_config_sha256,feature_sources_json,crs,learning_runs_started,new_inference_type
DEBY_LOD2_104583447,canonical_raw_lidar_assembled_178,added_vs_20260716_C,6.082000,true,0.486000,0.003900,valid,DJI_20241217095809_0009_D.JPG,122,20.058861,false,0.500000,false,1.800000,0.254000,113.072000,1,1.000000,1.000000,22,22.000000,3,"[{""name"":""DJI_20241217084827_0177_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":22,""zenith_deg"":35.052692},{""name"":""DJI_20241217095755_0002_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":22,""zenith_deg"":46.27572},{""name"":""DJI_20241217095855_0032_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":22,""zenith_deg"":19.611344}]",prepared,532.080000,true,LoD2 CityGML; measurement/classification projection only,,,,pending_repair_14,,,06e7259f34c3060f322df5cb0c7b9094f57e41fc,0a615eb05fa9db654050aa655945ee5696e7c6c1b7f93f1ee8c37249010f6feb,,,,,,,,,,,,,,,,,,,,,"{""coverage_frac"":""docs/pointcloud_attributes_v1_3.csv:raw_dense.coverage_frac"",""dense_point_count"":""docs/pointcloud_attributes_v1_3.csv:raw_dense.n_points_footprint"",""dense_point_density_m2"":""docs/pointcloud_attributes_v1_3.csv:raw_dense.pt_density_m2"",""footprint_area_m2"":""results/tum_transfer/analysis/footprints_aoi.geojson:area_m2"",""frac_views_incidence_le60"":""docs/population_aux_v4.csv:frac_views_incidence_le60"",""n_views_nadir"":""docs/population_aux_v4.csv:n_views_nadir"",""recon_score_median"":""docs/population_aux_v4.csv:recon_score_median"",""texture_grad_p10"":""docs/lowtex_v5.csv:roof_grad_p10_v5"",""texture_low_gradient_fraction"":""docs/lowtex_v5.csv:roof_lowtex_v5""}",EPSG:25832,0,R1-2 MASt3R crop-pair pending
DEBY_LOD2_104583794,canonical_raw_lidar_assembled_178,added_vs_20260716_C,6.389000,true,0.300000,0.008800,valid,DJI_20241217095533_0049_D.JPG,0,0.000000,true,0.000000,true,0.000000,0.109000,72.081000,0,1.000000,1.000000,22,22.000000,3,"[{""name"":""DJI_20241217084901_0194_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":22,""zenith_deg"":58.468264},{""name"":""DJI_20241217090845_0025_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":22,""zenith_deg"":58.760826},{""name"":""DJI_20241217084859_0193_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":22,""zenith_deg"":56.872394}]",prepared,517.690000,true,LoD2 CityGML; measurement/classification projection only,0,197,161,complete,DJI_20241217084901_0194_D.JPG,DJI_20241217090845_0025_D.JPG,06e7259f34c3060f322df5cb0c7b9094f57e41fc,0a615eb05fa9db654050aa655945ee5696e7c6c1b7f93f1ee8c37249010f6feb,,,,,,,,,,,,,,,,,,,,,"{""coverage_frac"":""docs/pointcloud_attributes_v1_3.csv:raw_dense.coverage_frac"",""dense_point_count"":""docs/pointcloud_attributes_v1_3.csv:raw_dense.n_points_footprint"",""dense_point_density_m2"":""docs/pointcloud_attributes_v1_3.csv:raw_dense.pt_density_m2"",""footprint_area_m2"":""results/tum_transfer/analysis/footprints_aoi.geojson:area_m2"",""frac_views_incidence_le60"":""docs/population_aux_v4.csv:frac_views_incidence_le60"",""n_views_nadir"":""docs/population_aux_v4.csv:n_views_nadir"",""recon_score_median"":""docs/population_aux_v4.csv:recon_score_median"",""texture_grad_p10"":""docs/lowtex_v5.csv:roof_grad_p10_v5"",""texture_low_gradient_fraction"":""docs/lowtex_v5.csv:roof_lowtex_v5""}",EPSG:25832,0,none; frozen 20260716 crop-pair reused
DEBY_LOD2_104586480,canonical_raw_lidar_assembled_178,added_vs_20260716_C,14.770000,true,0.269000,0.010600,valid,DJI_20241217102613_0039_D.JPG,5508,372.897880,false,1.000000,false,13.290000,0.422000,217.608000,0,1.000000,1.000000,38,38.000000,3,"[{""name"":""DJI_20241217084707_0137_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":38,""zenith_deg"":18.500544},{""name"":""DJI_20241217084657_0132_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":38,""zenith_deg"":20.002576},{""name"":""DJI_20241217102613_0039_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":38,""zenith_deg"":4.712567}]",prepared,518.080000,true,LoD2 CityGML; measurement/classification projection only,,,,pending_repair_14,,,06e7259f34c3060f322df5cb0c7b9094f57e41fc,0a615eb05fa9db654050aa655945ee5696e7c6c1b7f93f1ee8c37249010f6feb,,,,,,,,,,,,,,,,,,,,,"{""coverage_frac"":""docs/pointcloud_attributes_v1_3.csv:raw_dense.coverage_frac"",""dense_point_count"":""docs/pointcloud_attributes_v1_3.csv:raw_dense.n_points_footprint"",""dense_point_density_m2"":""docs/pointcloud_attributes_v1_3.csv:raw_dense.pt_density_m2"",""footprint_area_m2"":""results/tum_transfer/analysis/footprints_aoi.geojson:area_m2"",""frac_views_incidence_le60"":""docs/population_aux_v4.csv:frac_views_incidence_le60"",""n_views_nadir"":""docs/population_aux_v4.csv:n_views_nadir"",""recon_score_median"":""docs/population_aux_v4.csv:recon_score_median"",""texture_grad_p10"":""docs/lowtex_v5.csv:roof_grad_p10_v5"",""texture_low_gradient_fraction"":""docs/lowtex_v5.csv:roof_lowtex_v5""}",EPSG:25832,0,R1-2 MASt3R crop-pair pending
DEBY_LOD2_107802038,canonical_raw_lidar_assembled_178,intersection_reused,388.477000,false,0.751000,0.003900,valid,DJI_20241217095143_0078_D.JPG,0,0.000000,true,0.000000,true,0.000000,0.000000,0.000000,0,1.000000,1.000000,178,178.000000,3,"[{""name"":""DJI_20241217095127_0070_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":178,""zenith_deg"":86.333274},{""name"":""DJI_20241217101327_0016_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":178,""zenith_deg"":86.781134},{""name"":""DJI_20241217101530_0002_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":178,""zenith_deg"":84.378791}]",prepared,529.461000,true,LoD2 CityGML; measurement/classification projection only,0,327,261,complete,DJI_20241217095127_0070_D.JPG,DJI_20241217101327_0016_D.JPG,06e7259f34c3060f322df5cb0c7b9094f57e41fc,0a615eb05fa9db654050aa655945ee5696e7c6c1b7f93f1ee8c37249010f6feb,,,,,,,,,,,,,,,,,,,,,"{""coverage_frac"":""docs/pointcloud_attributes_v1_3.csv:raw_dense.coverage_frac"",""dense_point_count"":""docs/pointcloud_attributes_v1_3.csv:raw_dense.n_points_footprint"",""dense_point_density_m2"":""docs/pointcloud_attributes_v1_3.csv:raw_dense.pt_density_m2"",""footprint_area_m2"":""results/tum_transfer/analysis/footprints_aoi.geojson:area_m2"",""frac_views_incidence_le60"":""docs/population_aux_v4.csv:frac_views_incidence_le60"",""n_views_nadir"":""docs/population_aux_v4.csv:n_views_nadir"",""recon_score_median"":""docs/population_aux_v4.csv:recon_score_median"",""texture_grad_p10"":""docs/lowtex_v5.csv:roof_grad_p10_v5"",""texture_low_gradient_fraction"":""docs/lowtex_v5.csv:roof_lowtex_v5""}",EPSG:25832,0,none; frozen 20260716 crop-pair reused
DEBY_LOD2_107807336,canonical_raw_lidar_assembled_178,intersection_reused,100.627000,false,0.547000,0.005500,valid,DJI_20241217102931_0011_D.JPG,0,0.000000,true,0.000000,true,0.000000,0.000000,0.000000,0,1.000000,1.000000,136,136.000000,3,"[{""name"":""DJI_20241217101530_0002_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":136,""zenith_deg"":83.380417},{""name"":""DJI_20241217102527_0016_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":136,""zenith_deg"":84.887116},{""name"":""DJI_20241217102931_0011_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":136,""zenith_deg"":82.782787}]",prepared,520.143000,true,LoD2 CityGML; measurement/classification projection only,0,258,199,complete,DJI_20241217101530_0002_D.JPG,DJI_20241217102527_0016_D.JPG,06e7259f34c3060f322df5cb0c7b9094f57e41fc,0a615eb05fa9db654050aa655945ee5696e7c6c1b7f93f1ee8c37249010f6feb,,,,,,,,,,,,,,,,,,,,,"{""coverage_frac"":""docs/pointcloud_attributes_v1_3.csv:raw_dense.coverage_frac"",""dense_point_count"":""docs/pointcloud_attributes_v1_3.csv:raw_dense.n_points_footprint"",""dense_point_density_m2"":""docs/pointcloud_attributes_v1_3.csv:raw_dense.pt_density_m2"",""footprint_area_m2"":""results/tum_transfer/analysis/footprints_aoi.geojson:area_m2"",""frac_views_incidence_le60"":""docs/population_aux_v4.csv:frac_views_incidence_le60"",""n_views_nadir"":""docs/population_aux_v4.csv:n_views_nadir"",""recon_score_median"":""docs/population_aux_v4.csv:recon_score_median"",""texture_grad_p10"":""docs/lowtex_v5.csv:roof_grad_p10_v5"",""texture_low_gradient_fraction"":""docs/lowtex_v5.csv:roof_lowtex_v5""}",EPSG:25832,0,none; frozen 20260716 crop-pair reused
DEBY_LOD2_108246888,canonical_raw_lidar_assembled_178,added_vs_20260716_C,13.961000,true,0.470000,0.007800,valid,DJI_20241217084643_0125_D.JPG,1350,96.696213,false,0.946429,false,0.000000,0.292000,83.840000,1,1.000000,1.000000,30,30.000000,3,"[{""name"":""DJI_20241217084903_0195_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":30,""zenith_deg"":61.358758},{""name"":""DJI_20241217084340_0034_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":30,""zenith_deg"":61.745262},{""name"":""DJI_20241217084643_0125_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":30,""zenith_deg"":29.395801}]",prepared,518.164000,true,LoD2 CityGML; measurement/classification projection only,,,,pending_repair_14,,,06e7259f34c3060f322df5cb0c7b9094f57e41fc,0a615eb05fa9db654050aa655945ee5696e7c6c1b7f93f1ee8c37249010f6feb,,,,,,,,,,,,,,,,,,,,,"{""coverage_frac"":""docs/pointcloud_attributes_v1_3.csv:raw_dense.coverage_frac"",""dense_point_count"":""docs/pointcloud_attributes_v1_3.csv:raw_dense.n_points_footprint"",""dense_point_density_m2"":""docs/pointcloud_attributes_v1_3.csv:raw_dense.pt_density_m2"",""footprint_area_m2"":""results/tum_transfer/analysis/footprints_aoi.geojson:area_m2"",""frac_views_incidence_le60"":""docs/population_aux_v4.csv:frac_views_incidence_le60"",""n_views_nadir"":""docs/population_aux_v4.csv:n_views_nadir"",""recon_score_median"":""docs/population_aux_v4.csv:recon_score_median"",""texture_grad_p10"":""docs/lowtex_v5.csv:roof_grad_p10_v5"",""texture_low_gradient_fraction"":""docs/lowtex_v5.csv:roof_lowtex_v5""}",EPSG:25832,0,R1-2 MASt3R crop-pair pending
DEBY_LOD2_108247350,canonical_raw_lidar_assembled_178,added_vs_20260716_C,12.137000,true,0.490000,0.006200,valid,DJI_20241217084725_0146_D.JPG,13,1.071100,false,0.125000,false,0.000000,0.098000,67.515000,0,1.000000,1.000000,30,30.000000,3,"[{""name"":""DJI_20241217084917_0202_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":30,""zenith_deg"":58.226583},{""name"":""DJI_20241217084729_0148_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":30,""zenith_deg"":61.473484},{""name"":""DJI_20241217084913_0200_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":30,""zenith_deg"":56.129277}]",prepared,517.140000,true,LoD2 CityGML; measurement/classification projection only,0,69,65,complete,DJI_20241217084917_0202_D.JPG,DJI_20241217084729_0148_D.JPG,06e7259f34c3060f322df5cb0c7b9094f57e41fc,0a615eb05fa9db654050aa655945ee5696e7c6c1b7f93f1ee8c37249010f6feb,,,,,,,,,,,,,,,,,,,,,"{""coverage_frac"":""docs/pointcloud_attributes_v1_3.csv:raw_dense.coverage_frac"",""dense_point_count"":""docs/pointcloud_attributes_v1_3.csv:raw_dense.n_points_footprint"",""dense_point_density_m2"":""docs/pointcloud_attributes_v1_3.csv:raw_dense.pt_density_m2"",""footprint_area_m2"":""results/tum_transfer/analysis/footprints_aoi.geojson:area_m2"",""frac_views_incidence_le60"":""docs/population_aux_v4.csv:frac_views_incidence_le60"",""n_views_nadir"":""docs/population_aux_v4.csv:n_views_nadir"",""recon_score_median"":""docs/population_aux_v4.csv:recon_score_median"",""texture_grad_p10"":""docs/lowtex_v5.csv:roof_grad_p10_v5"",""texture_low_gradient_fraction"":""docs/lowtex_v5.csv:roof_lowtex_v5""}",EPSG:25832,0,none; frozen 20260716 crop-pair reused
DEBY_LOD2_108247351,canonical_raw_lidar_assembled_178,intersection_reused,65.279000,false,0.549000,0.005900,valid,DJI_20241217084723_0145_D.JPG,11,0.168509,false,0.030769,false,0.000000,0.106000,74.873000,0,1.000000,1.000000,68,68.000000,3,"[{""name"":""DJI_20241217084917_0202_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":68,""zenith_deg"":57.833883},{""name"":""DJI_20241217084835_0181_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":68,""zenith_deg"":61.827796},{""name"":""DJI_20241217084915_0201_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":68,""zenith_deg"":57.426351}]",prepared,518.952000,true,LoD2 CityGML; measurement/classification projection only,0,28,19,complete,DJI_20241217084917_0202_D.JPG,DJI_20241217084835_0181_D.JPG,06e7259f34c3060f322df5cb0c7b9094f57e41fc,0a615eb05fa9db654050aa655945ee5696e7c6c1b7f93f1ee8c37249010f6feb,,,,,,,,,,,,,,,,,,,,,"{""coverage_frac"":""docs/pointcloud_attributes_v1_3.csv:raw_dense.coverage_frac"",""dense_point_count"":""docs/pointcloud_attributes_v1_3.csv:raw_dense.n_points_footprint"",""dense_point_density_m2"":""docs/pointcloud_attributes_v1_3.csv:raw_dense.pt_density_m2"",""footprint_area_m2"":""results/tum_transfer/analysis/footprints_aoi.geojson:area_m2"",""frac_views_incidence_le60"":""docs/population_aux_v4.csv:frac_views_incidence_le60"",""n_views_nadir"":""docs/population_aux_v4.csv:n_views_nadir"",""recon_score_median"":""docs/population_aux_v4.csv:recon_score_median"",""texture_grad_p10"":""docs/lowtex_v5.csv:roof_grad_p10_v5"",""texture_low_gradient_fraction"":""docs/lowtex_v5.csv:roof_lowtex_v5""}",EPSG:25832,0,none; frozen 20260716 crop-pair reused
DEBY_LOD2_108250120,canonical_raw_lidar_assembled_178,intersection_reused,46.818000,true,0.546000,0.006200,valid,DJI_20241217090953_0059_D.JPG,407,8.693210,false,0.308511,false,1.110000,0.188000,123.376000,1,1.000000,1.000000,59,59.000000,3,"[{""name"":""DJI_20241217090805_0005_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":59,""zenith_deg"":27.331788},{""name"":""DJI_20241217091031_0078_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":59,""zenith_deg"":58.700795},{""name"":""DJI_20241217090953_0059_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":59,""zenith_deg"":20.237466}]",prepared,523.111000,true,LoD2 CityGML; measurement/classification projection only,0,54,36,complete,DJI_20241217090805_0005_D.JPG,DJI_20241217091031_0078_D.JPG,06e7259f34c3060f322df5cb0c7b9094f57e41fc,0a615eb05fa9db654050aa655945ee5696e7c6c1b7f93f1ee8c37249010f6feb,,,,,,,,,,,,,,,,,,,,,"{""coverage_frac"":""docs/pointcloud_attributes_v1_3.csv:raw_dense.coverage_frac"",""dense_point_count"":""docs/pointcloud_attributes_v1_3.csv:raw_dense.n_points_footprint"",""dense_point_density_m2"":""docs/pointcloud_attributes_v1_3.csv:raw_dense.pt_density_m2"",""footprint_area_m2"":""results/tum_transfer/analysis/footprints_aoi.geojson:area_m2"",""frac_views_incidence_le60"":""docs/population_aux_v4.csv:frac_views_incidence_le60"",""n_views_nadir"":""docs/population_aux_v4.csv:n_views_nadir"",""recon_score_median"":""docs/population_aux_v4.csv:recon_score_median"",""texture_grad_p10"":""docs/lowtex_v5.csv:roof_grad_p10_v5"",""texture_low_gradient_fraction"":""docs/lowtex_v5.csv:roof_lowtex_v5""}",EPSG:25832,0,none; frozen 20260716 crop-pair reused
DEBY_LOD2_108580335,canonical_raw_lidar_assembled_178,intersection_reused,1020.875000,false,0.304000,0.008100,valid,DJI_20241217091235_0140_D.JPG,153624,150.483357,false,1.000000,false,4.530000,0.168000,110.809000,1,1.000000,1.000000,268,268.000000,3,"[{""name"":""DJI_20241217091233_0139_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":268,""zenith_deg"":11.902795},{""name"":""DJI_20241217095627_0076_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":268,""zenith_deg"":84.34542},{""name"":""DJI_20241217091235_0140_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":268,""zenith_deg"":5.606642}]",prepared,530.440000,true,LoD2 CityGML; measurement/classification projection only,0,2,0,complete,DJI_20241217091233_0139_D.JPG,DJI_20241217095627_0076_D.JPG,06e7259f34c3060f322df5cb0c7b9094f57e41fc,0a615eb05fa9db654050aa655945ee5696e7c6c1b7f93f1ee8c37249010f6feb,,,,,,,,,,,,,,,,,,,,,"{""coverage_frac"":""docs/pointcloud_attributes_v1_3.csv:raw_dense.coverage_frac"",""dense_point_count"":""docs/pointcloud_attributes_v1_3.csv:raw_dense.n_points_footprint"",""dense_point_density_m2"":""docs/pointcloud_attributes_v1_3.csv:raw_dense.pt_density_m2"",""footprint_area_m2"":""results/tum_transfer/analysis/footprints_aoi.geojson:area_m2"",""frac_views_incidence_le60"":""docs/population_aux_v4.csv:frac_views_incidence_le60"",""n_views_nadir"":""docs/population_aux_v4.csv:n_views_nadir"",""recon_score_median"":""docs/population_aux_v4.csv:recon_score_median"",""texture_grad_p10"":""docs/lowtex_v5.csv:roof_grad_p10_v5"",""texture_low_gradient_fraction"":""docs/lowtex_v5.csv:roof_lowtex_v5""}",EPSG:25832,0,none; frozen 20260716 crop-pair reused
