building_id,setting,run_name,coverage_pre_minobs,coverage_post_minobs,coverage_post_sor,has_lod22,val3dity_valid,completeness,correctness,ref_rms_m,shell_bucket
DEBY_LOD2_60098,base,gs_e5_C001_sparse_r1,1.0,0.20408163265306123,0.0663265306122449,true,true,0.0000,0.0000,11.6023,조립
DEBY_LOD2_60098,base,gs_e5_C001_sparse_r2,0.9974489795918368,0.3163265306122449,0.11096938775510204,true,true,0.0000,0.0000,1.3167,조립
DEBY_LOD2_60098,base,gs_e5_C001_dense_r1,1.0,0.36989795918367346,0.14668367346938777,true,true,0.0000,0.0000,16.2820,조립
DEBY_LOD2_60098,base,gs_e5_C001_dense_r2,1.0,0.37244897959183676,0.09948979591836735,true,true,0.5000,1.0000,8.5475,조립
DEBY_LOD2_60098,base,gs_e5_C001_acmp_r1,0.9974489795918368,0.475765306122449,0.18877551020408162,true,false,0.5000,0.5000,5.4602,무효·붕괴
DEBY_LOD2_60098,base,gs_e5_C001_acmp_r2,0.9987244897959183,0.4336734693877551,0.14668367346938777,true,true,0.5000,1.0000,6.8135,조립
DEBY_LOD2_60098,minobs2,gs_e5_C001_sparse_r1,1.0,0.7410714285714286,0.39285714285714285,true,false,1.0000,0.5000,4.5819,무효·붕괴
DEBY_LOD2_60098,minobs2,gs_e5_C001_sparse_r2,0.9974489795918368,0.75,0.5459183673469388,true,false,0.5000,0.5000,9.0758,무효·붕괴
DEBY_LOD2_60098,minobs2,gs_e5_C001_dense_r1,1.0,0.8533163265306123,0.6645408163265306,true,true,1.0000,0.4000,7.9238,조립
DEBY_LOD2_60098,minobs2,gs_e5_C001_dense_r2,1.0,0.8698979591836735,0.6543367346938775,true,true,1.0000,0.3333,7.5989,조립
DEBY_LOD2_60098,minobs2,gs_e5_C001_acmp_r1,0.9974489795918368,0.8099489795918368,0.7002551020408163,true,false,1.0000,0.4000,6.9494,무효·붕괴
DEBY_LOD2_60098,minobs2,gs_e5_C001_acmp_r2,0.9987244897959183,0.8252551020408163,0.6160714285714286,true,true,1.0000,0.4000,6.5486,조립
DEBY_LOD2_60098,minobs1,gs_e5_C001_sparse_r1,1.0,1.0,0.9948979591836735,true,false,1.0000,0.0392,23.2529,무효·붕괴
DEBY_LOD2_60098,minobs1,gs_e5_C001_sparse_r2,0.9974489795918368,0.9974489795918368,0.9923469387755102,true,false,1.0000,0.0714,15.0725,무효·붕괴
DEBY_LOD2_60098,minobs1,gs_e5_C001_dense_r1,1.0,1.0,0.9987244897959183,true,false,1.0000,0.0385,17.4496,무효·붕괴
DEBY_LOD2_60098,minobs1,gs_e5_C001_dense_r2,1.0,1.0,1.0,true,false,1.0000,0.0741,16.3909,무효·붕괴
DEBY_LOD2_60098,minobs1,gs_e5_C001_acmp_r1,0.9974489795918368,0.9974489795918368,0.9502551020408163,true,true,1.0000,0.0909,9.6356,조립
DEBY_LOD2_60098,minobs1,gs_e5_C001_acmp_r2,0.9987244897959183,0.9987244897959183,0.9948979591836735,true,false,1.0000,0.0455,11.4848,무효·붕괴
DEBY_LOD2_60098,sor_weak,gs_e5_C001_sparse_r1,1.0,0.20408163265306123,0.10714285714285714,true,true,0.5000,1.0000,3.1951,조립
DEBY_LOD2_60098,sor_weak,gs_e5_C001_sparse_r2,0.9974489795918368,0.3163265306122449,0.21173469387755103,true,false,0.5000,0.5000,6.0445,무효·붕괴
DEBY_LOD2_60098,sor_weak,gs_e5_C001_dense_r1,1.0,0.36989795918367346,0.2767857142857143,true,true,0.5000,0.5000,6.1574,조립
DEBY_LOD2_60098,sor_weak,gs_e5_C001_dense_r2,1.0,0.37244897959183676,0.23214285714285715,true,true,0.5000,1.0000,4.1229,조립
DEBY_LOD2_60098,sor_weak,gs_e5_C001_acmp_r1,0.9974489795918368,0.475765306122449,0.350765306122449,true,false,1.0000,0.6667,3.6671,무효·붕괴
