setting,n,has_lod22,val3dity_valid,not_built,roof0_success,invalid_or_collapse,assembled,mean_coverage_pre_minobs,mean_coverage_post_minobs,mean_coverage_post_sor,mean_completeness,mean_correctness,median_ref_rms_m,mean_ref_rms_m,delta_coverage_post_sor_vs_base,delta_correctness_vs_base,delta_ref_rms_m_vs_base
base,108,74,88,34,0,22,52,0.9953,0.3081,0.1827,0.2894,0.5053,5.1679,7.2631,,,
minobs2,108,95,83,13,0,31,64,0.9953,0.6397,0.4411,0.5208,0.4180,4.2668,9.2856,0.2584,-0.0025,-0.7431
minobs1,108,108,48,0,0,72,36,0.9953,0.9953,0.9523,0.6574,0.1054,17.0527,21.6381,0.7696,-0.3870,10.1109
sor_weak,108,82,92,26,0,19,63,0.9953,0.3081,0.2380,0.3588,0.5172,4.2632,8.6749,0.0552,0.0550,-0.0310
sor_off,108,82,85,26,0,29,53,0.9953,0.3081,0.3081,0.4190,0.5352,3.7424,8.4397,0.1254,0.0763,0.0718
voxel03,108,32,97,76,0,10,22,0.9952,0.1582,0.0825,0.1528,0.7737,3.5507,4.7778,-0.1002,0.1051,1.7324
voxel02,108,15,95,93,0,8,7,0.9954,0.0894,0.0588,0.0926,0.7749,2.5186,2.8892,-0.1240,0.1820,0.7724
relaxed,108,108,44,0,0,79,29,0.9952,0.9952,0.9952,0.6806,0.1061,18.5744,21.7556,0.8125,-0.3880,10.0295
