row_type,view_stem,provenance,shift_z_m,building_id,active_for_loss_address,true_roof_total,eligible_ge256_true_roof,correct,wrong,unassigned_no_owner,cutline_excluded,inactive_veto_excluded,assigned,assigned_coverage_of_eligible,assigned_coverage_excluding_cutline_and_veto,conditional_misassignment_rate,wrong_assigned_owner_confusion_json,wrong_top_assigned_owner_id,wrong_top_assigned_owner_count,raycast_id_is_loss_input
view,DJI_20241217095625_0075_D,actual_label_source_legacy48p0,556.0,__ALL_C00118__,mixed,250759,250759,250759,0,0,0,0,250759,1.0,1.0,0.0,{},,0,False
view,DJI_20241217095625_0075_D,actual_label_source_legacy48p0,556.0,DEBY_LOD2_108247349,True,0,0,0,0,0,0,0,0,,,,{},,0,False
view,DJI_20241217095625_0075_D,actual_label_source_legacy48p0,556.0,DEBY_LOD2_108247350,True,0,0,0,0,0,0,0,0,,,,{},,0,False
view,DJI_20241217095625_0075_D,actual_label_source_legacy48p0,556.0,DEBY_LOD2_108247351,True,0,0,0,0,0,0,0,0,,,,{},,0,False
view,DJI_20241217095625_0075_D,actual_label_source_legacy48p0,556.0,DEBY_LOD2_4907184,True,243468,243468,243468,0,0,0,0,243468,1.0,1.0,0.0,{},,0,False
view,DJI_20241217095625_0075_D,actual_label_source_legacy48p0,556.0,DEBY_LOD2_4907185,True,3511,3511,3511,0,0,0,0,3511,1.0,1.0,0.0,{},,0,False
view,DJI_20241217095625_0075_D,actual_label_source_legacy48p0,556.0,DEBY_LOD2_4907186,True,0,0,0,0,0,0,0,0,,,,{},,0,False
view,DJI_20241217095625_0075_D,actual_label_source_legacy48p0,556.0,DEBY_LOD2_4907188,True,0,0,0,0,0,0,0,0,,,,{},,0,False
view,DJI_20241217095625_0075_D,actual_label_source_legacy48p0,556.0,DEBY_LOD2_4907194,True,0,0,0,0,0,0,0,0,,,,{},,0,False
view,DJI_20241217095625_0075_D,actual_label_source_legacy48p0,556.0,DEBY_LOD2_4907195,True,0,0,0,0,0,0,0,0,,,,{},,0,False
view,DJI_20241217095625_0075_D,actual_label_source_legacy48p0,556.0,DEBY_LOD2_4907198,True,0,0,0,0,0,0,0,0,,,,{},,0,False
view,DJI_20241217095625_0075_D,actual_label_source_legacy48p0,556.0,DEBY_LOD2_4907199,True,0,0,0,0,0,0,0,0,,,,{},,0,False
view,DJI_20241217095625_0075_D,actual_label_source_legacy48p0,556.0,DEBY_LOD2_4907202,True,0,0,0,0,0,0,0,0,,,,{},,0,False
