row_type,building_id,view_stem,loss_address_active,projection_role,source_count,input_projection_z_local_m,zero_source_exclusion_only_global_median_z_local_m,reference_projection_z_local_m,reference_mask_pixels,input_mask_pixels,intersection_pixels,union_pixels,footprint_mask_iou,centroid_shift_px,input_over_reference_pixel_coverage,projection_z_minus_reference_m,selected_top3_by_reference_area,visible_view_count_available,selected_view_count,selected_view_stems,coverage_requirement,tuning,reference_role
building_median,DEBY_LOD2_4907198,MEDIAN_TOP3,True,loss_address_locked_input_median_z,1993,-26.15999984741211,,-27.070999999999913,136362.0,137222.0,132716.0,140868.0,0.9421302211999887,5.314992781605172,1.006306742347575,0.9110001525878033,True,1,1,DJI_20241217095531_0048_D,smoke/debug subset; >=3 assertion deferred to full run,none; input median locked before reference comparison,audit only; LoD2 z is never a loss-address input
view,DEBY_LOD2_4907199,DJI_20241217095441_0023_D,True,loss_address_locked_input_median_z,32,-26.304999351501465,,-34.33299999999997,45028,8615,7348,46295,0.15872124419483746,86.96686264106674,0.19132539753042552,8.028000648498505,True,2,,,,none; input median locked before reference comparison,audit only; LoD2 z is never a loss-address input
view,DEBY_LOD2_4907199,DJI_20241217095531_0048_D,True,loss_address_locked_input_median_z,32,-26.304999351501465,,-34.33299999999997,8906,0,0,8906,0.0,,0.0,8.028000648498505,True,2,,,,none; input median locked before reference comparison,audit only; LoD2 z is never a loss-address input
building_median,DEBY_LOD2_4907199,MEDIAN_TOP3,True,loss_address_locked_input_median_z,32,-26.304999351501465,,-34.33299999999997,26967.0,4307.5,3674.0,27600.5,0.07936062209741873,86.96686264106674,0.09566269876521276,8.028000648498505,True,2,2,DJI_20241217095441_0023_D;DJI_20241217095531_0048_D,smoke/debug subset; >=3 assertion deferred to full run,none; input median locked before reference comparison,audit only; LoD2 z is never a loss-address input
view,DEBY_LOD2_4907202,DJI_20241217095441_0023_D,True,loss_address_locked_input_median_z,1025,-36.7599983215332,,-37.03899999999999,84519,85701,84494,85726,0.985628630753797,1.6492201775673363,1.0139850211195116,0.27900167846678414,True,1,,,,none; input median locked before reference comparison,audit only; LoD2 z is never a loss-address input
building_median,DEBY_LOD2_4907202,MEDIAN_TOP3,True,loss_address_locked_input_median_z,1025,-36.7599983215332,,-37.03899999999999,84519.0,85701.0,84494.0,85726.0,0.985628630753797,1.6492201775673363,1.0139850211195116,0.27900167846678414,True,1,1,DJI_20241217095441_0023_D,smoke/debug subset; >=3 assertion deferred to full run,none; input median locked before reference comparison,audit only; LoD2 z is never a loss-address input
view,DEBY_LOD2_4908168,DJI_20241217095625_0075_D,True,loss_address_locked_input_median_z,93,-38.0099983215332,,-37.35349999999994,4680,5152,4619,5213,0.8860540955304047,1.6784807624510156,1.100854700854701,-0.6564983215332632,True,1,,,,none; input median locked before reference comparison,audit only; LoD2 z is never a loss-address input
building_median,DEBY_LOD2_4908168,MEDIAN_TOP3,True,loss_address_locked_input_median_z,93,-38.0099983215332,,-37.35349999999994,4680.0,5152.0,4619.0,5213.0,0.8860540955304047,1.6784807624510156,1.100854700854701,-0.6564983215332632,True,1,1,DJI_20241217095625_0075_D,smoke/debug subset; >=3 assertion deferred to full run,none; input median locked before reference comparison,audit only; LoD2 z is never a loss-address input
view,DEBY_LOD2_4908178,DJI_20241217095441_0023_D,True,loss_address_locked_input_median_z,419,-39.45000076293945,,-39.54249999999996,51884,52071,51685,52270,0.9888081117275684,0.872381772435711,1.0036041939711664,0.09249923706050822,True,1,,,,none; input median locked before reference comparison,audit only; LoD2 z is never a loss-address input
building_median,DEBY_LOD2_4908178,MEDIAN_TOP3,True,loss_address_locked_input_median_z,419,-39.45000076293945,,-39.54249999999996,51884.0,52071.0,51685.0,52270.0,0.9888081117275684,0.872381772435711,1.0036041939711664,0.09249923706050822,True,1,1,DJI_20241217095441_0023_D,smoke/debug subset; >=3 assertion deferred to full run,none; input median locked before reference comparison,audit only; LoD2 z is never a loss-address input
view,DEBY_LOD2_4908179,DJI_20241217095441_0023_D,False,global-median candidate places exclusion/veto only; building remains unassigned and receives no positive loss region,0,,-29.829999923706055,-40.205999999999904,24010,11037,2231,32816,0.06798512920526573,118.42300607852047,0.45968346522282383,10.376000076293849,True,1,,,,none; input median locked before reference comparison,audit only; LoD2 z is never a loss-address input
building_median,DEBY_LOD2_4908179,MEDIAN_TOP3,False,global-median candidate places exclusion/veto only; building remains unassigned and receives no positive loss region,0,,-29.829999923706055,-40.205999999999904,24010.0,11037.0,2231.0,32816.0,0.06798512920526573,118.42300607852047,0.45968346522282383,10.376000076293849,True,1,1,DJI_20241217095441_0023_D,smoke/debug subset; >=3 assertion deferred to full run,none; input median locked before reference comparison,audit only; LoD2 z is never a loss-address input
view,DEBY_LOD2_60098,DJI_20241217095531_0048_D,True,loss_address_locked_input_median_z,521,-24.219999313354492,,-28.557999999999936,32432,10689,10689,32432,0.329581894425259,54.310213906615395,0.329581894425259,4.338000686645444,True,1,,,,none; input median locked before reference comparison,audit only; LoD2 z is never a loss-address input
building_median,DEBY_LOD2_60098,MEDIAN_TOP3,True,loss_address_locked_input_median_z,521,-24.219999313354492,,-28.557999999999936,32432.0,10689.0,10689.0,32432.0,0.329581894425259,54.310213906615395,0.329581894425259,4.338000686645444,True,1,1,DJI_20241217095531_0048_D,smoke/debug subset; >=3 assertion deferred to full run,none; input median locked before reference comparison,audit only; LoD2 z is never a loss-address input
view,DEBY_LOD2_8568391,DJI_20241217095441_0023_D,True,loss_address_locked_input_median_z,9,-38.91999816894531,,-40.781999999999925,23289,25296,21847,26738,0.8170768195078166,14.701650004197429,1.0861780239598093,1.862001831054613,True,1,,,,none; input median locked before reference comparison,audit only; LoD2 z is never a loss-address input
building_median,DEBY_LOD2_8568391,MEDIAN_TOP3,True,loss_address_locked_input_median_z,9,-38.91999816894531,,-40.781999999999925,23289.0,25296.0,21847.0,26738.0,0.8170768195078166,14.701650004197429,1.0861780239598093,1.862001831054613,True,1,1,DJI_20241217095441_0023_D,smoke/debug subset; >=3 assertion deferred to full run,none; input median locked before reference comparison,audit only; LoD2 z is never a loss-address input
view,DEBY_LOD2_8568392,DJI_20241217095441_0023_D,True,loss_address_locked_input_median_z,29,-39.630001068115234,,-40.92699999999991,2566,2742,2012,3296,0.6104368932038835,9.24091158302429,1.06858924395947,1.2969989318846729,True,1,,,,none; input median locked before reference comparison,audit only; LoD2 z is never a loss-address input
building_median,DEBY_LOD2_8568392,MEDIAN_TOP3,True,loss_address_locked_input_median_z,29,-39.630001068115234,,-40.92699999999991,2566.0,2742.0,2012.0,3296.0,0.6104368932038835,9.24091158302429,1.06858924395947,1.2969989318846729,True,1,1,DJI_20241217095441_0023_D,smoke/debug subset; >=3 assertion deferred to full run,none; input median locked before reference comparison,audit only; LoD2 z is never a loss-address input
