setting,run_name,arm,replicate,tsdf_npz,tsdf_sha256,coverage_csv,metrics_json,log,min_obs,voxel,alpha,sor,sor_std,surf_backproj,fused_all,minobs_kept,sor_kept,readout
base,gs_e5_C001_s3a_semantic_guided_r1,s3a,r1,results/tum_transfer/e5_s3_semantic_guided/C001/readout/base/gs_e5_C001_s3a_semantic_guided_r1/tsdf_gssem.npz,11f5f2625b3b9e771b44e573d311ac0a68ca296c7e21caffc3b80ac658db44e8,results/tum_transfer/e5_s3_semantic_guided/C001/readout/base/gs_e5_C001_s3a_semantic_guided_r1/stage_coverage.csv,results/tum_transfer/e5_s3_semantic_guided/C001/readout/base/gs_e5_C001_s3a_semantic_guided_r1/readout_metrics.json,results/tum_transfer/e5_s3_semantic_guided/C001/readout/base/gs_e5_C001_s3a_semantic_guided_r1/readout.log,3,0.05,0.5,on,2.0,10554245,3239564,643065,628764,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2)
base,gs_e5_C001_s3a_semantic_guided_r2,s3a,r2,results/tum_transfer/e5_s3_semantic_guided/C001/readout/base/gs_e5_C001_s3a_semantic_guided_r2/tsdf_gssem.npz,4127b5cd733b872aa6549a3e0f7aad7ed5f4ecdb082d84cd3f40691f9637ac75,results/tum_transfer/e5_s3_semantic_guided/C001/readout/base/gs_e5_C001_s3a_semantic_guided_r2/stage_coverage.csv,results/tum_transfer/e5_s3_semantic_guided/C001/readout/base/gs_e5_C001_s3a_semantic_guided_r2/readout_metrics.json,results/tum_transfer/e5_s3_semantic_guided/C001/readout/base/gs_e5_C001_s3a_semantic_guided_r2/readout.log,3,0.05,0.5,on,2.0,10724851,3321957,661816,648456,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2)
