building_id,group_new,view_idx,image_name,projected_roof_samples,roof_height_error_abs_median_m,roof_height_error_abs_p90_m,signed_height_error_median_m,roof_depth_error_abs_median_m,roof_depth_error_abs_p90_m,signed_depth_error_median_m,ellip_to_reference_shift_m,reference_roof_z_median_m,mono_ref_z_p50_m,crop_mono_depth_p10,crop_mono_depth_p90
DEBY_LOD2_4907184,양쪽 성공 6동,195,DJI_20241217095643_0084_D.JPG,591,2.7069,5.4241,2.7069,44.7306,47.4205,-44.7306,-45.7000,537.8935,538.1503,16.9142,24.5205
DEBY_LOD2_4907185,양쪽 성공 6동,146,DJI_20241217095503_0034_D.JPG,288,9.2090,12.7069,9.2090,51.8373,55.0511,-51.8373,-45.7000,534.8801,542.7804,15.1070,33.5645
DEBY_LOD2_4907198,양쪽 성공 6동,161,DJI_20241217095533_0049_D.JPG,640,4.7431,9.4393,2.6950,46.8831,52.0707,-46.8831,-45.7000,531.2390,533.1867,20.6548,42.0133
DEBY_LOD2_4907202,양쪽 성공 6동,146,DJI_20241217095503_0034_D.JPG,267,5.5363,6.4914,-5.3516,37.2487,45.2461,-37.2487,-45.7000,520.0880,516.4497,25.1202,41.2242
DEBY_LOD2_4908168,양쪽 성공 6동,146,DJI_20241217095503_0034_D.JPG,52,12.1684,14.8789,12.1684,54.5950,57.1629,-54.5950,-45.7000,520.7353,532.5932,16.7180,35.7484
DEBY_LOD2_4908178,양쪽 성공 6동,146,DJI_20241217095503_0034_D.JPG,202,2.3221,3.4173,-2.3221,39.8865,41.6176,-39.8865,-45.7000,519.1360,516.3093,37.1846,41.5423
DEBY_LOD2_4907199,입력 한계 5동/무늬없음·관측됨 3,161,DJI_20241217095533_0049_D.JPG,175,6.8042,7.0137,-6.8042,37.6751,39.1313,-37.6751,-45.7000,523.9670,517.1628,33.6200,41.8841
DEBY_LOD2_8568391,입력 한계 5동/무늬없음·관측됨 3,146,DJI_20241217095503_0034_D.JPG,96,0.2814,0.8103,-0.1593,41.5849,41.7426,-41.5849,-45.7000,517.5180,517.3587,37.0306,40.5886
DEBY_LOD2_8568392,입력 한계 5동/무늬없음·관측됨 3,136,DJI_20241217095443_0024_D.JPG,10,15.0603,15.5965,15.0603,54.0606,54.3221,-54.0606,-45.7000,517.3730,532.4333,23.8906,27.3334
DEBY_LOD2_60098,GS만 실패 5동,161,DJI_20241217095533_0049_D.JPG,350,13.8950,16.6374,-13.8950,30.6509,33.2762,-30.6509,-45.7000,535.9401,518.6004,28.7299,39.2225
DEBY_LOD2_4907186,GS만 실패 5동,53,DJI_20241217084843_0185_D.JPG,300,8.6836,12.9499,-8.4937,37.3066,43.5686,-37.3066,-45.7000,536.4700,524.4654,48.7700,69.1941
DEBY_LOD2_4907188,GS만 실패 5동,160,DJI_20241217095531_0048_D.JPG,199,7.9579,9.8276,-7.9579,40.1109,41.8193,-40.1109,-45.7000,533.2300,522.9801,32.0542,38.1608
DEBY_LOD2_4907194,GS만 실패 5동,135,DJI_20241217095441_0023_D.JPG,376,4.1024,5.4542,-4.1024,44.9140,47.3007,-44.9140,-45.7000,535.0141,528.9769,33.1576,37.2722
DEBY_LOD2_4907195,GS만 실패 5동,160,DJI_20241217095531_0048_D.JPG,316,4.4054,6.2103,-4.4054,43.3467,46.0805,-43.3467,-45.7000,536.4434,529.5198,28.6229,35.7765
