arm,replicate,run_name,rend_dist_mean_tail_m,rend_dist_p50_tail_m,audit_rows_tail,denominator,audit_csv,note
arm1,r1,gs_e5_C001_s2_arm1_dense_r1,0.4156,0.2795,10,1453.9805,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r1/audit/loss_grad_norms.csv,tail audit reconstruction: loss_dist raw_loss * distort_norm_denominator
arm1,r2,gs_e5_C001_s2_arm1_dense_r2,0.3577,0.2435,10,1453.9805,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r2/audit/loss_grad_norms.csv,tail audit reconstruction: loss_dist raw_loss * distort_norm_denominator
arm2,r1,gs_e5_C001_s2_arm2_dense_r1,0.5841,0.3583,10,1453.9805,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm2_dense_r1/audit/loss_grad_norms.csv,tail audit reconstruction: loss_dist raw_loss * distort_norm_denominator
arm2,r2,gs_e5_C001_s2_arm2_dense_r2,0.7179,0.2994,10,1453.9805,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm2_dense_r2/audit/loss_grad_norms.csv,tail audit reconstruction: loss_dist raw_loss * distort_norm_denominator
arm0,r1,gs_e5_C001_s2_arm0_dense_r1,2.4081,1.2369,10,1453.9805,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm0_dense_r1/audit/loss_grad_norms.csv,tail audit reconstruction: loss_dist raw_loss * distort_norm_denominator
arm0,r2,gs_e5_C001_s2_arm0_dense_r2,1.8493,1.3131,10,1453.9805,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm0_dense_r2/audit/loss_grad_norms.csv,tail audit reconstruction: loss_dist raw_loss * distort_norm_denominator
