selection_rank,building_id,tier,role,calibration_exposed,later_extension_judgment_eligible,centroid_x_m,centroid_y_m,core_footprint_distance_m,als_density_pts_m2,dim_density_pts_m2,support_geomean_pts_m2,maximin_distance_m,stable_tie_sha256,selection_reason,screen_uses_correspondence_residuals,screen_roof_fixed_points,screen_roof_moving_points,screen_roof_fixed_valid_normals,screen_roof_moving_valid_normals,screen_roof_pass,screen_ground_fixed_points,screen_ground_moving_points,screen_ground_fixed_valid_normals,screen_ground_moving_valid_normals,screen_ground_pass,geometry_feasibility_pass,prior_lock1_role,prior_fit_residual_exposed
12,DEBY_LOD2_4959460,surface,fit,true,false,691023.470590627,5336205.264349455,64.788871614,14.249721000,461.568329000,81.100061102,59.615774713,9c2d9c1190f89ef98aaac01a5b9fb6b29d0db759d4aefbae3f91d7944990e2d8,extension_allowed_tier_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;pre_role_geometry_feasibility_pass;support_seed_then_centroid_maximin,False,2500,2500,427,617,true,2500,2500,2188,1892,true,true,fit,true
13,DEBY_LOD2_4906969,surface,fit,true,false,690927.856828119,5336018.427554713,48.864261648,18.301449000,272.265503000,70.589327930,54.615413849,4e9ffbc1c09d21bc316489f874a0a6b6da3df4f63dbde56b60ffd333a5ecbe18,extension_allowed_tier_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;pre_role_geometry_feasibility_pass;support_seed_then_centroid_maximin,False,1334,2500,1239,1394,true,1777,1735,1770,1527,true,true,fit,true
14,DEBY_LOD2_4906984,surface,fit,true,false,690973.076822077,5336287.518357986,54.665214470,11.370409000,79.561867000,30.077416255,51.351571109,24c8f9cb3ca22c76dcc9e34f1560666a94953258890ecacbf0eb9d69592355d9,extension_allowed_tier_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;pre_role_geometry_feasibility_pass;support_seed_then_centroid_maximin,False,1440,2453,1417,2216,true,631,1947,628,1506,true,true,fit,true
15,DEBY_LOD2_4959464,surface,fit,true,false,691036.142007445,5336310.008929197,44.437910608,18.938215000,183.725403000,58.986703442,46.471331700,ebaf41c260c446aa1d1e2d8298f6f05087b7ed3ff23436a3ff8156d6d7609d2f,extension_allowed_tier_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;pre_role_geometry_feasibility_pass;support_seed_then_centroid_maximin,False,1363,2337,1328,1949,true,2366,2500,2364,2213,true,true,fit,true
16,DEBY_LOD2_4907518,surface,fit,true,false,690927.186207770,5335908.609080805,61.722722720,19.498507000,570.181091000,105.440409683,43.291833798,54b5a40aeb0a3e074e19f15676b859f8e23639b1b9f1747a14a01ad9dfa12a93,extension_allowed_tier_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;pre_role_geometry_feasibility_pass;support_seed_then_centroid_maximin,False,1599,2500,1568,2285,true,2500,2500,2500,2240,true,true,fit,true
17,DEBY_LOD2_4959325,surface,fit,true,false,691078.850465198,5336247.138692626,28.575942144,11.097561000,192.281464000,46.193671384,36.468041598,63edd20f43d00d270620f30b3832c5c05aeab95f13c9bbf5aa24c502ed6b668e,extension_allowed_tier_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;pre_role_geometry_feasibility_pass;support_seed_then_centroid_maximin,False,2500,2500,2434,2301,true,2500,2500,2490,2354,true,true,fit,true
18,DEBY_LOD2_4907507,surface,fit,true,false,690848.077839395,5335940.915900441,24.170083440,21.074734000,667.520264000,118.607807515,30.305627385,3658902a250ec5d0fd6db4f17b0822fd028c63d50e72434323b1a88308ed0e94,extension_allowed_tier_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;pre_role_geometry_feasibility_pass;support_seed_then_centroid_maximin,False,2495,2500,2455,2345,true,1482,2500,1481,1871,true,true,fit,true
19,DEBY_LOD2_4906980,surface,trigger,true,false,691003.144226111,5335975.078609532,105.331393706,16.896969000,224.295456000,61.562272269,86.875332199,641350d429c6ea6b5fbe7535e7d615a61990a1c746b62bc17b24793a9044ee1d,extension_allowed_tier_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;pre_role_geometry_feasibility_pass;support_seed_then_centroid_maximin,False,247,530,244,444,true,479,1266,479,988,true,true,check,false
20,DEBY_LOD2_4959458,surface,check,true,false,691023.149102486,5336141.517090578,76.422048684,19.780184000,942.165466000,136.514491084,62.870062677,f86d81eefa42b452b46c42f1e3e178858a5b7ac7e1df2acb605b3dd0faa23a5e,extension_allowed_tier_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;pre_role_geometry_feasibility_pass;support_seed_then_centroid_maximin,False,2500,2500,2425,2283,true,2032,2500,2026,2024,true,true,check,false
21,DEBY_LOD2_4959340,surface,trigger,true,false,691145.707129110,5336284.614536820,44.920530751,11.279584000,93.788177000,32.525245897,59.871333111,f60c7c6178a94620e7315ca6200c7be298794e4f7a462c4ad2d7339fd039371f,extension_allowed_tier_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;pre_role_geometry_feasibility_pass;support_seed_then_centroid_maximin,False,2322,2500,2320,2473,true,2434,2500,2432,2286,true,true,check,false
22,DEBY_LOD2_108580336,surface,check,true,false,691000.852067558,5336033.903682815,61.163244682,18.559450000,356.527710000,81.344687641,58.869714095,021df55ccb3cbb82fa94ee6e87c8fb9943b03c90f1ff2275ae7b15d828d3d1fc,extension_allowed_tier_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;pre_role_geometry_feasibility_pass;support_seed_then_centroid_maximin,False,2500,2500,345,210,true,2500,2500,2395,1703,true,true,trigger,false
