run,label,bid,status,is_B104,is_B6,is_roof_complex,is_terrain_sensitive,n_evidence_points,lmu5_proxy,lmu5_roof_p10,lmu5_terrain_p90,lmu5_margin,lmu5_violation_frac,lmu6_proxy,lmu6_roof_mismatch,lmu6_wall_mismatch,lmu6_terrain_mismatch,lmu6_gate_rate,lmu6_entropy_mean,lmu7_proxy,lmu7_roof_wall_edges,lmu7_missing_adjacency_frac,lmu7_normal_parallel_violation,lmu7_height_order_violation,lmu8_proxy,lmu8_wall_ground_edges,lmu8_missing_adjacency_frac,lmu8_wall_ground_gap,lmu8_topology_penalty,F,roof_cov,wall_cov,ground_cov,support_cov,roof_support_cov,wall_support_cov,ground_support_cov,h_err,vol_ratio,chamfer,open_edges,non_manifold_edges
A0_baseline_w0,Baseline,B0,OK,0,0,0,0,4925,0.0,16.123181533813476,0.3129738181829453,15.810207715630531,0.0,0.02577176173121716,0.00015391674322848308,0.022813021087936775,0.0028048239000519008,0.9991878172588833,0.08092536917644161,0.13412749818988834,12.0,0.0,0.2682549963797767,0.0,0.0,12.0,0.0,0.0,0.0,0.9728467094932192,0.8263333333333334,0.9713333333333334,1.0,0.6296666666666666,0.964,0.699,0.26,0.5147637191853889,1.261656124676126,0.22223519557091428,0,0
A0_baseline_w0,Baseline,B1,OK,0,0,0,0,5017,0.0,16.96168746948242,0.5902176201343534,16.371469849348067,0.0,0.01912930143099582,7.409145208103975e-05,0.017913134928066947,0.0011420750508478353,0.9990033884791708,0.0710290237049594,0.10826510884354797,6.0,0.0,0.21653021768709593,0.0,0.0,6.0,0.0,0.0,0.0,0.9176567692726777,0.4583333333333333,0.9326666666666666,1.0,0.454,0.781,0.506,0.112,0.24819397597242698,0.7072408054726442,0.26403558491217377,0,0
A0_baseline_w0,Baseline,B2,OK,0,0,0,0,3828,0.0,13.949943542480469,0.3382968664169312,13.611646676063538,0.0,0.012886534807890542,7.070006366364323e-05,0.011883148536294246,0.0009326862079326492,0.9986938349007315,0.05713391535572514,0.0026001933951183185,6.0,0.0,0.005200386790236637,0.0,0.0,6.0,0.0,0.0,0.0,0.9897403946002077,0.9926666666666667,0.985,1.0,0.5213333333333333,1.0,0.438,0.192,0.5108305871457208,2.0663124545008826,0.2042016440133893,0,0
A0_baseline_w0,Baseline,B8,OK,0,0,0,0,4567,0.0,14.020663642883301,0.33083360791206345,13.689830034971237,0.0,0.01857396225304555,5.6530918847411876e-05,0.017571238151073948,0.0009461931831241867,0.9938690606525071,0.07429048667274084,0.16249975890366966,8.0,0.0,0.3249995178073393,0.0,0.0,8.0,0.0,0.0,0.0,0.9200395423948806,1.0,0.9786666666666667,0.6526666666666666,0.5596666666666666,1.0,0.465,0.201,0.7801257787155489,1.6021541520028826,0.21782571693062747,0,0
A0_baseline_w0,Baseline,B6,OK,0,1,0,1,3267,0.0,14.68366298675537,0.3255312025547027,14.358131784200667,0.0,0.035911136830792355,0.00015620587145649822,0.03465105711691178,0.001103873842424081,0.9993878175696358,0.1070741364225816,0.13472317355229482,12.0,0.0,0.26944634710458965,0.0,0.0,12.0,0.0,0.0,0.0,0.8970829540176498,0.568,0.94,0.9843333333333333,0.43,0.77,0.402,0.121,2.7676393740851424,0.6712418735185302,0.2709476276746064,0,0
A0_baseline_w0,Baseline,B3,OK,0,0,1,0,28294,0.0,3.325164794921875,1.3296943187713623,1.9954704761505127,4.545247943275306e-05,0.017515615591840148,0.00012213957397534724,0.016657138698058998,0.0007363373198058016,0.9949105817487807,0.06980265929047297,0.2167683537699685,42.0,0.0,0.433536707539937,0.0,0.0,42.0,0.0,0.0,0.0,0.436401919654208,0.165,0.612,0.8846666666666667,0.27499999999999997,0.309,0.462,0.084,1.535283243902331,0.9213967145066997,1.0601712802097971,0,0
A0_baseline_w0,Baseline,B123,OK,0,0,1,0,27203,0.0,4.5074080467224125,0.46355497837066667,4.043853068351746,0.0,0.018697794236865507,4.503295698456476e-05,0.01783186824666992,0.0008208930332110174,0.9959563283461383,0.06855664174047324,0.06022327122352742,28.0,0.0,0.12044654244705484,0.0,0.0,28.0,0.0,0.0,0.0,0.5901894142554693,0.15066666666666667,0.649,0.9496666666666667,0.38799999999999996,0.295,0.708,0.172,0.16596848469530912,0.9316435094161539,0.8174948971738922,0,0
A0_baseline_w0,Baseline,B126,OK,0,0,1,0,17920,0.0,4.163508319854737,0.4588549733161926,3.704653346538544,0.0,0.02340803075595207,5.9637116540590666e-05,0.022488348049089155,0.0008600455903223298,0.9978794642857143,0.08467638345057042,0.12942841391420018,25.0,0.0,0.25885682782840036,0.0,0.0,25.0,0.0,0.0,0.0,0.543352157943067,0.15,0.606,0.968,0.25766666666666665,0.193,0.491,0.082,1.017865068685019,0.822673846609622,1.0588825887394944,0,0
A0_baseline_w0,Baseline,B50,OK,0,0,0,1,4360,0.0,16.50130424499512,0.5691452026367188,15.9321590423584,0.0,0.03230429387034744,9.777243055042326e-05,0.031449676761944205,0.0007568446778528092,0.9995412844036697,0.08807908670275597,0.026485110473451468,10.0,0.0,0.052970220946902936,0.0,0.0,10.0,0.0,0.0,0.0,0.9403203060380481,0.578,0.9516666666666667,1.0,0.46566666666666673,0.917,0.383,0.105,0.16468825299822498,1.013277376940771,0.23903648069455186,0,0
A0_baseline_w0,Baseline,B104,OK,1,0,0,1,707,0.0,3.6467636108398436,0.6754822611808777,2.971281349658966,0.0,0.03258239005845316,3.223921974980172e-05,0.03121265920617723,0.0013374916325261305,0.9872701555869873,0.1392075524761248,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.7486666666666667,1.0,0.741,0.497,0.1159494262368046,0.9859814541920804,0.08439719404584271,0,0
