building_id,anchor,clean_negative_used,lowtex_valid,roof_lowtex_v5,roof_lowtex_v4,lowtex_v5_view,lowtex_v5_zenith_deg,lowtex_v5_frame_r,lowtex_v5_inframe_frac
DEBY_LOD2_4907182,positive_lowtex,0,valid,0.738,0.398,DJI_20241217084711_0139_D.JPG,60.991,0.761,1.0
DEBY_LOD2_42364609,positive_lowtex,0,valid,0.546,0.886,DJI_20241217084535_0091_D.JPG,60.337,0.623,1.0
DEBY_LOD2_4907510,positive_lowtex,0,valid,0.554,0.365,DJI_20241217084643_0125_D.JPG,18.409,0.668,1.0
DEBY_LOD2_4908050,positive_lowtex,0,valid,0.244,0.657,DJI_20241217084521_0084_D.JPG,60.146,0.827,1.0
DEBY_LOD2_4908166,positive_lowtex,0,valid,0.599,0.726,DJI_20241217084535_0091_D.JPG,60.126,0.665,1.0
DEBY_LOD2_4908176,positive_lowtex,0,valid,0.293,0.571,DJI_20241217084731_0149_D.JPG,60.652,0.52,1.0
DEBY_LOD2_4906972,negative_textured,1,valid,0.125,0.087,DJI_20241217084407_0047_D.JPG,7.22,0.594,1.0
DEBY_LOD2_4908023,negative_textured,0,valid,0.288,0.618,DJI_20241217084841_0184_D.JPG,15.648,0.47,1.0
DEBY_LOD2_4907028,negative_textured,1,valid,0.708,0.038,DJI_20241217103501_0040_D.JPG,84.19,0.722,1.0
DEBY_LOD2_4908354,negative_textured,1,valid,0.29,0.107,DJI_20241217084643_0125_D.JPG,11.517,0.381,1.0
DEBY_LOD2_4907520,negative_textured,1,valid,0.104,0.156,DJI_20241217084345_0036_D.JPG,2.24,0.372,1.0
