setting,mean_coverage_post_sor,mean_correctness,median_ref_rms_m,has_lod22,val3dity_valid,coverage_delta_vs_base,correctness_delta_vs_base,median_ref_rms_delta_vs_base,tradeoff_note
base,0.2559,0.6667,3.0396,37,40,0.0000,0.0000,0.0000,little_coverage_gain
voxel02,0.0768,0.8538,1.1932,13,46,-0.1791,0.1871,-1.8464,little_coverage_gain
