setting,run_name,arm,replicate,coverage_pre_minobs,coverage_post_minobs,coverage_post_sor,drop_pre_to_minobs,drop_minobs_to_sor,drop_pre_to_final
base,gs_e5_C001_s1_acmp_r1,acmp,r1,0.9790,0.4940,0.2888,0.4850,0.2052,0.6902
base,gs_e5_C001_s1_dense_r1,dense,r1,0.8515,0.4169,0.2428,0.4347,0.1741,0.6087
base,gs_e5_C001_s1_sparse_r1,sparse,r1,0.9551,0.3909,0.2361,0.5642,0.1548,0.7190
voxel02,gs_e5_C001_s1_acmp_r1,acmp,r1,0.9791,0.1442,0.0783,0.8348,0.0659,0.9007
voxel02,gs_e5_C001_s1_dense_r1,dense,r1,0.8516,0.1377,0.0791,0.7139,0.0586,0.7725
voxel02,gs_e5_C001_s1_sparse_r1,sparse,r1,0.9552,0.1346,0.0729,0.8206,0.0617,0.8823
