bid,file_exists,source,footprint_crop_hit_rate,semantic_label_distribution,semantic_entropy,normal_consistency,empty_domain,bid_int,n_points,n_roof,n_wall,n_ground,n_bg,mean_support,confidence_mean,confidence_p05,confidence_p50,confidence_p95,x_min,y_min,z_min,x_max,y_max,z_max,invalid_coordinate_count,roof_mean_abs_gravity_dot,wall_mean_abs_gravity_dot,ground_mean_abs_gravity_dot,pass_basic
B0,True,E1_Baseline_rendered,0.0018661803127241732,"{""0"": 0, ""1"": 1866, ""2"": 2748, ""3"": 321}",0.04419041597775489,0.8403808579125968,0,0,4935,1866,2748,321,0,0.9422779333929644,0.9375008852708907,0.49633697867393495,0.9965543746948242,0.9995770573616027,-100.90789794921875,-17.038488388061523,-79.16204833984375,-89.02854919433594,0.0918121337890625,-63.5796012878418,0,0.9396259057819876,0.16401331488974394,0.9676756073118631,True
B1,True,E1_Baseline_rendered,0.0018442474944591273,"{""0"": 0, ""1"": 3562, ""2"": 1228, ""3"": 87}",0.04174756324472767,0.9071676837244328,0,1,4877,3562,1228,87,0,0.9703750801237362,0.9544056112300746,0.6225847840309143,0.9986010193824768,0.9997114419937134,-95.0383529663086,-19.28938102722168,-45.621429443359375,-80.44670867919922,0.1151885986328125,-25.13479995727539,0,0.9756659024234838,0.2191867802946849,0.9200439807748281,True
B2,True,E1_Baseline_rendered,0.0014192046025640977,"{""0"": 0, ""1"": 2613, ""2"": 1062, ""3"": 78}",0.03777910532868008,0.945767589967548,0,2,3753,2613,1062,78,0,0.9541821106097046,0.9434460711707886,0.5704825282096864,0.9950655102729797,0.9996055841445923,-85.77239227294922,-14.827516555786133,-5.407858848571777,-73.41181182861328,0.0451812744140625,8.84615421295166,0,0.9862753598529544,0.16525941545805745,0.9433600391383528,True
B8,True,E1_Baseline_rendered,0.0016128184465589866,"{""0"": 0, ""1"": 2783, ""2"": 1391, ""3"": 91}",0.03834404466904759,0.9580756482334624,0,8,4265,2783,1391,91,0,0.9563435349696406,0.9416822767900555,0.5856042742729187,0.9964119791984558,0.9996621489524842,-64.0564193725586,-15.314453125,4.5656962394714355,-51.545677185058594,0.0460662841796875,19.391279220581055,0,0.9837877368036455,0.1694092370634142,0.9419356772496522,True
B6,True,E1_Baseline_rendered,0.0012373134717798369,"{""0"": 0, ""1"": 2065, ""2"": 1117, ""3"": 90}",0.07428400184904987,0.8849440334553274,0,6,3272,2065,1117,90,0,0.9404380816151103,0.9286088282105793,0.5452341645956039,0.9962590336799622,0.9996777534484863,-84.30695343017578,-20.206647872924805,-58.33988952636719,-70.9479751586914,0.21953582763671875,-46.903907775878906,0,0.9308029504893262,0.24905147043065454,0.8734718288478535,True
B3,True,E1_Baseline_rendered,0.01050014766837125,"{""0"": 0, ""1"": 21917, ""2"": 5062, ""3"": 788}",0.04365386134763997,0.8247840259821557,0,3,27767,21917,5062,788,0,0.9386271611636882,0.9243751680317123,0.5435586512088777,0.9904285669326782,0.9995535433292388,-87.76496887207031,-26.734960556030273,-53.273101806640625,6.625758647918701,0.17131029069423676,-2.005756139755249,0,0.9021225990437467,0.23513706379590862,0.9181366461041811,True
B123,True,E1_Baseline_rendered,0.009835734535755977,"{""0"": 0, ""1"": 18388, ""2"": 6771, ""3"": 851}",0.04273223300303725,0.9551463319025095,0,123,26010,18388,6771,851,0,0.9361053502216494,0.9195392878424635,0.4747825846076012,0.996955394744873,0.9996283173561096,-50.92014694213867,-68.66598510742188,-92.50682830810547,-16.894519805908203,1.0169366598129272,-60.332420349121094,0,0.9789628400990891,0.20591277685350537,0.9379617410733083,True
B126,True,E1_Baseline_rendered,0.006392282068143754,"{""0"": 0, ""1"": 12794, ""2"": 3752, ""3"": 358}",0.05695322542995373,0.8908410705492088,0,126,16904,12794,3752,358,0,0.9371292374052295,0.9166785748481532,0.5048744708299637,0.9945485889911652,0.9995583206415176,-65.57608795166016,-20.625831604003906,-102.52020263671875,-39.56618881225586,0.12876129150390625,-73.48129272460938,0,0.8984409374566641,0.22455894463269316,0.9597975192707845,True
B50,True,E1_Baseline_rendered,0.001597692364996886,"{""0"": 0, ""1"": 3257, ""2"": 872, ""3"": 96}",0.06468982761378919,0.8236167574459619,0,50,4225,3257,872,96,0,0.9394658639762529,0.924201136823942,0.42760212421417243,0.9974292516708374,0.99970703125,-27.70390510559082,-19.386186599731445,27.007001876831055,-11.458805084228516,0.11469268798828125,39.22460174560547,0,0.8681578155402403,0.291331162813626,0.8523059993347507,True
B104,True,E1_Baseline_rendered,0.00026016860286813196,"{""0"": 0, ""1"": 445, ""2"": 83, ""3"": 160}",0.1255090966044617,0.9545309876030299,0,104,688,445,83,160,0,0.7919069606117731,0.7904582484083813,0.32064556181430814,0.9716885685920715,0.9994111359119415,65.18627166748047,-13.996748924255371,72.73114013671875,71.9669189453125,0.8467563390731812,80.62671661376953,0,0.9751294619473792,0.6292283596019318,0.9743060543297076,True
