row_type,bid,baseline_status,mutual_status,both_ok,baseline_roof_cov,mutual_roof_cov,delta_mutual_minus_baseline_roof_cov,baseline_wall_cov,mutual_wall_cov,delta_mutual_minus_baseline_wall_cov,baseline_ground_cov,mutual_ground_cov,delta_mutual_minus_baseline_ground_cov,baseline_support_cov,mutual_support_cov,delta_mutual_minus_baseline_support_cov,baseline_roof_support_cov,mutual_roof_support_cov,delta_mutual_minus_baseline_roof_support_cov,baseline_wall_support_cov,mutual_wall_support_cov,delta_mutual_minus_baseline_wall_support_cov,baseline_ground_support_cov,mutual_ground_support_cov,delta_mutual_minus_baseline_ground_support_cov,baseline_F,mutual_F,delta_mutual_minus_baseline_F,baseline_h_err,mutual_h_err,delta_mutual_minus_baseline_h_err,baseline_vol_ratio,mutual_vol_ratio,delta_mutual_minus_baseline_vol_ratio,baseline_chamfer,mutual_chamfer,delta_mutual_minus_baseline_chamfer,baseline_edge_ok,mutual_edge_ok,delta_mutual_minus_baseline_edge_ok,baseline_open_edges,mutual_open_edges,delta_mutual_minus_baseline_open_edges,baseline_nonmanifold_edges,mutual_nonmanifold_edges,delta_mutual_minus_baseline_nonmanifold_edges,baseline_roof_wall_adjacency_count,mutual_roof_wall_adjacency_count,delta_mutual_minus_baseline_roof_wall_adjacency_count,baseline_wall_ground_adjacency_count,mutual_wall_ground_adjacency_count,delta_mutual_minus_baseline_wall_ground_adjacency_count
summary,ALL,OK 10/10,OK 10/10,10,0.6241,0.6090333333333333,-0.015066666666666667,0.8554666666666666,0.8542666666666665,-0.001200000000000001,0.8743000000000001,0.8374333333333333,-0.03686666666666667,0.4591333333333333,0.4493666666666667,-0.009766666666666684,0.7372000000000001,0.724,-0.013199999999999998,0.5066,0.5139,0.007299999999999996,0.13340000000000002,0.11000000000000001,-0.023400000000000004,0.8216835986580682,0.803260939990199,-0.018422658667869306,1.091747398531087,0.907610764592986,-0.18413663393810115,1.0343683439795315,1.0194911575493755,-0.014877186430156097,0.4580980326302438,0.4575642266537601,-0.0005338059764837422,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3,15.3,0.0,15.3,15.3,0.0
bid,B0,OK,OK,True,0.7083333333333334,0.7706666666666667,0.06233333333333335,0.9666666666666667,0.9623333333333334,-0.0043333333333333,1.0,1.0,0.0,0.5643333333333334,0.5923333333333333,0.027999999999999914,0.749,0.863,0.11399999999999999,0.675,0.667,-0.008000000000000007,0.251,0.231,-0.01999999999999999,0.9431012572505374,0.959110599478714,0.016009342228176626,0.46317344274640604,0.5267500991966507,0.06357665645024468,1.1037195319762478,1.101200743096035,-0.00251878888021273,0.24164808654486314,0.22915601091957324,-0.012492075625289895,True,True,0.0,0,0,0.0,0,0,0.0,12,12,0.0,12,12,0.0
bid,B1,OK,OK,True,0.876,0.7803333333333333,-0.09566666666666668,0.8636666666666667,0.9293333333333333,0.06566666666666665,0.0,0.963,0.963,0.4983333333333333,0.48933333333333334,-0.008999999999999952,0.981,0.895,-0.08599999999999997,0.536,0.53,-0.006000000000000005,0.004,0.059,0.05499999999999999,0.8391250330425588,0.9140608933454877,0.07493586030292887,1.6901273512442305,0.32589166941419023,-1.3642356818300403,0.791373106324835,0.8318275308772364,0.040454424552401336,0.39348311830437976,0.26164930122034225,-0.13183381708403752,True,True,0.0,0,0,0.0,0,0,0.0,6,6,0.0,6,6,0.0
bid,B2,OK,OK,True,1.0,1.0,0.0,0.987,0.9883333333333333,0.0013333333333332975,1.0,1.0,0.0,0.5056666666666667,0.49,-0.015666666666666718,1.0,1.0,0.0,0.428,0.416,-0.01200000000000001,0.136,0.117,-0.019000000000000003,0.9964135931532435,0.9931585836549756,-0.003255009498267958,0.5234961877382975,0.4710039968325521,-0.05249219090574542,2.071946822557437,2.081555328295899,0.00960850573846228,0.19720129823536003,0.2004784417331288,0.003277143497768753,True,True,0.0,0,0,0.0,0,0,0.0,6,6,0.0,6,6,0.0
bid,B8,OK,OK,True,0.9816666666666667,1.0,0.018333333333333313,0.9816666666666667,0.9823333333333333,0.0006666666666665932,1.0,0.606,-0.394,0.496,0.513,0.017000000000000015,1.0,1.0,0.0,0.404,0.448,0.043999999999999984,0.068,0.061,-0.007000000000000006,0.9959158229436867,0.9175338841974635,-0.07838193874622323,0.2493086345062192,0.46113781590596403,0.21182918139974483,1.589819017680507,1.5768500644137617,-0.012968953266745187,0.19343811126845106,0.2181518403308031,0.02471372906235203,True,True,0.0,0,0,0.0,0,0,0.0,8,8,0.0,8,8,0.0
bid,B6,OK,OK,True,0.6693333333333333,0.5246666666666666,-0.14466666666666672,0.9326666666666666,0.932,-0.0006666666666665932,1.0,1.0,0.0,0.4626666666666666,0.41733333333333333,-0.04533333333333328,0.898,0.769,-0.129,0.421,0.398,-0.022999999999999965,0.071,0.066,-0.0049999999999999906,0.947825830842272,0.931374727863768,-0.01645110297850405,3.627471515617838,3.38937412340141,-0.238097392216428,0.6782715244356421,0.6638984274781619,-0.014373096957480236,0.23813073131969748,0.23824001664625477,0.00010928532655729573,True,True,0.0,0,0,0.0,0,0,0.0,12,12,0.0,12,12,0.0
bid,B3,OK,OK,True,0.14966666666666667,0.156,0.00633333333333333,0.609,0.6216666666666667,0.012666666666666715,0.7763333333333333,0.896,0.1196666666666667,0.25266666666666665,0.25533333333333336,0.002666666666666706,0.321,0.292,-0.029000000000000026,0.407,0.427,0.020000000000000018,0.065,0.068,0.0030000000000000027,0.40331385102574696,0.43840797720797725,0.03509412618223029,2.4719599680153728,1.8207417446001521,-0.6512182234152206,0.9650653233730663,0.9731816247712521,0.008116301398185866,1.0849839789180125,1.0762153717867158,-0.00876860713129668,True,True,0.0,0,0,0.0,0,0,0.0,42,42,0.0,42,42,0.0
bid,B123,OK,OK,True,0.167,0.15,-0.017000000000000015,0.647,0.6403333333333333,-0.00666666666666671,0.9766666666666667,0.947,-0.02966666666666673,0.342,0.3123333333333333,-0.02966666666666673,0.302,0.28,-0.021999999999999964,0.652,0.643,-0.009000000000000008,0.102,0.078,-0.023999999999999994,0.5965428132420729,0.5762228645758057,-0.020319948666267185,0.29203150714080905,0.05493656572977912,-0.23709494141102994,0.992215560786045,0.7385642480606636,-0.25365131272538144,0.8348434343385214,0.8631629411907014,0.028319506852179988,True,True,0.0,0,0,0.0,0,0,0.0,28,28,0.0,28,28,0.0
bid,B126,OK,OK,True,0.14133333333333334,0.15566666666666668,0.014333333333333337,0.6223333333333333,0.6223333333333333,0.0,0.99,0.9623333333333334,-0.027666666666666617,0.23500000000000001,0.24666666666666667,0.011666666666666659,0.2,0.219,0.01899999999999999,0.449,0.462,0.013000000000000012,0.045,0.054,0.009000000000000001,0.5614468652734549,0.5403327171903882,-0.021114148083066664,1.233671258914974,1.1424515213034923,-0.09121973761148183,0.2767196310685855,0.48903272092103717,0.21231308985245168,1.0299905522465689,1.0381567046756128,0.008166152429043949,True,True,0.0,0,0,0.0,0,0,0.0,25,25,0.0,25,25,0.0
bid,B50,OK,OK,True,0.5476666666666666,0.553,0.005333333333333412,0.945,0.9473333333333334,0.0023333333333334094,1.0,1.0,0.0,0.4403333333333334,0.4323333333333333,-0.008000000000000118,0.921,0.922,0.0010000000000000009,0.319,0.323,0.0040000000000000036,0.047,0.011,-0.036000000000000004,0.9331509198071085,0.9349016252191223,0.001750705412013831,0.13542257921591627,0.27220380881142603,0.13678122959550976,1.0095923918666236,1.004370275011915,-0.005222116854708636,0.23308632957319247,0.22850182087213686,-0.004584508701055617,True,True,0.0,0,0,0.0,0,0,0.0,10,10,0.0,10,10,0.0
