image_idx,image_name,backend,align_a,align_b,mvs_valid_pixels,residual_abs_median_m,residual_abs_p90_m,warp_amp_plane_m,warp_amp_quadratic_m,metric_depth
374,DJI_20241217102917_0004_D.JPG,Depth Anything V2 Large vitl,-1.43111916,439.77919473,237015,52.5706,245.2620,24.4053,37.7397,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217102917_0004_D.npy
375,DJI_20241217102919_0005_D.JPG,Depth Anything V2 Large vitl,-0.45063586,210.80412727,903260,31.8212,64.8214,37.6795,119.6800,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217102919_0005_D.npy
376,DJI_20241217102921_0006_D.JPG,Depth Anything V2 Large vitl,-0.22543361,111.69977087,1248330,6.8299,24.7818,11.6085,21.1446,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217102921_0006_D.npy
377,DJI_20241217102923_0007_D.JPG,Depth Anything V2 Large vitl,-0.04624299,46.93211165,792394,2.3609,6.5404,3.1698,4.4091,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217102923_0007_D.npy
378,DJI_20241217102925_0008_D.JPG,Depth Anything V2 Large vitl,-0.09188494,61.96182210,1160499,1.9961,7.3150,4.6570,5.8864,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217102925_0008_D.npy
379,DJI_20241217102927_0009_D.JPG,Depth Anything V2 Large vitl,-0.08646171,61.78582421,1119763,1.2357,5.0196,3.6036,3.8793,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217102927_0009_D.npy
380,DJI_20241217102929_0010_D.JPG,Depth Anything V2 Large vitl,-0.09519745,64.54236466,1146553,0.9518,5.0899,4.2937,5.6999,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217102929_0010_D.npy
381,DJI_20241217102931_0011_D.JPG,Depth Anything V2 Large vitl,-0.04469150,46.02164719,711968,1.4505,3.6592,2.3625,2.7446,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217102931_0011_D.npy
382,DJI_20241217102933_0012_D.JPG,Depth Anything V2 Large vitl,-0.08450598,58.61547210,827909,1.4287,3.9031,2.5434,4.5355,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217102933_0012_D.npy
383,DJI_20241217102935_0013_D.JPG,Depth Anything V2 Large vitl,-0.09520600,61.67813070,671256,1.1699,4.4763,3.1683,3.7181,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217102935_0013_D.npy
384,DJI_20241217102937_0014_D.JPG,Depth Anything V2 Large vitl,-0.50528424,234.42179361,557156,50.9141,162.6035,40.6721,61.2838,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217102937_0014_D.npy
385,DJI_20241217102939_0015_D.JPG,Depth Anything V2 Large vitl,-0.27859427,127.83356933,645321,9.3036,41.9085,18.5567,46.9542,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217102939_0015_D.npy
386,DJI_20241217102941_0016_D.JPG,Depth Anything V2 Large vitl,-0.26218166,129.39215009,917072,12.3788,43.0164,27.9667,47.6002,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217102941_0016_D.npy
387,DJI_20241217102943_0017_D.JPG,Depth Anything V2 Large vitl,-0.22833389,116.50724345,1210448,10.1321,35.9843,17.6239,47.6534,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217102943_0017_D.npy
388,DJI_20241217102945_0018_D.JPG,Depth Anything V2 Large vitl,-0.15087038,88.80724609,679449,5.3615,24.1952,9.5896,33.0760,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217102945_0018_D.npy
389,DJI_20241217102947_0019_D.JPG,Depth Anything V2 Large vitl,-0.15081114,87.28474741,619849,4.0837,25.3703,9.2195,29.8888,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217102947_0019_D.npy
390,DJI_20241217102949_0020_D.JPG,Depth Anything V2 Large vitl,-0.17482006,95.54540856,670275,3.5813,19.8140,10.2068,18.3846,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217102949_0020_D.npy
391,DJI_20241217102951_0021_D.JPG,Depth Anything V2 Large vitl,-0.12662709,78.49116832,744891,3.7291,15.3834,6.4702,16.8042,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217102951_0021_D.npy
