building_id,priority_group,priority_rank,status,failure_reason,view_a,view_b,crop_a_xyxy,crop_b_xyxy,reciprocal_raw_count,border_match_count,roof_correspondence_count,roof_correspondence_fraction_of_border,model_revision,model_sha256,model_bytes,match_rule,projection_reference_height_used,projection_reference_source,elapsed_seconds,completed_utc,learning_runs_started,new_inference_type,job_sha256,input_fingerprint
DEBY_LOD2_104583447,repair_14,1,complete,,DJI_20241217084827_0177_D.JPG,DJI_20241217095755_0002_D.JPG,4211;108;4611;408,154;2634;1466;3618,46,40,0,0.000000,06e7259f34c3060f322df5cb0c7b9094f57e41fc,0a615eb05fa9db654050aa655945ee5696e7c6c1b7f93f1ee8c37249010f6feb,2754661648,reciprocal descriptor NN stride8; 3px crop border; both projected roof masks,true,LoD2 CityGML; measurement/classification projection only,1.064566,2026-07-18T15:18:49.332317+00:00,0,R1-2 MASt3R crop-pair correspondence only,1617f6caeaca20b42ba197cef1d27adea14bceda6c28722fe66d6eb617b9e47b,1a0659074d9c1d39fb3423fd477644cc5b4540d83ec80d536cd954db71aa60bf
DEBY_LOD2_104586480,repair_14,2,complete,,DJI_20241217084707_0137_D.JPG,DJI_20241217084657_0132_D.JPG,3031;2815;3607;3247,2481;425;3041;845,12,10,0,0.000000,06e7259f34c3060f322df5cb0c7b9094f57e41fc,0a615eb05fa9db654050aa655945ee5696e7c6c1b7f93f1ee8c37249010f6feb,2754661648,reciprocal descriptor NN stride8; 3px crop border; both projected roof masks,true,LoD2 CityGML; measurement/classification projection only,0.582003,2026-07-18T15:18:49.915079+00:00,0,R1-2 MASt3R crop-pair correspondence only,ffd1d82fb9ae54efb817354987af937169c9ba1c6bea9dd617a349c75d829712,1a0659074d9c1d39fb3423fd477644cc5b4540d83ec80d536cd954db71aa60bf
DEBY_LOD2_108246888,repair_14,3,complete,,DJI_20241217084903_0195_D.JPG,DJI_20241217084340_0034_D.JPG,1657;712;2649;1456,1775;1017;3023;1953,3,0,0,0.000000,06e7259f34c3060f322df5cb0c7b9094f57e41fc,0a615eb05fa9db654050aa655945ee5696e7c6c1b7f93f1ee8c37249010f6feb,2754661648,reciprocal descriptor NN stride8; 3px crop border; both projected roof masks,true,LoD2 CityGML; measurement/classification projection only,0.534879,2026-07-18T15:18:50.450754+00:00,0,R1-2 MASt3R crop-pair correspondence only,780f5e990017fde97d28f5959eff4eb094d7c430c687cc5de5edbaa2c74ef343,1a0659074d9c1d39fb3423fd477644cc5b4540d83ec80d536cd954db71aa60bf
DEBY_LOD2_42364609,repair_14,4,complete,,DJI_20241217084853_0190_D.JPG,DJI_20241217090923_0044_D.JPG,3375;3220;4223;3856,812;2837;1564;3401,2,0,0,0.000000,06e7259f34c3060f322df5cb0c7b9094f57e41fc,0a615eb05fa9db654050aa655945ee5696e7c6c1b7f93f1ee8c37249010f6feb,2754661648,reciprocal descriptor NN stride8; 3px crop border; both projected roof masks,true,LoD2 CityGML; measurement/classification projection only,0.517622,2026-07-18T15:18:50.969151+00:00,0,R1-2 MASt3R crop-pair correspondence only,ea1078cd54ec1d3f9c878760f5e1758608102c404edbf9be9974305d873575cf,1a0659074d9c1d39fb3423fd477644cc5b4540d83ec80d536cd954db71aa60bf
DEBY_LOD2_4908023,repair_14,5,complete,,DJI_20241217084837_0182_D.JPG,DJI_20241217084725_0146_D.JPG,1163;1080;1707;1488,1095;988;1639;1396,2112,1969,797,0.404774,06e7259f34c3060f322df5cb0c7b9094f57e41fc,0a615eb05fa9db654050aa655945ee5696e7c6c1b7f93f1ee8c37249010f6feb,2754661648,reciprocal descriptor NN stride8; 3px crop border; both projected roof masks,true,LoD2 CityGML; measurement/classification projection only,0.549304,2026-07-18T15:18:51.519339+00:00,0,R1-2 MASt3R crop-pair correspondence only,5116aa1c45edb6bc036bb8eea4401011edbf64999d1891c161d53ce2f6cc58c1,1a0659074d9c1d39fb3423fd477644cc5b4540d83ec80d536cd954db71aa60bf
DEBY_LOD2_4908024,repair_14,6,complete,,DJI_20241217084723_0145_D.JPG,DJI_20241217084839_0183_D.JPG,1483;940;1899;1252,908;1237;1324;1549,2442,2380,1277,0.536555,06e7259f34c3060f322df5cb0c7b9094f57e41fc,0a615eb05fa9db654050aa655945ee5696e7c6c1b7f93f1ee8c37249010f6feb,2754661648,reciprocal descriptor NN stride8; 3px crop border; both projected roof masks,true,LoD2 CityGML; measurement/classification projection only,0.530953,2026-07-18T15:18:52.051144+00:00,0,R1-2 MASt3R crop-pair correspondence only,4ad638801edcc1a0cf593b06a2e44d7c9737f49e8e1359fca0e18a35f1dcda1f,1a0659074d9c1d39fb3423fd477644cc5b4540d83ec80d536cd954db71aa60bf
DEBY_LOD2_4908025,repair_14,7,complete,,DJI_20241217084723_0145_D.JPG,DJI_20241217084839_0183_D.JPG,1445;745;1861;1057,946;1434;1362;1746,2601,2483,1250,0.503423,06e7259f34c3060f322df5cb0c7b9094f57e41fc,0a615eb05fa9db654050aa655945ee5696e7c6c1b7f93f1ee8c37249010f6feb,2754661648,reciprocal descriptor NN stride8; 3px crop border; both projected roof masks,true,LoD2 CityGML; measurement/classification projection only,0.545918,2026-07-18T15:18:52.597958+00:00,0,R1-2 MASt3R crop-pair correspondence only,a970e3441db6cd10f09b6a08a89b82595c79be0d9dcc69e326314f913bd6e413,1a0659074d9c1d39fb3423fd477644cc5b4540d83ec80d536cd954db71aa60bf
DEBY_LOD2_4908026,repair_14,8,complete,,DJI_20241217084723_0145_D.JPG,DJI_20241217084837_0182_D.JPG,1408;553;1824;865,883;1128;1299;1440,2510,2401,1212,0.504790,06e7259f34c3060f322df5cb0c7b9094f57e41fc,0a615eb05fa9db654050aa655945ee5696e7c6c1b7f93f1ee8c37249010f6feb,2754661648,reciprocal descriptor NN stride8; 3px crop border; both projected roof masks,true,LoD2 CityGML; measurement/classification projection only,0.544678,2026-07-18T15:18:53.143498+00:00,0,R1-2 MASt3R crop-pair correspondence only,85c8e30b60eebe8ea50b7022fe1644e39cbe24fb42e0359118298bd4d6c0a62b,1a0659074d9c1d39fb3423fd477644cc5b4540d83ec80d536cd954db71aa60bf
DEBY_LOD2_4908027,repair_14,9,complete,,DJI_20241217084837_0182_D.JPG,DJI_20241217084723_0145_D.JPG,920;1324;1336;1636,1379;370;1779;670,2474,2410,1219,0.505809,06e7259f34c3060f322df5cb0c7b9094f57e41fc,0a615eb05fa9db654050aa655945ee5696e7c6c1b7f93f1ee8c37249010f6feb,2754661648,reciprocal descriptor NN stride8; 3px crop border; both projected roof masks,true,LoD2 CityGML; measurement/classification projection only,0.541638,2026-07-18T15:18:53.686012+00:00,0,R1-2 MASt3R crop-pair correspondence only,ee331186cd07b0405fac8b9d1c41e64e9da0891c5b164d6e6f3f9ba64e29a7f8,1a0659074d9c1d39fb3423fd477644cc5b4540d83ec80d536cd954db71aa60bf
DEBY_LOD2_4908028,repair_14,10,complete,,DJI_20241217084843_0185_D.JPG,DJI_20241217084737_0152_D.JPG,1309;3016;1725;3328,2137;3590;2553;3902,2234,2174,1241,0.570837,06e7259f34c3060f322df5cb0c7b9094f57e41fc,0a615eb05fa9db654050aa655945ee5696e7c6c1b7f93f1ee8c37249010f6feb,2754661648,reciprocal descriptor NN stride8; 3px crop border; both projected roof masks,true,LoD2 CityGML; measurement/classification projection only,0.526661,2026-07-18T15:18:54.213559+00:00,0,R1-2 MASt3R crop-pair correspondence only,fb912121c4e8364a80f71443fcfea1f377d7e469e31fd3b90b5ea3904c7175ca,1a0659074d9c1d39fb3423fd477644cc5b4540d83ec80d536cd954db71aa60bf
DEBY_LOD2_4908166,repair_14,11,complete,,DJI_20241217084853_0190_D.JPG,DJI_20241217090925_0045_D.JPG,2809;2639;4153;3647,922;2545;2026;3373,1,0,0,0.000000,06e7259f34c3060f322df5cb0c7b9094f57e41fc,0a615eb05fa9db654050aa655945ee5696e7c6c1b7f93f1ee8c37249010f6feb,2754661648,reciprocal descriptor NN stride8; 3px crop border; both projected roof masks,true,LoD2 CityGML; measurement/classification projection only,0.528361,2026-07-18T15:18:54.742796+00:00,0,R1-2 MASt3R crop-pair correspondence only,e65cd50f1a977f12251f2c04d10aa51c5bbc60c9f80a86e177f783923ad3d644,1a0659074d9c1d39fb3423fd477644cc5b4540d83ec80d536cd954db71aa60bf
DEBY_LOD2_4908352,repair_14,12,complete,,DJI_20241217084641_0124_D.JPG,DJI_20241217102056_0027_D.JPG,1518;61;2126;517,1647;1058;2207;1478,3,2,0,0.000000,06e7259f34c3060f322df5cb0c7b9094f57e41fc,0a615eb05fa9db654050aa655945ee5696e7c6c1b7f93f1ee8c37249010f6feb,2754661648,reciprocal descriptor NN stride8; 3px crop border; both projected roof masks,true,LoD2 CityGML; measurement/classification projection only,0.533661,2026-07-18T15:18:55.277591+00:00,0,R1-2 MASt3R crop-pair correspondence only,433db065a02784489519a7d1723941dfbfdddb4665aeca90ff6ed4c0782276e1,1a0659074d9c1d39fb3423fd477644cc5b4540d83ec80d536cd954db71aa60bf
