arm,s0_run,s1_run,corrected_run,s0_coverage,s1_coverage,corrected_coverage,s0_completeness,s1_completeness,corrected_completeness,s0_correctness,s1_correctness,corrected_correctness,s0_median_ref_rms_m,s1_median_ref_rms_m,corrected_median_ref_rms_m,s0_has_lod22,s1_has_lod22,corrected_has_lod22,s0_val3dity_valid,s1_val3dity_valid,corrected_val3dity_valid,delta_corrected_vs_s1_coverage,delta_corrected_vs_s1_median_ref_rms_m,delta_corrected_vs_s1_validity
sparse,gs_e5_C001_sparse_r1,gs_e5_C001_s1_sparse_r1,gs_e5_C001_corrected_s1_sparse_r1,0.1119,0.2361,0.14340616572213183,0.1528,0.375,0.18055555555555555,0.3651,0.625,0.29444,6.8284,2.8984,7.620749999999999,9,12,10,14,17,16,-0.09269383427786818,4.722349999999999,-1
dense,gs_e5_C001_dense_r1,gs_e5_C001_s1_dense_r1,gs_e5_C001_corrected_s1_dense_r1,0.1027,0.2428,0.14561595648412354,0.125,0.3472,0.2638888888888889,0.425,0.7576,0.6259222222222223,7.1227,1.8068,4.2816,8,11,9,15,17,15,-0.09718404351587645,2.4748,-2
acmp,gs_e5_C001_acmp_r1,gs_e5_C001_s1_acmp_r1,gs_e5_C001_corrected_s1_acmp_r1,0.1275,0.2888,0.16268576282056085,0.2361,0.4722,0.3333333333333333,0.5503,0.631,0.7575818181818182,4.6174,3.8519,4.1766,9,14,11,15,6,10,-0.12611423717943915,0.32469999999999954,4
