setting,run_name,arm,replicate,tsdf_npz,tsdf_sha256,coverage_csv,metrics_json,log,min_obs,voxel,alpha,sor,sor_std,surf_backproj,fused_all,minobs_kept,sor_kept,readout
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,results/tum_transfer/e5_s2p_interaction/C001/readout/base/gs_e5_C001_s2p_arm1p_dense_r1/tsdf_gssem.npz,99708d2d7bd6c76647379ec23ac6d298f05dd45c0a7d04ea6b752a2ff521b8f1,results/tum_transfer/e5_s2p_interaction/C001/readout/base/gs_e5_C001_s2p_arm1p_dense_r1/stage_coverage.csv,results/tum_transfer/e5_s2p_interaction/C001/readout/base/gs_e5_C001_s2p_arm1p_dense_r1/readout_metrics.json,results/tum_transfer/e5_s2p_interaction/C001/readout/base/gs_e5_C001_s2p_arm1p_dense_r1/readout.log,3,0.05,0.5,on,2.0,9962277,2596316,653370,637467,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2)
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,results/tum_transfer/e5_s2p_interaction/C001/readout/base/gs_e5_C001_s2p_arm1p_dense_r2/tsdf_gssem.npz,5efc578fccdfd161658c1387ea4d9c2d133cabd760a13ec55fb5becaf0b9ccc1,results/tum_transfer/e5_s2p_interaction/C001/readout/base/gs_e5_C001_s2p_arm1p_dense_r2/stage_coverage.csv,results/tum_transfer/e5_s2p_interaction/C001/readout/base/gs_e5_C001_s2p_arm1p_dense_r2/readout_metrics.json,results/tum_transfer/e5_s2p_interaction/C001/readout/base/gs_e5_C001_s2p_arm1p_dense_r2/readout.log,3,0.05,0.5,on,2.0,10479712,3193020,636377,627119,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2)
