setting,run_name,arm,replicate,coverage_pre_minobs,coverage_post_minobs,coverage_post_sor,drop_pre_to_minobs,drop_minobs_to_sor,drop_pre_to_final
base,gs_e5_C001_s1fac_w100_p005_dense_r1,dense,r1,0.6256,0.2467,0.1320,0.3789,0.1147,0.4936
base,gs_e5_C001_s1fac_w100_p050_dense_reuse,dense,reuse,0.5379,0.2546,0.1291,0.2832,0.1256,0.4088
base,gs_e5_C001_s1fac_w240_p005_dense_r1,dense,r1,0.4172,0.1223,0.0836,0.2949,0.0388,0.3336
base,gs_e5_C001_s1fac_w240_p050_dense_r1,dense,r1,0.6777,0.2426,0.1579,0.4351,0.0846,0.5198
