run_id,building_id,arm,replicate,perturbation_type,perturbation_value,stage,status,reason,updated_utc,checkpoint,prepared_root,job_dir,gpu_id
gs_e5_C001_s3ap_b4907199_a1_dz_m0p5_r1,DEBY_LOD2_4907199,a1,r1,height,-0.500000000,checkpoint_gate,complete,,2026-07-15T18:45:30.656206+00:00,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a1_dz_m0p5_r1/ckpt/final.pt,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_4907199,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_dz_m0p5_r1,1
gs_e5_C001_s3ap_b4907199_a1_dz_m1_r1,DEBY_LOD2_4907199,a1,r1,height,-1.000000000,checkpoint_gate,complete,,2026-07-15T18:45:30.710291+00:00,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a1_dz_m1_r1/ckpt/final.pt,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_4907199,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_dz_m1_r1,0
gs_e5_C001_s3ap_b4907199_a1_dz_m0p5_r1,DEBY_LOD2_4907199,a1,r1,height,-0.500000000,extract,complete,,2026-07-15T18:45:37.109774+00:00,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a1_dz_m0p5_r1/ckpt/final.pt,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_4907199,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_dz_m0p5_r1,1
gs_e5_C001_s3ap_b4907199_a1_dz_m1_r1,DEBY_LOD2_4907199,a1,r1,height,-1.000000000,extract,complete,,2026-07-15T18:45:37.195361+00:00,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a1_dz_m1_r1/ckpt/final.pt,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_4907199,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_dz_m1_r1,0
gs_e5_C001_s3ap_b4907199_a1_dz_m0p5_r1,DEBY_LOD2_4907199,a1,r1,height,-0.500000000,prepare_roofer,prepared,,2026-07-15T18:45:38.112142+00:00,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a1_dz_m0p5_r1/ckpt/final.pt,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_4907199,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_dz_m0p5_r1,1
gs_e5_C001_s3ap_b4907199_a1_dz_m1_r1,DEBY_LOD2_4907199,a1,r1,height,-1.000000000,prepare_roofer,prepared,,2026-07-15T18:45:38.307091+00:00,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a1_dz_m1_r1/ckpt/final.pt,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_4907199,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_dz_m1_r1,0
gs_e5_C001_s3ap_b4907199_a1_dz_m0p5_r1,DEBY_LOD2_4907199,a1,r1,height,-0.500000000,roofer,complete,,2026-07-15T18:45:38.771687+00:00,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a1_dz_m0p5_r1/ckpt/final.pt,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_4907199,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_dz_m0p5_r1,1
gs_e5_C001_s3ap_b4907199_a1_dz_m1_r1,DEBY_LOD2_4907199,a1,r1,height,-1.000000000,roofer,complete,,2026-07-15T18:45:39.019566+00:00,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a1_dz_m1_r1/ckpt/final.pt,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_4907199,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_dz_m1_r1,0
gs_e5_C001_s3ap_b4907199_a1_dz_m0p5_r1,DEBY_LOD2_4907199,a1,r1,height,-0.500000000,score,failed,exit_1,2026-07-15T18:45:39.458354+00:00,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a1_dz_m0p5_r1/ckpt/final.pt,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_4907199,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_dz_m0p5_r1,1
gs_e5_C001_s3ap_b4907199_a1_dz_m2_r1,DEBY_LOD2_4907199,a1,r1,height,-2.000000000,checkpoint_gate,complete,,2026-07-15T18:45:39.575557+00:00,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a1_dz_m2_r1/ckpt/final.pt,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_4907199,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_dz_m2_r1,1
