setting,run_name,arm,replicate,min_obs,voxel_m,sor,sor_std,stage,building_id,occupied_cells,grid_total_cells,coverage_frac
base,gs_e5_C001_acmp_r2,acmp,r2,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907184,1352,1352,1.0
base,gs_e5_C001_acmp_r2,acmp,r2,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907185,643,644,0.9984472049689441
base,gs_e5_C001_acmp_r2,acmp,r2,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907186,670,673,0.9955423476968797
base,gs_e5_C001_acmp_r2,acmp,r2,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907188,664,664,1.0
base,gs_e5_C001_acmp_r2,acmp,r2,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907194,850,850,1.0
base,gs_e5_C001_acmp_r2,acmp,r2,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907195,710,710,1.0
base,gs_e5_C001_acmp_r2,acmp,r2,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907198,1438,1438,1.0
base,gs_e5_C001_acmp_r2,acmp,r2,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907199,393,393,1.0
base,gs_e5_C001_acmp_r2,acmp,r2,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907202,641,641,1.0
base,gs_e5_C001_acmp_r2,acmp,r2,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4908168,114,114,1.0
base,gs_e5_C001_acmp_r2,acmp,r2,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4908178,454,454,1.0
base,gs_e5_C001_acmp_r2,acmp,r2,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4908179,466,474,0.9831223628691983
base,gs_e5_C001_acmp_r2,acmp,r2,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_8568391,221,221,1.0
base,gs_e5_C001_acmp_r2,acmp,r2,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_8568392,24,24,1.0
base,gs_e5_C001_acmp_r2,acmp,r2,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_108247349,387,402,0.9626865671641791
base,gs_e5_C001_acmp_r2,acmp,r2,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_108247350,45,48,0.9375
base,gs_e5_C001_acmp_r2,acmp,r2,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_108247351,253,260,0.9730769230769231
base,gs_e5_C001_acmp_r2,acmp,r2,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_60098,340,784,0.4336734693877551
base,gs_e5_C001_acmp_r2,acmp,r2,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907184,1352,1352,1.0
base,gs_e5_C001_acmp_r2,acmp,r2,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907185,346,644,0.5372670807453416
base,gs_e5_C001_acmp_r2,acmp,r2,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907186,242,673,0.35958395245170877
base,gs_e5_C001_acmp_r2,acmp,r2,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907188,160,664,0.24096385542168675
base,gs_e5_C001_acmp_r2,acmp,r2,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907194,316,850,0.37176470588235294
base,gs_e5_C001_acmp_r2,acmp,r2,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907195,447,710,0.6295774647887324
base,gs_e5_C001_acmp_r2,acmp,r2,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907198,786,1438,0.5465924895688457
base,gs_e5_C001_acmp_r2,acmp,r2,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907199,131,393,0.3333333333333333
base,gs_e5_C001_acmp_r2,acmp,r2,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907202,187,641,0.2917316692667707
base,gs_e5_C001_acmp_r2,acmp,r2,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4908168,2,114,0.017543859649122806
