method_id,denominator,G0_generated,provisional_internal_G1,G2,G3,G4,PASS_usable,pending_reason
C1_L_upper,51,51,51,PENDING,PENDING,PENDING,PENDING,CRITERION_NOT_FROZEN_G2_G3_G4_UNAVAILABLE
C2_MVS,51,50,50,PENDING,PENDING,PENDING,PENDING,CRITERION_NOT_FROZEN_G2_G3_G4_UNAVAILABLE
