building_id,pair_rank,view_a,view_b,pair_relation,pair_independence,footprint_inside_count,same_block_pair_inside_z_median_m,adopted_cross_block_inside_z_median_m,abs_delta_z_m,within_0_5m,source_pair_table,source_measurement_table,source_cache_path,source_cache_sha256,source_pair_metrics_reproduced,read_only_derivation,learning_runs_started
DEBY_LOD2_4907034,8,DJI_20241217101317_0011_D,DJI_20241217101351_0028_D,same_acquisition_minute_block,low_same_block_read_only_comparison,2,-24.311417,-17.963860,6.347557,false,phases/p2-gsjso/runs/boundary_and_robustness/20260720_anchor_census/anchor_census_pairs.csv,phases/p2-gsjso/runs/boundary_and_robustness/20260720_anchor_census/anchor_census_measurements.csv,phases/p2-gsjso/runs/boundary_and_robustness/20260720_anchor_census/anchor_census_raw/4907034_rank08_raw_cheirality.npz,23ad4ff354df3ad1fa5185161247a9f2cbd29ac027e7acbcb92eff60c101bd17,true,true,0
DEBY_LOD2_4907034,9,DJI_20241217101317_0011_D,DJI_20241217101349_0027_D,same_acquisition_minute_block,low_same_block_read_only_comparison,1,-24.115807,-17.963860,6.151947,false,phases/p2-gsjso/runs/boundary_and_robustness/20260720_anchor_census/anchor_census_pairs.csv,phases/p2-gsjso/runs/boundary_and_robustness/20260720_anchor_census/anchor_census_measurements.csv,phases/p2-gsjso/runs/boundary_and_robustness/20260720_anchor_census/anchor_census_raw/4907034_rank09_raw_cheirality.npz,1e694663b1baed51d448526fceaf0e51450876cd3e7e409fa12c51bcb47296ea,true,true,0
DEBY_LOD2_4907034,10,DJI_20241217101351_0028_D,DJI_20241217101349_0027_D,same_acquisition_minute_block,low_same_block_read_only_comparison,191,-25.238990,-17.963860,7.275130,false,phases/p2-gsjso/runs/boundary_and_robustness/20260720_anchor_census/anchor_census_pairs.csv,phases/p2-gsjso/runs/boundary_and_robustness/20260720_anchor_census/anchor_census_measurements.csv,phases/p2-gsjso/runs/boundary_and_robustness/20260720_anchor_census/anchor_census_raw/4907034_rank10_raw_cheirality.npz,216353172cee5244e290513f9dd2e839034bee702d37c1f4221540e5af39eccd,true,true,0
DEBY_LOD2_4907036,10,DJI_20241217102939_0015_D,DJI_20241217102937_0014_D,same_acquisition_minute_block,low_same_block_read_only_comparison,586,-23.440864,-24.418455,0.977591,false,phases/p2-gsjso/runs/boundary_and_robustness/20260720_anchor_census/anchor_census_pairs.csv,phases/p2-gsjso/runs/boundary_and_robustness/20260720_anchor_census/anchor_census_measurements.csv,phases/p2-gsjso/runs/boundary_and_robustness/20260720_anchor_census/anchor_census_raw/4907036_rank10_raw_cheirality.npz,083fad919d9818eceaaa54634a159da712df9183ffd6e6dda25b1d71d775d57e,true,true,0
DEBY_LOD2_4907167,8,DJI_20241217102939_0015_D,DJI_20241217102941_0016_D,same_acquisition_minute_block,low_same_block_read_only_comparison,1448,-26.317233,-25.084966,1.232267,false,phases/p2-gsjso/runs/boundary_and_robustness/20260720_anchor_census/anchor_census_pairs.csv,phases/p2-gsjso/runs/boundary_and_robustness/20260720_anchor_census/anchor_census_measurements.csv,phases/p2-gsjso/runs/boundary_and_robustness/20260720_anchor_census/anchor_census_raw/4907167_rank08_raw_cheirality.npz,e669685dc84ce0646710267d6c665d6b11833ff8682054c0855723dbf9a41be7,true,true,0
DEBY_LOD2_4907167,9,DJI_20241217102939_0015_D,DJI_20241217102937_0014_D,same_acquisition_minute_block,low_same_block_read_only_comparison,1308,-25.899492,-25.084966,0.814526,false,phases/p2-gsjso/runs/boundary_and_robustness/20260720_anchor_census/anchor_census_pairs.csv,phases/p2-gsjso/runs/boundary_and_robustness/20260720_anchor_census/anchor_census_measurements.csv,phases/p2-gsjso/runs/boundary_and_robustness/20260720_anchor_census/anchor_census_raw/4907167_rank09_raw_cheirality.npz,097ef2194ed1a6ee2b580ea1286b463971a7b15cb7090fac434393d05c69506b,true,true,0
DEBY_LOD2_4907167,10,DJI_20241217102937_0014_D,DJI_20241217102941_0016_D,same_acquisition_minute_block,low_same_block_read_only_comparison,673,-27.055171,-25.084966,1.970205,false,phases/p2-gsjso/runs/boundary_and_robustness/20260720_anchor_census/anchor_census_pairs.csv,phases/p2-gsjso/runs/boundary_and_robustness/20260720_anchor_census/anchor_census_measurements.csv,phases/p2-gsjso/runs/boundary_and_robustness/20260720_anchor_census/anchor_census_raw/4907167_rank10_raw_cheirality.npz,bcedfb51b05912e4afe14b93aa7fc8bcfe7ba5d9f4bb7907421b2e9ea87d73b3,true,true,0
DEBY_LOD2_4907169,10,DJI_20241217102939_0015_D,DJI_20241217102937_0014_D,same_acquisition_minute_block,low_same_block_read_only_comparison,210,-21.738075,-26.830304,5.092229,false,phases/p2-gsjso/runs/boundary_and_robustness/20260720_anchor_census/anchor_census_pairs.csv,phases/p2-gsjso/runs/boundary_and_robustness/20260720_anchor_census/anchor_census_measurements.csv,phases/p2-gsjso/runs/boundary_and_robustness/20260720_anchor_census/anchor_census_raw/4907169_rank10_raw_cheirality.npz,9ffafc80834d04701e5170a019a0495a1e50ba59b947deaeb2aa2f9741e06567,true,true,0
DEBY_LOD2_4907508,7,DJI_20241217102056_0027_D,DJI_20241217102050_0024_D,same_acquisition_minute_block,low_same_block_read_only_comparison,23,-37.446143,-39.959552,2.513409,false,phases/p2-gsjso/runs/boundary_and_robustness/20260720_anchor_census/anchor_census_pairs.csv,phases/p2-gsjso/runs/boundary_and_robustness/20260720_anchor_census/anchor_census_measurements.csv,phases/p2-gsjso/runs/boundary_and_robustness/20260720_anchor_census/anchor_census_raw/4907508_rank07_raw_cheirality.npz,8f76cd462978ca5de63b62c9185b7512df21352eacd8a30a39df3bbb76428c06,true,true,0
DEBY_LOD2_4907508,10,DJI_20241217084645_0126_D,DJI_20241217084647_0127_D,same_acquisition_minute_block,low_same_block_read_only_comparison,603,-42.989127,-39.959552,3.029575,false,phases/p2-gsjso/runs/boundary_and_robustness/20260720_anchor_census/anchor_census_pairs.csv,phases/p2-gsjso/runs/boundary_and_robustness/20260720_anchor_census/anchor_census_measurements.csv,phases/p2-gsjso/runs/boundary_and_robustness/20260720_anchor_census/anchor_census_raw/4907508_rank10_raw_cheirality.npz,be16b27ae9056713a9ae1ec81e06b9319ee06d7c8355866639cf26e1cc83b614,true,true,0
DEBY_LOD2_4908048,9,DJI_20241217090821_0013_D,DJI_20241217090817_0011_D,same_acquisition_minute_block,low_same_block_read_only_comparison,305,-41.287517,-41.248347,0.039170,true,phases/p2-gsjso/runs/boundary_and_robustness/20260720_anchor_census/anchor_census_pairs.csv,phases/p2-gsjso/runs/boundary_and_robustness/20260720_anchor_census/anchor_census_measurements.csv,phases/p2-gsjso/runs/boundary_and_robustness/20260720_anchor_census/anchor_census_raw/4908048_rank09_raw_cheirality.npz,3f31509c0837cf98a3553dec201de382cc7130db7ee1ec4b5647d29c93b980f5,true,true,0
DEBY_LOD2_4908048,10,DJI_20241217084813_0170_D,DJI_20241217084815_0171_D,same_acquisition_minute_block,low_same_block_read_only_comparison,467,-41.271537,-41.248347,0.023190,true,phases/p2-gsjso/runs/boundary_and_robustness/20260720_anchor_census/anchor_census_pairs.csv,phases/p2-gsjso/runs/boundary_and_robustness/20260720_anchor_census/anchor_census_measurements.csv,phases/p2-gsjso/runs/boundary_and_robustness/20260720_anchor_census/anchor_census_raw/4908048_rank10_raw_cheirality.npz,a51cc0a8af156a6dbba2a9f2733c14659a9d080a18b005d2d8b72c38418b8078,true,true,0
DEBY_LOD2_4908176,9,DJI_20241217084855_0191_D,DJI_20241217084853_0190_D,same_acquisition_minute_block,low_same_block_read_only_comparison,1182,-40.675271,-40.715035,0.039764,true,phases/p2-gsjso/runs/boundary_and_robustness/20260720_anchor_census/anchor_census_pairs.csv,phases/p2-gsjso/runs/boundary_and_robustness/20260720_anchor_census/anchor_census_measurements.csv,phases/p2-gsjso/runs/boundary_and_robustness/20260720_anchor_census/anchor_census_raw/4908176_rank09_raw_cheirality.npz,89ca82a96e3d479926f086e7a6b3731417628e370fe3f7a6a76a52b1c911fa5c,true,true,0
DEBY_LOD2_4908176,10,DJI_20241217095533_0049_D,DJI_20241217095531_0048_D,same_acquisition_minute_block,low_same_block_read_only_comparison,1262,-40.700106,-40.715035,0.014929,true,phases/p2-gsjso/runs/boundary_and_robustness/20260720_anchor_census/anchor_census_pairs.csv,phases/p2-gsjso/runs/boundary_and_robustness/20260720_anchor_census/anchor_census_measurements.csv,phases/p2-gsjso/runs/boundary_and_robustness/20260720_anchor_census/anchor_census_raw/4908176_rank10_raw_cheirality.npz,929453d315affef0470bb0a1ce2e4352d5c261b0f953974c1fbf6d95496b770b,true,true,0
