bid,source,patch_applied,reason,ground_y,n_synthetic_ground_points,stage3_v1_patch_log
B0,E0_GT_clean_upper_bound,False,ground evidence already present,,,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E0_GT_clean_upper_bound/B0/stage3_v1_patch_log.json
B0,E1_Baseline_rendered,False,SOURCE_MISSING,,,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E1_Baseline_rendered/B0/stage3_v1_patch_log.json
B0,E2_Mutual_rendered,False,ground evidence already present,,,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E2_Mutual_rendered/B0/stage3_v1_patch_log.json
B0,E3_Baseline_primitive,False,ground evidence already present,,,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E3_Baseline_primitive/B0/stage3_v1_patch_log.json
B0,E4_Mutual_primitive,False,ground evidence already present,,,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E4_Mutual_primitive/B0/stage3_v1_patch_log.json
B1,E0_GT_clean_upper_bound,False,ground evidence already present,,,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E0_GT_clean_upper_bound/B1/stage3_v1_patch_log.json
B1,E1_Baseline_rendered,False,SOURCE_MISSING,,,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E1_Baseline_rendered/B1/stage3_v1_patch_log.json
B1,E2_Mutual_rendered,False,ground evidence already present,,,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E2_Mutual_rendered/B1/stage3_v1_patch_log.json
B1,E3_Baseline_primitive,False,ground evidence already present,,,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E3_Baseline_primitive/B1/stage3_v1_patch_log.json
B1,E4_Mutual_primitive,False,ground evidence already present,,,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E4_Mutual_primitive/B1/stage3_v1_patch_log.json
B2,E0_GT_clean_upper_bound,False,ground evidence already present,,,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E0_GT_clean_upper_bound/B2/stage3_v1_patch_log.json
B2,E1_Baseline_rendered,False,SOURCE_MISSING,,,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E1_Baseline_rendered/B2/stage3_v1_patch_log.json
