population,n_buildings,area_m2_n,area_m2_median,area_m2_p25,area_m2_p75,area_m2_iqr,perimeter_m_n,perimeter_m_median,perimeter_m_p25,perimeter_m_p75,perimeter_m_iqr,exterior_vertex_count_n,exterior_vertex_count_median,exterior_vertex_count_p25,exterior_vertex_count_p75,exterior_vertex_count_iqr,height_m_n,height_m_median,height_m_p25,height_m_p75,height_m_iqr
full_199,199,199,190.789,67.160,324.883,257.722,199,58.568,40.114,82.403,42.289,199,9.000,6.000,15.000,9.000,199,17.760,5.252,21.786,16.534
control_93,93,93,251.199,105.059,495.180,390.121,93,67.641,50.839,102.217,51.377,93,10.000,6.000,19.000,13.000,93,18.164,7.134,22.610,15.476
failure_8,8,8,54.159,33.987,101.094,67.106,8,39.392,23.611,51.598,27.987,8,7.500,4.000,10.000,6.000,8,2.914,2.751,4.109,1.358
