category,category_label,val3dity_codes,als_buildings,dim_buildings,als_error_instances,dim_error_instances
non_watertight,비폐합 (non-watertight),302,2,1,3,1
self_intersection,자기교차 (self-intersection),"104, 306",2,0,8,0
non_manifold,비다양체 (non-manifold),303,1,3,6,9
degenerate_duplicate,중복·퇴화 면 (degenerate/duplicate),102,0,6,0,12
