bid,obs_label,ref_roofType,ref_roofType_name,ref_facets,ref_zlevels,measured_shape,local_slope_deg,global_slope_deg,planar_rms,quad_over_plane,n_zlevel,zlevel_sep_m,nDisp_deg,ALS_facets,DIM_facets,GS_facets,ALS_n,DIM_n
4906969,곡면 curved,1000,Flachdach(평),3,"[523.69, 526.71, 530.22]",다층+경사(multi-level sloped),52.3,35.9,1.631,0.65,3,7.19,26.6,5,17,14,3336,43894
4906972,평지붕 flat,3100,Satteldach(박공),3,"[531.06, 531.66, 532.61]",곡면(curved),32.6,4.2,1.218,0.48,2,2.04,12.1,3,3,3,7967,154558
42364659,복합 composite,1000,Flachdach(평),2,"[516.53, 517.23]",경사/박공(sloped/gabled),21.1,68.2,0.508,1.59,2,1.0,14.3,0,0,6,265,2870
42364663,복합 composite,1000,Flachdach(평),1,[530.48],벽 오분류 의심(roof pts ~vertical),78.0,80.1,0.341,1.98,2,1.07,18.2,1,0,1,676,96621
4908023,대조 control,1000,Flachdach(평),1,[518.95],경사/박공(sloped/gabled),16.9,3.5,0.251,0.93,1,0.0,24.5,1,1,2,448,7018
4907182,R(생성표적),2100,Pultdach,2,"[520.05, 520.62]",경사/박공(sloped/gabled),28.0,50.5,1.013,1.05,1,0.0,21.3,2,0,1,1851,502
4907510,R(생성표적),1000,Flachdach(평),1,[518.0],경사/박공(sloped/gabled),28.4,23.2,1.159,0.89,1,0.0,21.3,4,0,6,2065,3084
42364609,R(생성표적),1000,Flachdach(평),1,[517.36],경사/박공(sloped/gabled),57.4,9.3,0.355,0.99,1,0.0,20.5,1,0,1,327,48
4908050,R(생성표적),1000,Flachdach(평),1,[516.92],평지붕(flat),2.6,2.5,0.015,0.86,1,0.0,0.4,1,0,1,1403,108
4908166,R(생성표적),1000,Flachdach(평),1,[516.91],평지붕(flat),2.4,3.0,0.065,0.92,1,0.0,4.0,1,0,1,523,13
4908176,R(생성표적),1000,Flachdach(평),1,[517.44],평지붕(flat),6.8,6.0,0.122,0.89,1,0.0,10.8,1,0,0,648,260
