bid,set,note,roofType,ref_z_ortho,GS_medz_ellip,ALS_medz_ellip,GS_minus_ALS_med_m,GS_ridgez_ellip,ALS_ridgez_ellip,GS_minus_ALS_ridge_m,bimodal_med_artifact,GS_vs_ref+geoidMed_m,geoid_m(ALS-ref),GS_slope_deg,ALS_slope_deg,GS_zlevels,ALS_zlevels,GS_shape,ALS_shape,GS_rms2ref_full,ALS_rms2ref_full,DIM_rms2ref_full,GS_roofenvRMS,ALS_roofenvRMS,DIM_roofenvRMS,GS_facets,ALS_facets,ref_facets,GS_closed_tgt,ALS_closed_tgt,DIM_closed_tgt,GS_nfaces,ALS_nfaces,GS_valid_clip,ALS_valid_clip,DIM_valid_clip,GS_complete,ALS_complete,DIM_complete,DIM_class6_pts
42364659,R-target,"단차 footprint(저+고), ALS-solid도 실패",1000,516.88,572.38,565.2,7.17,574.38,576.07,-1.7,True,7.33,48.32,60.7,21.1,2,2,벽 오분류 의심(roof pts ~vertical),경사/박공(sloped/gabled),4.804,4.836,4.301,5.263,4.854,4.516,6,0,2,closed,no-solid,no-solid,35,0,True,True,True,0.97,0.582,0.701,2870
42364663,R-target,DIM 96k점이나 미조립(단봉 ridge),1000,530.48,578.73,578.48,0.25,581.33,582.69,-1.36,False,0.08,48.0,82.8,78.0,2,2,다층+경사(multi-level sloped),벽 오분류 의심(roof pts ~vertical),4.938,2.257,5.555,1.364,1.273,1.813,1,1,1,closed,closed,no-solid,6,6,False,True,True,1.0,1.0,1.0,96621
4907510,R-target,단차 footprint(주지붕+하부),1000,518.0,562.38,566.33,-3.96,570.27,569.26,1.01,True,-3.79,48.33,20.9,28.4,1,1,경사/박공(sloped/gabled),경사/박공(sloped/gabled),3.411,1.334,3.279,3.658,1.402,3.29,6,4,1,closed,closed,no-solid,37,31,False,True,True,0.95,1.0,0.58,3084
4906972,Q-faithful,충실 기준선 박공(DIM도 조립),3100,531.78,579.18,581.03,-1.85,580.88,583.06,-2.19,False,-0.77,49.25,35.5,32.6,3,2,곡면(curved),곡면(curved),2.472,2.408,2.972,0.258,0.271,0.228,3,3,3,closed,closed,closed,32,28,False,True,True,1.0,1.0,1.0,154558
4908023,Q-faithful,충실 기준선 평(DIM도 조립),1000,518.95,565.27,566.97,-1.7,565.62,567.16,-1.53,False,-1.84,48.02,30.4,16.9,1,1,경사/박공(sloped/gabled),경사/박공(sloped/gabled),0.88,0.914,0.773,0.621,0.258,0.304,2,1,1,closed,closed,closed,12,6,True,True,True,1.0,1.0,1.0,7018
4906969,Q-context,맥락(단차 평지붕),1000,526.87,573.08,574.66,-1.58,576.27,578.41,-2.13,False,-1.96,47.79,41.9,52.3,4,3,곡면(curved),다층+경사(multi-level sloped),1.132,1.173,1.29,0.763,0.458,0.786,14,5,3,closed,closed,open,122,63,False,True,False,1.0,1.0,1.0,43896
