class4,n,n_dim_recon,n_als_recon,n_dim_over_ref,n_als_over_ref,med_dim_minus_ref,med_als_minus_ref,med_dim_minus_als
flat,40,33,39,21,22,1.0,1.0,0.0
sloped,48,47,48,32,29,2.0,1.0,0.0
curved,0,0,0,0,0,,,
composite,1,1,1,1,0,38.0,0.0,38.0
other,4,4,4,3,3,10.0,8.0,1.5
