bid,kind,GS_dz_below_ALS_m,GS_faces,GS_supported_k,GS_floating_m,GS_levels_stepaware,ALS_levels,ref_levels,GS_levels_z_ortho,ALS_levels_z_ortho,ref_levels_z_ortho,ALS_z_min_ortho,ALS_z_max_ortho
4906969,단차평 stepped-flat,0.33,14,5,9,11,3,3,"[510.8, 520.9, 523.2, 523.3, 524.4, 524.9, 526.4, 527.0, 527.1, 527.5, 528.0]","[np.float64(523.4), np.float64(526.4), np.float64(530.1)]","[523.7, 526.7, 530.2]",516.8,531.2
42364659,단차 stepped,0.0,6,0,6,6,2,2,"[512.4, 513.1, 514.1, 514.9, 516.0, 525.7]","[np.float64(516.5), np.float64(517.1)]","[516.5, 517.2]",515.4,528.0
4907510,대조 경사 sloped-ctrl,4.71,6,2,4,6,1,1,"[513.0, 513.9, 516.8, 518.1, 518.2, 521.6]",[np.float64(518.1)],[518.0],517.1,524.4
4906972,단순 박공 gable-simple,1.6,3,3,0,3,3,3,"[529.9, 530.0, 530.8]","[np.float64(532.0), np.float64(533.8), np.float64(534.4)]","[531.1, 531.7, 532.6]",517.7,536.1
