building_id,arm,clip_source,clip_path,clip_note,crs_xy,z_datum_history,footprint_area_m2,n_points_footprint,pt_density_m2,density_valid,density_reason,status_input,status_rf_pt_density,status_density_delta,grid_cell_m,grid_n_cells,grid_occupied_cells,coverage_frac,hole_frac,coverage_valid,coverage_reason,status_rf_nodata_frac,status_hole_delta,status_compare_note,roof_point_count,ground_point_count,local_plane_radius_m,local_plane_rms_m,local_plane_core_count,local_plane_valid,local_plane_reason,m3c2_normal_radius_m,m3c2_proj_radius_m,m3c2_core_count,m3c2_mean_m,m3c2_median_abs_m,m3c2_rms_m,m3c2_valid,m3c2_reason,ref_valid_345,ref_invalid_reason,ref_roof_surface_count,ref_lookup_miss_frac,floater_margin_m,floater_count,floater_frac,floater_valid,floater_reason,label_proxy_roof_minus_m,ground_high_count,label_proxy_frac_all,label_proxy_frac_ground,label_proxy_valid,label_proxy_reason
DEBY_LOD2_4907505,raw_dense,missing_clip,phases/p0-audit/runs/mob_eval/raw_dense/DEBY_LOD2_4907505_orig_classified.las,building-level clip absent,EPSG:25832,none,217.310904,0,none,false,missing_clip,DIM,102.405800,none,0.500000,870,0,none,none,false,missing_clip,0.682759,none,metric_none,0,0,0.750000,none,0,false,insufficient_roof_points,1.000000,0.750000,none,none,none,none,false,missing_lidar_clip,true,none,3,0.000000,3.000000,0,none,false,no_points,1.000000,0,none,none,false,no_points
DEBY_LOD2_4907505,raw_acmp,fallback_fused_acmp_footprint_clip,results/tum_transfer/mob_analysis/p0c_step2/acmp_classified.laz,non-persistent fallback because raw_acmp building clip was absent,EPSG:25832,fused ACMP classified LAZ orthometric +48.0 m to ellip-unified,217.310904,25796,118.705502,true,ok,none,none,none,0.500000,870,783,0.900000,0.100000,true,ok,none,none,no_canonical_status_for_acmp,25796,0,0.750000,0.160658,2996,true,ok,1.000000,0.750000,none,none,none,none,false,missing_lidar_clip,true,none,3,0.000000,3.000000,4,0.000155,true,ok,1.000000,0,0.000000,none,true,ok_no_ground_points
DEBY_LOD2_4907505,raw_lidar,missing_clip,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_4907505_orig_classified.las,building-level clip absent,EPSG:25832,none,217.310904,0,none,false,missing_clip,ALS,18.839907,none,0.500000,870,0,none,none,false,missing_clip,0.009195,none,metric_none,0,0,0.750000,none,0,false,insufficient_roof_points,1.000000,0.750000,none,none,none,none,false,not_applicable_lidar_self,true,none,3,0.000000,3.000000,0,none,false,no_points,1.000000,0,none,none,false,no_points
DEBY_LOD2_4907506,raw_dense,missing_clip,phases/p0-audit/runs/mob_eval/raw_dense/DEBY_LOD2_4907506_orig_classified.las,building-level clip absent,EPSG:25832,none,283.360737,0,none,false,missing_clip,DIM,407.400604,none,0.500000,1133,0,none,none,false,missing_clip,0.116505,none,metric_none,0,0,0.750000,none,0,false,insufficient_roof_points,1.000000,0.750000,none,none,none,none,false,insufficient_source_roof_points,true,none,4,0.000000,3.000000,0,none,false,no_points,1.000000,0,none,none,false,no_points
DEBY_LOD2_4907506,raw_acmp,fallback_fused_acmp_footprint_clip,results/tum_transfer/mob_analysis/p0c_step2/acmp_classified.laz,non-persistent fallback because raw_acmp building clip was absent,EPSG:25832,fused ACMP classified LAZ orthometric +48.0 m to ellip-unified,283.360737,96852,341.797529,true,ok,none,none,none,0.500000,1133,1128,0.995587,0.004413,true,ok,none,none,no_canonical_status_for_acmp,95871,981,0.750000,0.162335,3000,true,ok,1.000000,0.750000,2498,-1.150844,1.545775,1.361504,true,ok,true,none,4,0.000000,3.000000,5,0.000052,true,ok,1.000000,0,0.000000,0.000000,true,ok
DEBY_LOD2_4907506,raw_lidar,existing_mob_eval_clip,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_4907506_orig_classified.las,,EPSG:25832,ellip-unified existing classified clip,283.360737,6319,22.300196,true,ok,ALS,21.099911,1.200285,0.500000,1133,1131,0.998235,0.001765,true,ok,0.001765,0.000000,direct_comparison_same_arm_metric_not_identical_grid,6249,70,0.750000,0.151391,2998,true,ok,1.000000,0.750000,none,none,none,none,false,not_applicable_lidar_self,true,none,4,0.000000,3.000000,0,0.000000,true,ok,1.000000,0,0.000000,0.000000,true,ok
DEBY_LOD2_4907507,raw_dense,missing_clip,phases/p0-audit/runs/mob_eval/raw_dense/DEBY_LOD2_4907507_orig_classified.las,building-level clip absent,EPSG:25832,none,283.698847,0,none,false,missing_clip,DIM,667.520264,none,0.500000,1136,0,none,none,false,missing_clip,0.001761,none,metric_none,0,0,0.750000,none,0,false,insufficient_roof_points,1.000000,0.750000,none,none,none,none,false,insufficient_source_roof_points,true,none,2,0.000000,3.000000,0,none,false,no_points,1.000000,0,none,none,false,no_points
DEBY_LOD2_4907507,raw_acmp,fallback_fused_acmp_footprint_clip,results/tum_transfer/mob_analysis/p0c_step2/acmp_classified.laz,non-persistent fallback because raw_acmp building clip was absent,EPSG:25832,fused ACMP classified LAZ orthometric +48.0 m to ellip-unified,283.698847,115732,407.939621,true,ok,none,none,none,0.500000,1136,1136,1.000000,0.000000,true,ok,none,none,no_canonical_status_for_acmp,115107,625,0.750000,0.158632,3000,true,ok,1.000000,0.750000,2500,-1.001326,1.357309,1.228581,true,ok,true,none,2,0.000000,3.000000,7,0.000060,true,ok,1.000000,0,0.000000,0.000000,true,ok
DEBY_LOD2_4907507,raw_lidar,existing_mob_eval_clip,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_4907507_orig_classified.las,,EPSG:25832,ellip-unified existing classified clip,283.698847,6210,21.889409,true,ok,ALS,21.074734,0.814675,0.500000,1136,1124,0.989437,0.010563,true,ok,0.010563,0.000000,direct_comparison_same_arm_metric_not_identical_grid,6169,41,0.750000,0.167977,2999,true,ok,1.000000,0.750000,none,none,none,none,false,not_applicable_lidar_self,true,none,2,0.000000,3.000000,26,0.004187,true,ok,1.000000,0,0.000000,0.000000,true,ok
DEBY_LOD2_4907508,raw_dense,existing_mob_eval_clip,phases/p0-audit/runs/mob_eval/raw_dense/DEBY_LOD2_4907508_orig_classified.las,,EPSG:25832,ellip-unified existing classified clip,131.096100,1061,8.093299,true,ok,DIM,42.571430,-34.478131,0.500000,525,82,0.156190,0.843810,true,ok,0.840000,0.003810,direct_comparison_same_arm_metric_not_identical_grid,659,402,0.750000,0.142641,658,true,ok,1.000000,0.750000,180,-1.122376,0.476326,1.889236,true,ok,true,none,3,0.000000,3.000000,304,0.286522,true,ok,1.000000,0,0.000000,0.000000,true,ok
DEBY_LOD2_4907508,raw_acmp,existing_mob_eval_clip,phases/p0-audit/runs/mob_eval/raw_acmp/DEBY_LOD2_4907508_orig_classified.las,,EPSG:25832,ellip-unified existing classified clip,131.096100,5855,44.661893,true,ok,none,none,none,0.500000,525,422,0.803810,0.196190,true,ok,none,none,no_canonical_status_for_acmp,3252,2603,0.750000,0.134625,2960,true,ok,1.000000,0.750000,1290,-3.817720,4.235099,4.185177,true,ok,true,none,3,0.000000,3.000000,484,0.082664,true,ok,1.000000,0,0.000000,0.000000,true,ok
DEBY_LOD2_4907508,raw_lidar,existing_mob_eval_clip,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_4907508_orig_classified.las,,EPSG:25832,ellip-unified existing classified clip,131.096100,2415,18.421601,true,ok,ALS,17.836191,0.585410,0.500000,525,525,1.000000,0.000000,true,ok,0.000000,0.000000,direct_comparison_same_arm_metric_not_identical_grid,2383,32,0.750000,0.125527,2381,true,ok,1.000000,0.750000,none,none,none,none,false,not_applicable_lidar_self,true,none,3,0.000000,3.000000,15,0.006211,true,ok,1.000000,0,0.000000,0.000000,true,ok
DEBY_LOD2_4907509,raw_dense,missing_clip,phases/p0-audit/runs/mob_eval/raw_dense/DEBY_LOD2_4907509_orig_classified.las,building-level clip absent,EPSG:25832,none,322.396600,0,none,false,missing_clip,DIM,74.456749,none,0.500000,1291,0,none,none,false,missing_clip,0.104570,none,metric_none,0,0,0.750000,none,0,false,insufficient_roof_points,1.000000,0.750000,none,none,none,none,false,insufficient_source_roof_points,true,none,7,0.000000,3.000000,0,none,false,no_points,1.000000,0,none,none,false,no_points
