setting,run_name,arm,replicate,coverage_pre_minobs,coverage_post_minobs,coverage_post_sor,drop_pre_to_minobs,drop_minobs_to_sor,drop_pre_to_final
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,0.6008,0.2883,0.1589,0.3125,0.1295,0.4420
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,0.7390,0.2894,0.1568,0.4496,0.1325,0.5822
