iteration,source,model_gaussians_n,roof_proxy_n,opacity_q25,opacity_median,opacity_q75,opacity_gt_0p5_n,cum_prune_candidates,cum_prune_seed_protected,cum_pruned,checkpoint_path,checkpoint_sha256
0,seed_class6_fixed_geometry_proxy,7993,330,0.25,0.25,0.25,0,0,0,0,initial_seed_config,
5000,full_state_fixed_geometry_proxy,118931,7408,0.00177973389509134,0.00293738697655499,0.003790007613133639,0,806220,806220,0,phases/p2-gsjso/runs/20260724_fusion_w1/training/by_building/DEBY_LOD2_42364609/arm_A/r1/infra_retry_01/ckpt/step_005000.pt,c828fe40c14a8258df7c882c2450bc6e8973ae0a301fd8c63518244d5120dac2
10000,full_state_fixed_geometry_proxy,260460,12003,0.001615353743545711,0.0026959734968841076,0.0036307001719251275,0,4242838,4242838,0,phases/p2-gsjso/runs/20260724_fusion_w1/training/by_building/DEBY_LOD2_42364609/arm_A/r1/infra_retry_01/ckpt/step_010000.pt,c5e2a82580a35b05880d2e8160c48a2068f0775f614ffec372760ab01aa735bd
15000,full_state_fixed_geometry_proxy,405896,14970,0.0016010361432563514,0.0026559256948530674,0.003608947852626443,0,10589306,10589306,0,phases/p2-gsjso/runs/20260724_fusion_w1/training/by_building/DEBY_LOD2_42364609/arm_A/r1/infra_retry_01/ckpt/step_015000.pt,f1fd762bf5b56f8500b6df5265f99f18ca88bc93b2f34a91b57f8ab8d5d827f9
20000,full_state_fixed_geometry_proxy,405896,14965,0.00160084234084934,0.0026552823837846518,0.00360338413156569,0,10589306,10589306,0,phases/p2-gsjso/runs/20260724_fusion_w1/training/by_building/DEBY_LOD2_42364609/arm_A/r1/infra_retry_01/ckpt/step_020000.pt,2027ef6872be2b9c2c373ca81234d8654007d1427f81d99e2eb7bf5d3c9a09b7
25000,full_state_fixed_geometry_proxy,405896,14964,0.0016007931844796985,0.0026551499031484127,0.003601672127842903,0,10589306,10589306,0,phases/p2-gsjso/runs/20260724_fusion_w1/training/by_building/DEBY_LOD2_42364609/arm_A/r1/infra_retry_01/ckpt/step_025000.pt,134835b7d6b05d83b9c93ef390ce40b23193a054b91d2b4fac6fedbe255bcc3f
30000,full_state_fixed_geometry_proxy,405896,14966,0.0016008768288884312,0.002655460499227047,0.003599102725274861,0,10589306,10589306,0,phases/p2-gsjso/runs/20260724_fusion_w1/training/by_building/DEBY_LOD2_42364609/arm_A/r1/infra_retry_01/ckpt/step_030000.pt,5e1342f2326451c91c916d8ea67c18dd6d893e31e2838a1dbcf4c92ed39a372b
