arm,replicate,run_name,rend_dist_mean_tail_m,rend_dist_p50_tail_m,audit_rows_tail,denominator,audit_csv,reconstruction
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,0.4957,0.2722,10,1453.9805,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/audit/loss_grad_norms.csv,tail raw_loss * effective distort_norm_denominator
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,0.3606,0.2183,10,1453.9805,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/audit/loss_grad_norms.csv,tail raw_loss * effective distort_norm_denominator
