building_id,band_width_m,source,view_stem,all_count,upper_count,upper_z_median_local_m,upper_z_mad_m,upper_z_std_m,ground_z_q10_local_m,reference_roof_z_local_m,abs_delta_z_ref_m,alpha_threshold,crop_xyxy
DEBY_LOD2_4907199,0.500000,render_arm1p_r1,DJI_20241217095141_0077_D,2,0,,,,-27.521000,-34.333000,,0.500000,0;506;162;602
DEBY_LOD2_4907199,1.000000,render_arm1p_r1,DJI_20241217095141_0077_D,27,0,,,,-27.521000,-34.333000,,0.500000,0;506;162;602
DEBY_LOD2_4907199,1.500000,render_arm1p_r1,DJI_20241217095141_0077_D,199,0,,,,-27.521000,-34.333000,,0.500000,0;506;162;602
DEBY_LOD2_4907199,0.500000,render_arm1p_r1,DJI_20241217095145_0079_D,2,0,,,,-27.521000,-34.333000,,0.500000,0;505;177;601
DEBY_LOD2_4907199,1.000000,render_arm1p_r1,DJI_20241217095145_0079_D,26,0,,,,-27.521000,-34.333000,,0.500000,0;505;177;601
DEBY_LOD2_4907199,1.500000,render_arm1p_r1,DJI_20241217095145_0079_D,198,0,,,,-27.521000,-34.333000,,0.500000,0;505;177;601
DEBY_LOD2_4907199,0.500000,render_arm1p_r1,DJI_20241217095147_0080_D,2,0,,,,-27.521000,-34.333000,,0.500000,0;504;176;600
DEBY_LOD2_4907199,1.000000,render_arm1p_r1,DJI_20241217095147_0080_D,27,0,,,,-27.521000,-34.333000,,0.500000,0;504;176;600
DEBY_LOD2_4907199,1.500000,render_arm1p_r1,DJI_20241217095147_0080_D,198,0,,,,-27.521000,-34.333000,,0.500000,0;504;176;600
DEBY_LOD2_4907199,0.500000,render_arm1p_r1,DJI_20241217095149_0081_D,0,0,,,,-27.521000,-34.333000,,0.500000,0;504;174;599
DEBY_LOD2_4907199,1.000000,render_arm1p_r1,DJI_20241217095149_0081_D,16,0,,,,-27.521000,-34.333000,,0.500000,0;504;174;599
