schema_version,row_type,seed,stratum,building_id,pair_state,vision_run_state,gt_run_state,vision_partial,gt_partial,vision_metric_available,gt_metric_available,vision_roof_rms_m,gt_roof_rms_m,delta_gt_minus_vision_roof_rms_m,vision_roof_hausdorff_m,gt_roof_hausdorff_m,delta_gt_minus_vision_roof_hausdorff_m,vision_face_count_ratio_abs_error,gt_face_count_ratio_abs_error,delta_gt_minus_vision_face_count_ratio_abs_error,vision_roof_completeness,gt_roof_completeness,delta_gt_minus_vision_roof_completeness,vision_val3dity_valid,gt_val3dity_valid,delta_gt_minus_vision_val3dity_valid,vision_has_lod22,gt_has_lod22,delta_gt_minus_vision_has_lod22
jointbuildgs.pilot_1wave.scoring.v1,building_gap,1001,building,DEBY_LOD2_4907177,available_pair,complete_20k,complete_20k,false,false,true,true,,,,,,,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,true,true,0,false,false,0
jointbuildgs.pilot_1wave.scoring.v1,building_gap,1001,building,DEBY_LOD2_4907179,available_pair,complete_20k,complete_20k,false,false,true,true,,42.287447998,,,46.557893149,,1.000000000,0.333333333,-0.666666667,0.000000000,0.999943253,0.999943253,true,false,-1,false,true,1
jointbuildgs.pilot_1wave.scoring.v1,building_gap,1001,building,DEBY_LOD2_42364665,available_pair,complete_20k,complete_20k,false,false,true,true,,45.542629204,,,69.842000000,,1.000000000,5.000000000,4.000000000,0.000000000,0.953439758,0.953439758,true,false,-1,false,true,1
jointbuildgs.pilot_1wave.scoring.v1,building_gap,1001,building,DEBY_LOD2_4906965,available_pair,complete_20k,complete_20k,false,false,true,true,52.445464775,44.787374425,-7.658090350,65.347673381,59.413218793,-5.934454588,0.111111111,4.500000000,4.388888889,0.127791895,0.990783519,0.862991624,false,false,0,true,true,0
jointbuildgs.pilot_1wave.scoring.v1,building_gap,1001,building,DEBY_LOD2_42364667,available_pair,complete_20k,complete_20k,false,false,true,true,56.364439761,47.816920961,-8.547518800,59.486908075,69.817764415,10.330856340,1.000000000,7.000000000,6.000000000,0.578175146,0.975240301,0.397065155,true,false,-1,true,true,0
jointbuildgs.pilot_1wave.scoring.v1,building_gap,1001,building,DEBY_LOD2_4907176,available_pair,complete_20k,complete_20k,false,false,true,true,,,,,,,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,true,true,0,false,false,0
jointbuildgs.pilot_1wave.scoring.v1,building_gap,1001,building,DEBY_LOD2_4907180,available_pair,complete_20k,complete_20k,false,false,true,true,45.112363439,45.040129272,-0.072234167,46.456541614,48.273949192,1.817407578,0.333333333,0.666666667,0.333333334,0.024455665,0.254700737,0.230245072,true,true,0,true,true,0
jointbuildgs.pilot_1wave.scoring.v1,building_gap,1001,building,DEBY_LOD2_4906967,available_pair,complete_20k,complete_20k,false,false,true,true,50.175899864,52.128367300,1.952467436,73.302685868,75.512251296,2.209565428,0.608695652,2.869565217,2.260869565,0.125387460,0.828852552,0.703465092,false,false,0,true,true,0
jointbuildgs.pilot_1wave.scoring.v1,building_gap,1001,building,DEBY_LOD2_4908023,available_pair,complete_20k,complete_20k,false,false,true,true,66.246425165,45.664058795,-20.582366370,67.080136701,46.560051581,-20.520085120,0.000000000,0.000000000,0.000000000,0.999744730,0.999744730,0.000000000,true,true,0,true,true,0
jointbuildgs.pilot_1wave.scoring.v1,building_gap,1001,building,DEBY_LOD2_4908024,available_pair,complete_20k,complete_20k,false,false,true,true,,45.422847750,,,46.239818034,,1.000000000,0.000000000,-1.000000000,0.000000000,0.999593782,0.999593782,true,true,0,false,true,1
jointbuildgs.pilot_1wave.scoring.v1,building_gap,1002,building,DEBY_LOD2_4906966,available_pair,complete_20k,complete_20k,false,false,true,true,47.707029284,110.746943970,63.039914686,80.962682524,5764.452121280,5683.489438756,6.500000000,7.500000000,1.000000000,0.976972069,0.996563085,0.019591016,false,false,0,true,true,0
jointbuildgs.pilot_1wave.scoring.v1,building_gap,1002,building,DEBY_LOD2_4907178,available_pair,complete_20k,complete_20k,false,false,true,true,39.029924837,,,40.337010415,,,0.500000000,1.000000000,0.500000000,0.082708883,0.000000000,-0.082708883,true,true,0,true,false,-1
jointbuildgs.pilot_1wave.scoring.v1,building_gap,1002,building,DEBY_LOD2_4907183,available_pair,complete_20k,complete_20k,false,false,true,true,41.502054246,43.591805800,2.089751554,49.998828191,62.167015375,12.168187184,2.500000000,2.000000000,-0.500000000,0.872646789,0.304108260,-0.568538529,true,false,-1,true,true,0
