row_type,building_id,bc_applicable,source,band_width_m,height_tolerance_m,candidate_count,multiview_pass_count,target_address_count,height_match_count,eligible_count,multiview_reject_count,non_target_address_count,height_mismatch_count,eligible_height_residual_abs_median_m,eligible_height_residual_abs_mad_m,candidate_rule,target_spatial_address_rule,height_match_rule,multiview_rule,plane_source,aux_seed_lineage,aux_seed_npz,aux_seed_count,footprint_role,candidate_reference_inputs_loaded,crs,learning_runs_started,status
source,DEBY_LOD2_4907199,true,observed_sfm,1.000000000000,0.300000000000,7,0,0,0,0,7,0,0,,,observed SfM+dense-init point with horizontal distance to target footprint boundary <=1.0m,XY is covered by the supplied target footprint; outside-band points are retained only in rejected-count provenance,"abs(z_observed - z_FM_P0_plane(x,y)) <=0.30m",COLMAP track length >=2,canonical P0 fill; FM anchored,observed_boundary_height_matched,,0,target address mask only,false,EPSG:25832,0,classified
source,DEBY_LOD2_4907199,true,observed_dense_init,1.000000000000,0.300000000000,86,86,30,0,0,0,56,30,,,observed SfM+dense-init point with horizontal distance to target footprint boundary <=1.0m,XY is covered by the supplied target footprint; outside-band points are retained only in rejected-count provenance,"abs(z_observed - z_FM_P0_plane(x,y)) <=0.30m","reproject to all locked COLMAP poses; existing PatchMatch depth agrees within max(0.50m, 0.02*camera_z) in >=2 views",canonical P0 fill; FM anchored,observed_boundary_height_matched,,0,target address mask only,false,EPSG:25832,0,classified
building_summary,DEBY_LOD2_4907199,true,observed_sfm_plus_dense,1.000000000000,0.300000000000,93,86,30,0,0,7,56,30,,,observed SfM+dense-init point with horizontal distance to target footprint boundary <=1.0m,XY is covered by the supplied target footprint; outside-band points are retained only in rejected-count provenance,"abs(z_observed - z_FM_P0_plane(x,y)) <=0.30m","COLMAP track length >=2; reproject to all locked COLMAP poses; existing PatchMatch depth agrees within max(0.50m, 0.02*camera_z) in >=2 views",canonical P0 fill; FM anchored,none,,0,target address mask only,false,EPSG:25832,0,eligible_zero_no_aux_seed
building_summary,DEBY_LOD2_8568391,false,not_applicable_A_target,1.000000000000,0.300000000000,0,0,0,0,0,0,0,0,,,observed SfM+dense-init point with horizontal distance to target footprint boundary <=1.0m,XY is covered by the supplied target footprint; outside-band points are retained only in rejected-count provenance,"abs(z_observed - z_FM_P0_plane(x,y)) <=0.30m",not_applicable,canonical P0 fill,none,,0,target address mask only,false,EPSG:25832,0,not_applicable_A_target
source,DEBY_LOD2_8568392,true,observed_sfm,1.000000000000,0.300000000000,0,0,0,0,0,0,0,0,,,observed SfM+dense-init point with horizontal distance to target footprint boundary <=1.0m,XY is covered by the supplied target footprint; outside-band points are retained only in rejected-count provenance,"abs(z_observed - z_FM_P0_plane(x,y)) <=0.30m",COLMAP track length >=2,canonical P0 fill; FM anchored,observed_boundary_height_matched,phases/p2-gsjso/runs/20260715_e5_c001_s3ap_phase1_seedprep/seeds/DEBY_LOD2_8568392_bc_aux_seed.npz,2,target address mask only,false,EPSG:25832,0,classified
source,DEBY_LOD2_8568392,true,observed_dense_init,1.000000000000,0.300000000000,73,27,5,4,2,46,22,3,0.242837931055,0.050960330729,observed SfM+dense-init point with horizontal distance to target footprint boundary <=1.0m,XY is covered by the supplied target footprint; outside-band points are retained only in rejected-count provenance,"abs(z_observed - z_FM_P0_plane(x,y)) <=0.30m","reproject to all locked COLMAP poses; existing PatchMatch depth agrees within max(0.50m, 0.02*camera_z) in >=2 views",canonical P0 fill; FM anchored,observed_boundary_height_matched,phases/p2-gsjso/runs/20260715_e5_c001_s3ap_phase1_seedprep/seeds/DEBY_LOD2_8568392_bc_aux_seed.npz,2,target address mask only,false,EPSG:25832,0,classified
building_summary,DEBY_LOD2_8568392,true,observed_sfm_plus_dense,1.000000000000,0.300000000000,73,27,5,4,2,46,22,3,0.242837931055,0.050960330729,observed SfM+dense-init point with horizontal distance to target footprint boundary <=1.0m,XY is covered by the supplied target footprint; outside-band points are retained only in rejected-count provenance,"abs(z_observed - z_FM_P0_plane(x,y)) <=0.30m","COLMAP track length >=2; reproject to all locked COLMAP poses; existing PatchMatch depth agrees within max(0.50m, 0.02*camera_z) in >=2 views",canonical P0 fill; FM anchored,observed_boundary_height_matched,phases/p2-gsjso/runs/20260715_e5_c001_s3ap_phase1_seedprep/seeds/DEBY_LOD2_8568392_bc_aux_seed.npz,2,target address mask only,false,EPSG:25832,0,aux_seed_prepared
