setting,run_name,roofer_repeat,building_id,prep_returncode,n_clip,n_used,n_building,n_building_in_fp,classified_las
base,gs_e5_C001_sparse_r2,run_1,DEBY_LOD2_4907185,0,626629,626629,626629,4851,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_sparse_r2/run_1/DEBY_LOD2_4907185_run_1_classified.las
base,gs_e5_C001_sparse_r2,run_1,DEBY_LOD2_4907186,0,9752,9752,9752,473,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_sparse_r2/run_1/DEBY_LOD2_4907186_run_1_classified.las
base,gs_e5_C001_sparse_r2,run_1,DEBY_LOD2_4907188,0,1595,1595,1595,94,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_sparse_r2/run_1/DEBY_LOD2_4907188_run_1_classified.las
base,gs_e5_C001_sparse_r2,run_1,DEBY_LOD2_4907194,0,12038,12038,12038,335,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_sparse_r2/run_1/DEBY_LOD2_4907194_run_1_classified.las
base,gs_e5_C001_sparse_r2,run_1,DEBY_LOD2_4907195,0,20692,20692,20692,2148,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_sparse_r2/run_1/DEBY_LOD2_4907195_run_1_classified.las
base,gs_e5_C001_sparse_r2,run_1,DEBY_LOD2_4907198,0,123583,123583,123583,5112,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_sparse_r2/run_1/DEBY_LOD2_4907198_run_1_classified.las
base,gs_e5_C001_sparse_r2,run_1,DEBY_LOD2_4907199,0,25602,25602,25602,1031,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_sparse_r2/run_1/DEBY_LOD2_4907199_run_1_classified.las
base,gs_e5_C001_sparse_r2,run_1,DEBY_LOD2_4907202,0,16767,16767,16767,7353,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_sparse_r2/run_1/DEBY_LOD2_4907202_run_1_classified.las
base,gs_e5_C001_sparse_r2,run_1,DEBY_LOD2_4908168,0,482312,482312,482312,0,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_sparse_r2/run_1/DEBY_LOD2_4908168_run_1_classified.las
base,gs_e5_C001_sparse_r2,run_1,DEBY_LOD2_4908178,0,25146,25146,25146,2777,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_sparse_r2/run_1/DEBY_LOD2_4908178_run_1_classified.las
