setting,run_name,arm,replicate,roofer_repeat,input,building_id,status,reason,rf_success,rf_extrusion_mode,rf_pointcloud_unusable,rf_roof_type,rf_pt_density,rf_nodata_frac,rf_rmse_lod22,rf_roof_planes,has_lod22,val3dity_valid,val3dity_errors
base,gs_e5_C001_s1fac_w100_p005_dense_r1,dense,r1,run_1,GS-dense-r1-base,DEBY_LOD2_108247349,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.937811,,0,False,True,[]
base,gs_e5_C001_s1fac_w100_p005_dense_r1,dense,r1,run_1,GS-dense-r1-base,DEBY_LOD2_108247350,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.937500,,0,False,True,[]
base,gs_e5_C001_s1fac_w100_p005_dense_r1,dense,r1,run_1,GS-dense-r1-base,DEBY_LOD2_108247351,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.934615,,0,False,True,[]
base,gs_e5_C001_s1fac_w100_p005_dense_r1,dense,r1,run_1,GS-dense-r1-base,DEBY_LOD2_4907184,success,success,True,standard,False,slanted,1153.438965,0.000740,0.426741,47,True,True,[]
base,gs_e5_C001_s1fac_w100_p005_dense_r1,dense,r1,run_1,GS-dense-r1-base,DEBY_LOD2_4907185,success,success,True,standard,False,slanted,102.007904,0.607143,8.993231,11,True,True,[]
base,gs_e5_C001_s1fac_w100_p005_dense_r1,dense,r1,run_1,GS-dense-r1-base,DEBY_LOD2_4907186,failure,missing_lod22_geometry,True,standard,False,slanted,44.991150,0.832344,0.000000,5,False,True,[]
base,gs_e5_C001_s1fac_w100_p005_dense_r1,dense,r1,run_1,GS-dense-r1-base,DEBY_LOD2_4907188,failure,val3dity_invalid,True,standard,False,slanted,34.518520,0.878012,1.020443,2,True,False,"[{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907188-0|geom=0|shell=0|face="",""info"":""Location hole: (690785, 5.33611e+06, 577.974)""},{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907188-0|geom=0|shell=0|face="",""info"":""Location hole: (690789, 5.33612e+06, 577.974)""}]"
base,gs_e5_C001_s1fac_w100_p005_dense_r1,dense,r1,run_1,GS-dense-r1-base,DEBY_LOD2_4907194,failure,val3dity_invalid,True,standard,False,slanted,17.185184,0.904818,0.963355,1,True,False,"[{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907194-0|geom=0|shell=0|face="",""info"":""Location hole: (690788, 5.33608e+06, 577.724)""},{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907194-0|geom=0|shell=0|face="",""info"":""Location hole: (690775, 5.33608e+06, 577.724)""}]"
base,gs_e5_C001_s1fac_w100_p005_dense_r1,dense,r1,run_1,GS-dense-r1-base,DEBY_LOD2_4907195,success,success,True,standard,False,slanted,56.041027,0.725352,6.118511,12,True,True,[]
base,gs_e5_C001_s1fac_w100_p005_dense_r1,dense,r1,run_1,GS-dense-r1-base,DEBY_LOD2_4907198,success,success,True,standard,False,slanted,76.640884,0.748261,20.708055,14,True,True,[]
base,gs_e5_C001_s1fac_w100_p005_dense_r1,dense,r1,run_1,GS-dense-r1-base,DEBY_LOD2_4907199,failure,pointcloud_unusable_no_planes,True,skip,True,no planes,7.076923,0.933842,,0,False,True,[]
base,gs_e5_C001_s1fac_w100_p005_dense_r1,dense,r1,run_1,GS-dense-r1-base,DEBY_LOD2_4907202,failure,pointcloud_unusable_no_planes,True,skip,True,no planes,22.888889,0.943838,,0,False,True,[]
base,gs_e5_C001_s1fac_w100_p005_dense_r1,dense,r1,run_1,GS-dense-r1-base,DEBY_LOD2_4908168,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.947368,,0,False,True,[]
base,gs_e5_C001_s1fac_w100_p005_dense_r1,dense,r1,run_1,GS-dense-r1-base,DEBY_LOD2_4908178,failure,pointcloud_unusable_no_planes,True,skip,True,no planes,78.181816,0.806167,,0,False,True,[]
base,gs_e5_C001_s1fac_w100_p005_dense_r1,dense,r1,run_1,GS-dense-r1-base,DEBY_LOD2_4908179,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.995781,,0,False,True,[]
base,gs_e5_C001_s1fac_w100_p005_dense_r1,dense,r1,run_1,GS-dense-r1-base,DEBY_LOD2_60098,failure,val3dity_invalid,True,standard,False,slanted,35.795349,0.725765,16.308996,9,True,False,"[{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_60098-0|geom=0|shell=0|face="",""info"":""Location hole: (690810, 5.3361e+06, 577.775)""},{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_60098-0|geom=0|shell=0|face="",""info"":""Location hole: (690828, 5.33611e+06, 577.775)""}]"
base,gs_e5_C001_s1fac_w100_p005_dense_r1,dense,r1,run_1,GS-dense-r1-base,DEBY_LOD2_8568391,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.995475,,0,False,True,[]
base,gs_e5_C001_s1fac_w100_p005_dense_r1,dense,r1,run_1,GS-dense-r1-base,DEBY_LOD2_8568392,failure,pointcloud_unusable_no_points,True,skip,True,no points,0.000000,1.000000,,0,False,True,[]
