arm,building_id,pair_baseline,pair_baseline_source_input,baseline_has_lod22,baseline_reason,gs_r1_run,gs_r1_has_lod22,gs_r1_valid,gs_r1_reason,gs_r1_rmse_delta_vs_pair,gs_r2_run,gs_r2_has_lod22,gs_r2_valid,gs_r2_reason,r1_r2_flip
dense,DEBY_LOD2_4907194,raw-dense(w2_1 DIM),DIM,False,missing_roofer_output,gs_e5_C001_dense_r1,False,True,pointcloud_unusable_no_planes,,gs_e5_C001_dense_r2,False,True,pointcloud_unusable_no_points,False
dense,DEBY_LOD2_4907195,raw-dense(w2_1 DIM),DIM,True,success,gs_e5_C001_dense_r1,True,True,success,-2.560973,gs_e5_C001_dense_r2,True,True,success,False
dense,DEBY_LOD2_4907198,raw-dense(w2_1 DIM),DIM,True,success,gs_e5_C001_dense_r1,True,True,success,-7.553936,gs_e5_C001_dense_r2,True,True,success,False
dense,DEBY_LOD2_4907199,raw-dense(w2_1 DIM),DIM,False,pointcloud_unusable_no_points,gs_e5_C001_dense_r1,False,True,pointcloud_unusable_no_planes,,gs_e5_C001_dense_r2,False,True,pointcloud_unusable_no_planes,False
dense,DEBY_LOD2_4907202,raw-dense(w2_1 DIM),DIM,True,success,gs_e5_C001_dense_r1,False,True,pointcloud_unusable_no_planes,,gs_e5_C001_dense_r2,True,True,success,True
dense,DEBY_LOD2_4908168,raw-dense(w2_1 DIM),DIM,True,success,gs_e5_C001_dense_r1,False,True,pointcloud_unusable_no_points,,gs_e5_C001_dense_r2,True,True,success,True
dense,DEBY_LOD2_4908178,raw-dense(w2_1 DIM),DIM,True,success,gs_e5_C001_dense_r1,True,False,val3dity_invalid,36.414203,gs_e5_C001_dense_r2,True,False,val3dity_invalid,False
dense,DEBY_LOD2_4908179,raw-dense(w2_1 DIM),DIM,False,missing_roofer_output,gs_e5_C001_dense_r1,False,True,pointcloud_unusable_no_points,,gs_e5_C001_dense_r2,False,True,pointcloud_unusable_no_points,False
dense,DEBY_LOD2_60098,raw-dense(w2_1 DIM),DIM,True,success,gs_e5_C001_dense_r1,False,True,pointcloud_unusable_no_planes,,gs_e5_C001_dense_r2,True,True,success,True
dense,DEBY_LOD2_8568391,raw-dense(w2_1 DIM),DIM,False,pointcloud_unusable_no_points,gs_e5_C001_dense_r1,False,True,pointcloud_unusable_no_points,,gs_e5_C001_dense_r2,True,True,success,True
dense,DEBY_LOD2_8568392,raw-dense(w2_1 DIM),DIM,False,pointcloud_unusable_no_points,gs_e5_C001_dense_r1,False,True,pointcloud_unusable_no_points,,gs_e5_C001_dense_r2,True,True,success,True
acmp,DEBY_LOD2_108247349,raw-ACMP,raw-ACMP,False,pointcloud_unusable_no_points,gs_e5_C001_acmp_r1,False,True,pointcloud_unusable_no_points,,gs_e5_C001_acmp_r2,False,True,pointcloud_unusable_no_points,False
acmp,DEBY_LOD2_108247350,raw-ACMP,raw-ACMP,True,success,gs_e5_C001_acmp_r1,False,True,pointcloud_unusable_no_points,,gs_e5_C001_acmp_r2,False,True,pointcloud_unusable_no_points,False
acmp,DEBY_LOD2_108247351,raw-ACMP,raw-ACMP,True,success,gs_e5_C001_acmp_r1,False,True,pointcloud_unusable_no_points,,gs_e5_C001_acmp_r2,False,True,pointcloud_unusable_no_planes,False
acmp,DEBY_LOD2_4907184,raw-ACMP,raw-ACMP,True,success,gs_e5_C001_acmp_r1,True,False,val3dity_invalid,-1.670891,gs_e5_C001_acmp_r2,True,True,success,False
acmp,DEBY_LOD2_4907185,raw-ACMP,raw-ACMP,True,success,gs_e5_C001_acmp_r1,True,True,success,1.802093,gs_e5_C001_acmp_r2,True,True,success,False
acmp,DEBY_LOD2_4907186,raw-ACMP,raw-ACMP,True,success,gs_e5_C001_acmp_r1,True,True,success,2.185747,gs_e5_C001_acmp_r2,True,True,success,False
acmp,DEBY_LOD2_4907188,raw-ACMP,raw-ACMP,True,success,gs_e5_C001_acmp_r1,True,False,val3dity_invalid,-1.328639,gs_e5_C001_acmp_r2,True,False,val3dity_invalid,False
acmp,DEBY_LOD2_4907194,raw-ACMP,raw-ACMP,True,success,gs_e5_C001_acmp_r1,False,True,pointcloud_unusable_no_planes,,gs_e5_C001_acmp_r2,True,False,val3dity_invalid,True
acmp,DEBY_LOD2_4907195,raw-ACMP,raw-ACMP,True,success,gs_e5_C001_acmp_r1,True,True,success,0.389095,gs_e5_C001_acmp_r2,True,True,success,False
acmp,DEBY_LOD2_4907198,raw-ACMP,raw-ACMP,True,success,gs_e5_C001_acmp_r1,True,True,success,0.075737,gs_e5_C001_acmp_r2,True,True,success,False
acmp,DEBY_LOD2_4907199,raw-ACMP,raw-ACMP,False,pointcloud_unusable_no_planes,gs_e5_C001_acmp_r1,False,True,pointcloud_unusable_no_planes,,gs_e5_C001_acmp_r2,True,False,val3dity_invalid,True
acmp,DEBY_LOD2_4907202,raw-ACMP,raw-ACMP,True,success,gs_e5_C001_acmp_r1,True,False,val3dity_invalid,30.164111,gs_e5_C001_acmp_r2,True,True,success,False
acmp,DEBY_LOD2_4908168,raw-ACMP,raw-ACMP,True,success,gs_e5_C001_acmp_r1,True,True,success,-0.724600,gs_e5_C001_acmp_r2,False,True,pointcloud_unusable_no_points,True
acmp,DEBY_LOD2_4908178,raw-ACMP,raw-ACMP,False,missing_lod22_geometry,gs_e5_C001_acmp_r1,False,True,pointcloud_unusable_no_planes,,gs_e5_C001_acmp_r2,True,False,val3dity_invalid,True
acmp,DEBY_LOD2_4908179,raw-ACMP,raw-ACMP,False,pointcloud_unusable_no_points,gs_e5_C001_acmp_r1,False,True,pointcloud_unusable_no_planes,,gs_e5_C001_acmp_r2,False,True,pointcloud_unusable_no_points,False
acmp,DEBY_LOD2_60098,raw-ACMP,raw-ACMP,True,val3dity_invalid,gs_e5_C001_acmp_r1,True,True,success,12.967727,gs_e5_C001_acmp_r2,True,True,success,False
acmp,DEBY_LOD2_8568391,raw-ACMP,raw-ACMP,False,pointcloud_unusable_no_planes,gs_e5_C001_acmp_r1,False,True,pointcloud_unusable_no_points,,gs_e5_C001_acmp_r2,False,True,pointcloud_unusable_no_planes,False
acmp,DEBY_LOD2_8568392,raw-ACMP,raw-ACMP,False,pointcloud_unusable_no_points,gs_e5_C001_acmp_r1,False,True,pointcloud_unusable_no_points,,gs_e5_C001_acmp_r2,False,True,pointcloud_unusable_no_points,False
