building_id,tier,cohort,processing_order,source_cell_label,roof_fixed_crop_n,roof_moving_crop_n,roof_fixed_voxel_n,roof_moving_voxel_n,roof_fixed_valid_n,roof_moving_valid_n,roof_usable,ground_fixed_crop_n,ground_moving_crop_n,ground_fixed_voxel_n,ground_moving_voxel_n,ground_fixed_valid_n,ground_moving_valid_n,ground_usable,usable_surface_count,inventory_status,boundary_cell_label,before_surface_count,before_forward_matches_n,before_forward_total_n,before_reverse_matches_n,before_reverse_total_n,before_pooled_matched_observations_n,before_correspondence_n,before_matched_median_m,before_matched_p90_m,before_censored_median_m,before_censored_p90_m,before_forward_support,before_reverse_support,before_bidirectional_support,before_censor_radius_m,before_roof_matched_median_m,before_roof_matched_p90_m,before_roof_censored_median_m,before_roof_censored_p90_m,before_ground_matched_median_m,before_ground_matched_p90_m,before_ground_censored_median_m,before_ground_censored_p90_m,before_residual_strata_observed_n,before_all_four_residual_strata_observed,before_available_strata_equal_weight_median_m,before_matched_tail_n,before_censored_unmatched_n,after_surface_count,after_forward_matches_n,after_forward_total_n,after_reverse_matches_n,after_reverse_total_n,after_pooled_matched_observations_n,after_correspondence_n,after_matched_median_m,after_matched_p90_m,after_censored_median_m,after_censored_p90_m,after_forward_support,after_reverse_support,after_bidirectional_support,after_censor_radius_m,after_roof_matched_median_m,after_roof_matched_p90_m,after_roof_censored_median_m,after_roof_censored_p90_m,after_ground_matched_median_m,after_ground_matched_p90_m,after_ground_censored_median_m,after_ground_censored_p90_m,after_residual_strata_observed_n,after_all_four_residual_strata_observed,after_available_strata_equal_weight_median_m,after_matched_tail_n,after_censored_unmatched_n,delta_after_minus_before_matched_median_m,delta_after_minus_before_matched_p90_m,delta_after_minus_before_censored_median_m,delta_after_minus_before_censored_p90_m,delta_after_minus_before_correspondence_n,delta_after_minus_before_bidirectional_support,n_distribution_q10_nearest_rank,n_threshold,correspondence_capable,after_matched_median_le_0p3,after_state_disposition,gate_statistic_only,gate_statistic_scope,capability_scope,p90_support_gate_role,low_support,support_classification,tier_group
DEBY_LOD2_4906970,surface,extension,50,cell_1_assembled,2008,35258,1197,2500,1151,2086,true,1673,120901,1063,2500,1063,1892,true,2,roof_and_ground,cell_1_assembled,2,2257,3978,1847,2214,4104,1847,0.0879392823238,0.210258472452,0.154240526928,0.35,0.567370537959,0.8342366757,0.567370537959,0.35,0.0785214645667,0.201807399211,0.162473850245,0.35,0.101162396299,0.217841257567,0.149812796405,0.35,4,true,0.0838238435162,411,2088,2,2291,3978,1883,2214,4174,1883,0.070687000887,0.189245678634,0.122158969579,0.35,0.575917546506,0.850496838302,0.575917546506,0.35,0.0669746691894,0.198609760826,0.14573583911,0.35,0.0731036843596,0.180531143683,0.109009638562,0.35,4,true,0.0696845327739,418,2018,-0.0172522814368,-0.0210127938189,-0.0320815573491,0,36,0.00854700854701,0,40,true,true,diagnostic_global_candidate_not_adopted,matched_median_m_le_0.3,conditional_matched_reference_only,baseline_correspondence_conditioned,auxiliary_only,false,capable_not_low_support,surface
DEBY_LOD2_4907508,height,extension,51,cell_2_anchored,1854,215,708,6,672,0,false,3771,10341,1610,751,1610,742,true,1,one_surface,cell_2_anchored,1,324,742,330,1610,654,324,0.122856916104,0.261645356293,0.35,0.35,0.436657681941,0.204968944099,0.204968944099,0.35,,,,,0.122856916104,0.261645356293,0.35,0.35,2,false,0.122761158213,66,1698,1,324,742,310,1610,634,310,0.117673010649,0.263443026573,0.35,0.35,0.436657681941,0.192546583851,0.192546583851,0.35,,,,,0.117673010649,0.263443026573,0.35,0.35,2,false,0.117902632929,64,1718,-0.00518390545516,0.00179767027964,0,0,-14,-0.0124223602484,0,40,true,true,diagnostic_global_candidate_not_adopted,matched_median_m_le_0.3,conditional_matched_reference_only,baseline_correspondence_conditioned,auxiliary_only,false,capable_not_low_support,height_or_outline
DEBY_LOD2_4907022,outline,extension,52,cell_3_outline_only,2243,0,1468,0,1461,0,false,3357,0,1894,0,1894,0,false,0,no_usable_surface,cell_3_outline_only,0,0,0,0,0,0,0,,,,,,,,0.35,,,,,,,,,0,false,,0,0,0,0,0,0,0,0,0,,,,,,,,0.35,,,,,,,,,0,false,,0,0,,,,,0,,0,40,false,false,diagnostic_global_candidate_not_adopted,matched_median_m_le_0.3,conditional_matched_reference_only,baseline_correspondence_conditioned,auxiliary_only,,not_applicable_incapable,height_or_outline
DEBY_LOD2_4906972,surface,extension,53,cell_1_assembled,5914,75920,2500,2500,2440,1881,true,3297,143794,2020,2500,2020,2150,true,2,roof_and_ground,cell_1_assembled,2,2622,4031,3174,4460,5796,2622,0.0820129909273,0.197409536852,0.133529448451,0.35,0.65045894319,0.711659192825,0.65045894319,0.35,0.0769884587958,0.199430953984,0.134692322165,0.35,0.0883757363267,0.196828186402,0.132732734129,0.35,4,true,0.0821263259122,580,2695,2,2670,4031,3202,4460,5872,2670,0.0709909865887,0.194956690366,0.120016741114,0.35,0.662366658397,0.717937219731,0.662366658397,0.35,0.0716350096185,0.207566382019,0.133851253673,0.35,0.0703437973936,0.179391213176,0.110360570044,0.35,4,true,0.0720027789074,588,2619,-0.0110220043385,-0.00245284648592,-0.0135127073371,0,48,0.0119077152071,0,40,true,true,diagnostic_global_candidate_not_adopted,matched_median_m_le_0.3,conditional_matched_reference_only,baseline_correspondence_conditioned,auxiliary_only,false,capable_not_low_support,surface
DEBY_LOD2_4908167,height,extension,54,cell_2_anchored,412,0,177,0,176,0,false,1487,4272,783,168,779,167,true,1,one_surface,cell_2_anchored,1,48,167,48,779,96,48,0.158032881864,0.238589482135,0.35,0.35,0.287425149701,0.0616174582798,0.0616174582798,0.35,,,,,0.158032881864,0.238589482135,0.35,0.35,2,false,0.156695888812,10,850,1,54,167,55,779,109,54,0.059333881182,0.214686060501,0.35,0.35,0.323353293413,0.0706033376123,0.0706033376123,0.35,,,,,0.059333881182,0.214686060501,0.35,0.35,2,false,0.059285263633,11,837,-0.0986990006822,-0.023903421634,0,0,6,0.00898587933248,0,40,true,true,diagnostic_global_candidate_not_adopted,matched_median_m_le_0.3,conditional_matched_reference_only,baseline_correspondence_conditioned,auxiliary_only,true,capable_low_support,height_or_outline
DEBY_LOD2_4907027,outline,extension,55,cell_3_outline_only,2581,28,1754,28,1751,0,false,2657,34,1633,0,1633,0,false,0,no_usable_surface,cell_3_outline_only,0,0,0,0,0,0,0,,,,,,,,0.35,,,,,,,,,0,false,,0,0,0,0,0,0,0,0,0,,,,,,,,0.35,,,,,,,,,0,false,,0,0,,,,,0,,0,40,false,false,diagnostic_global_candidate_not_adopted,matched_median_m_le_0.3,conditional_matched_reference_only,baseline_correspondence_conditioned,auxiliary_only,,not_applicable_incapable,height_or_outline
DEBY_LOD2_4906973,surface,extension,56,cell_1_assembled,532,4554,268,770,264,497,true,1423,55263,582,1541,582,1205,true,2,roof_and_ground,cell_1_assembled,2,1010,1702,697,846,1707,697,0.0783078131234,0.203337239761,0.139557211219,0.35,0.593419506463,0.823877068558,0.593419506463,0.35,0.0949538272972,0.208018727571,0.145699842985,0.35,0.0705156347656,0.202132322183,0.137795044625,0.35,4,true,0.088078492423,171,841,2,1059,1702,721,846,1780,721,0.0750532431471,0.178465372299,0.11276085493,0.35,0.622209165687,0.852245862884,0.622209165687,0.35,0.0800953570916,0.214999106889,0.127871304691,0.35,0.0735778820028,0.164325120265,0.105111850767,0.35,4,true,0.0727171615653,178,768,-0.00325456997629,-0.0248718674617,-0.0267963562887,0,24,0.0287896592244,0,40,true,true,diagnostic_global_candidate_not_adopted,matched_median_m_le_0.3,conditional_matched_reference_only,baseline_correspondence_conditioned,auxiliary_only,false,capable_not_low_support,surface
DEBY_LOD2_4908169,height,extension,57,cell_2_anchored,166,0,65,0,64,0,false,1211,8725,666,724,664,713,true,1,one_surface,cell_2_anchored,1,285,713,239,664,524,239,0.122294793537,0.241585144589,0.35,0.35,0.399719495091,0.359939759036,0.359939759036,0.35,,,,,0.122294793537,0.241585144589,0.35,0.35,2,false,0.122213482323,53,853,1,347,713,277,664,624,277,0.0560218385372,0.218487836268,0.35,0.35,0.48667601683,0.417168674699,0.417168674699,0.35,,,,,0.0560218385372,0.218487836268,0.35,0.35,2,false,0.0582202646642,63,753,-0.0662729549997,-0.0230973083209,0,0,38,0.0572289156627,0,40,true,true,diagnostic_global_candidate_not_adopted,matched_median_m_le_0.3,conditional_matched_reference_only,baseline_correspondence_conditioned,auxiliary_only,false,capable_not_low_support,height_or_outline
DEBY_LOD2_4907029,outline,extension,58,cell_3_outline_only,6334,0,2500,0,2478,0,false,7114,0,2500,0,2497,0,false,0,no_usable_surface,cell_3_outline_only,0,0,0,0,0,0,0,,,,,,,,0.35,,,,,,,,,0,false,,0,0,0,0,0,0,0,0,0,,,,,,,,0.35,,,,,,,,,0,false,,0,0,,,,,0,,0,40,false,false,diagnostic_global_candidate_not_adopted,matched_median_m_le_0.3,conditional_matched_reference_only,baseline_correspondence_conditioned,auxiliary_only,,not_applicable_incapable,height_or_outline
DEBY_LOD2_4906974,surface,extension,59,cell_1_assembled,5002,41692,1941,2500,1937,2321,true,5133,115173,2248,2500,2248,2054,true,2,roof_and_ground,cell_1_assembled,2,2814,4375,2844,4185,5658,2814,0.0460908082342,0.173901687323,0.102539741769,0.35,0.6432,0.679569892473,0.6432,0.35,0.0379432559187,0.160579989535,0.046847557034,0.35,0.0684075585384,0.198576857443,0.35,0.35,4,true,0.0526809039634,566,2902,2,2937,4375,2892,4185,5829,2892,0.0876530182272,0.169008932868,0.122465617337,0.35,0.671314285714,0.691039426523,0.671314285714,0.35,0.0915912570089,0.160383095719,0.100799765607,0.35,0.0776122710919,0.193863533512,0.35,0.35,4,true,0.0848268292374,583,2731,0.041562209993,-0.00489275445497,0.0199258755684,0,78,0.0281142857143,0,40,true,true,diagnostic_global_candidate_not_adopted,matched_median_m_le_0.3,conditional_matched_reference_only,baseline_correspondence_conditioned,auxiliary_only,false,capable_not_low_support,surface
