row_type,source_population,state,building_id,population_role,tier,surface,direction,tail_kind,capture_block,proxy_category,count,exposure_n,tail_rate_per_source_observation,share_within_population_state_tail_kind,share_within_population_state_direction_tail_kind,block_concentration_eligible,reverse_block_duplication_caveat,tail_threshold,censored_value_is_measurement,block_group_used,observation_views,moving_points_after_normal_filter
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_42364657,trigger,surface,ground,als_to_photo,unmatched_censored_at_0p35m,capture_block_02,above_ground_vegetation_or_moving_clutter_proxy,18,1605,0.011214953271,0.000120193110264,0.000173286866781,false,true,unmatched_censored_at_0.35m,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_42364657,trigger,surface,ground,als_to_photo,unmatched_censored_at_0p35m,capture_block_02,ground_class2_proxy,1289,1605,0.803115264798,0.00860716217389,0.0124092650711,false,true,unmatched_censored_at_0.35m,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_42364657,trigger,surface,ground,photo_to_als,matched_above_building_state_p90,capture_block_02,ground_class2_proxy,25,176,0.142045454545,0.00167425663006,0.00354358610914,true,false,building_state_measured_matched_p90_strictly_exceeded,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_42364657,trigger,surface,ground,photo_to_als,unmatched_censored_at_0p35m,capture_block_02,above_ground_vegetation_or_moving_clutter_proxy,13,176,0.0738636363636,8.68061351905e-05,0.000283316988122,true,false,unmatched_censored_at_0.35m,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_42364657,trigger,surface,ground,photo_to_als,unmatched_censored_at_0p35m,capture_block_02,ground_class2_proxy,9,176,0.0511363636364,6.00965551319e-05,0.000196142530239,true,false,unmatched_censored_at_0.35m,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_42364657,trigger,surface,roof,als_to_photo,matched_above_building_state_p90,capture_block_02,roof_edge_or_facade_proxy,9,540,0.0166666666667,0.00060273238682,0.00114256696712,false,true,building_state_measured_matched_p90_strictly_exceeded,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_42364657,trigger,surface,roof,als_to_photo,matched_above_building_state_p90,capture_block_02,roof_interior_class6_proxy,4,540,0.00740740740741,0.000267881060809,0.000507807540942,false,true,building_state_measured_matched_p90_strictly_exceeded,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_42364657,trigger,surface,roof,als_to_photo,unmatched_censored_at_0p35m,capture_block_02,roof_edge_or_facade_proxy,60,540,0.111111111111,0.000400643700879,0.00057762288927,false,true,unmatched_censored_at_0.35m,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_42364657,trigger,surface,roof,als_to_photo,unmatched_censored_at_0p35m,capture_block_02,roof_interior_class6_proxy,182,540,0.337037037037,0.00121528589267,0.00175212276412,false,true,unmatched_censored_at_0.35m,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_42364657,trigger,surface,roof,photo_to_als,matched_above_building_state_p90,capture_block_02,roof_edge_or_facade_proxy,1,146,0.00684931506849,6.69702652023e-05,0.000141743444366,true,false,building_state_measured_matched_p90_strictly_exceeded,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_42364657,trigger,surface,roof,photo_to_als,matched_above_building_state_p90,capture_block_02,roof_interior_class6_proxy,2,146,0.013698630137,0.000133940530405,0.000283486888731,true,false,building_state_measured_matched_p90_strictly_exceeded,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_42364657,trigger,surface,roof,photo_to_als,unmatched_censored_at_0p35m,capture_block_02,roof_edge_or_facade_proxy,1,146,0.00684931506849,6.67739501466e-06,2.1793614471e-05,true,false,unmatched_censored_at_0.35m,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_42364657,trigger,surface,roof,photo_to_als,unmatched_censored_at_0p35m,capture_block_02,roof_interior_class6_proxy,1,146,0.00684931506849,6.67739501466e-06,2.1793614471e-05,true,false,unmatched_censored_at_0.35m,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_42364665,fit,surface,ground,als_to_photo,matched_above_building_state_p90,capture_block_01,ground_class2_proxy,53,1223,0.0433360588716,0.00354942405572,0.00672844991748,false,true,building_state_measured_matched_p90_strictly_exceeded,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_42364665,fit,surface,ground,als_to_photo,matched_above_building_state_p90,capture_block_03,ground_class2_proxy,39,1223,0.0318887980376,0.00261184034289,0.00495112352418,false,true,building_state_measured_matched_p90_strictly_exceeded,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_42364665,fit,surface,ground,als_to_photo,unmatched_censored_at_0p35m,capture_block_01,above_ground_vegetation_or_moving_clutter_proxy,73,1223,0.0596892886345,0.00048744983607,0.000702774515278,false,true,unmatched_censored_at_0.35m,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_42364665,fit,surface,ground,als_to_photo,unmatched_censored_at_0p35m,capture_block_01,ground_class2_proxy,664,1223,0.542927228128,0.00443379028973,0.00639235997458,false,true,unmatched_censored_at_0.35m,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_42364665,fit,surface,ground,als_to_photo,unmatched_censored_at_0p35m,capture_block_03,above_ground_vegetation_or_moving_clutter_proxy,33,1223,0.0269828291087,0.000220354035484,0.000317692589098,false,true,unmatched_censored_at_0.35m,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_42364665,fit,surface,ground,als_to_photo,unmatched_censored_at_0p35m,capture_block_03,below_ground_or_occlusion_proxy,1,1223,0.000817661488144,6.67739501466e-06,9.62704815449e-06,false,true,unmatched_censored_at_0.35m,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_42364665,fit,surface,ground,als_to_photo,unmatched_censored_at_0p35m,capture_block_03,ground_class2_proxy,507,1223,0.414554374489,0.00338543927243,0.00488091341433,false,true,unmatched_censored_at_0.35m,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_42364665,fit,surface,ground,photo_to_als,matched_above_building_state_p90,capture_block_01,ground_class2_proxy,34,516,0.0658914728682,0.00227698901688,0.00481927710843,true,false,building_state_measured_matched_p90_strictly_exceeded,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_42364665,fit,surface,ground,photo_to_als,matched_above_building_state_p90,capture_block_03,ground_class2_proxy,47,1102,0.0426497277677,0.00314760246451,0.00666194188519,true,false,building_state_measured_matched_p90_strictly_exceeded,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_42364665,fit,surface,ground,photo_to_als,unmatched_censored_at_0p35m,capture_block_01,above_ground_vegetation_or_moving_clutter_proxy,64,516,0.124031007752,0.000427353280938,0.00139479132614,true,false,unmatched_censored_at_0.35m,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_42364665,fit,surface,ground,photo_to_als,unmatched_censored_at_0p35m,capture_block_01,below_ground_or_occlusion_proxy,5,516,0.00968992248062,3.33869750733e-05,0.000108968072355,true,false,unmatched_censored_at_0.35m,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_42364665,fit,surface,ground,photo_to_als,unmatched_censored_at_0p35m,capture_block_01,ground_class2_proxy,139,516,0.269379844961,0.000928157907037,0.00302931241146,true,false,unmatched_censored_at_0.35m,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_42364665,fit,surface,ground,photo_to_als,unmatched_censored_at_0p35m,capture_block_03,above_ground_vegetation_or_moving_clutter_proxy,321,1102,0.291288566243,0.0021434437997,0.00699575024518,true,false,unmatched_censored_at_0.35m,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_42364665,fit,surface,ground,photo_to_als,unmatched_censored_at_0p35m,capture_block_03,below_ground_or_occlusion_proxy,5,1102,0.00453720508167,3.33869750733e-05,0.000108968072355,true,false,unmatched_censored_at_0.35m,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_42364665,fit,surface,ground,photo_to_als,unmatched_censored_at_0p35m,capture_block_03,ground_class2_proxy,226,1102,0.205081669691,0.00150909127331,0.00492535687044,true,false,unmatched_censored_at_0.35m,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_42364665,fit,surface,roof,als_to_photo,matched_above_building_state_p90,capture_block_01,roof_edge_or_facade_proxy,14,348,0.0402298850575,0.000937583712832,0.0017773263933,false,true,building_state_measured_matched_p90_strictly_exceeded,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_42364665,fit,surface,roof,als_to_photo,matched_above_building_state_p90,capture_block_03,roof_edge_or_facade_proxy,42,348,0.120689655172,0.00281275113849,0.00533197917989,false,true,building_state_measured_matched_p90_strictly_exceeded,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_42364665,fit,surface,roof,als_to_photo,unmatched_censored_at_0p35m,capture_block_01,roof_edge_or_facade_proxy,201,348,0.577586206897,0.00134215639795,0.00193503667905,false,true,unmatched_censored_at_0.35m,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_42364665,fit,surface,roof,als_to_photo,unmatched_censored_at_0p35m,capture_block_03,roof_edge_or_facade_proxy,89,348,0.255747126437,0.000594288156304,0.00085680728575,false,true,unmatched_censored_at_0.35m,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_42364665,fit,surface,roof,photo_to_als,matched_above_building_state_p90,capture_block_01,roof_edge_or_facade_proxy,8,99,0.0808080808081,0.000535762121618,0.00113394755493,true,false,building_state_measured_matched_p90_strictly_exceeded,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_42364665,fit,surface,roof,photo_to_als,matched_above_building_state_p90,capture_block_03,roof_edge_or_facade_proxy,42,294,0.142857142857,0.00281275113849,0.00595322466336,true,false,building_state_measured_matched_p90_strictly_exceeded,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_42364665,fit,surface,roof,photo_to_als,unmatched_censored_at_0p35m,capture_block_01,roof_edge_or_facade_proxy,2,99,0.020202020202,1.33547900293e-05,4.35872289419e-05,true,false,unmatched_censored_at_0.35m,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_42364665,fit,surface,roof,photo_to_als,unmatched_censored_at_0p35m,capture_block_03,roof_edge_or_facade_proxy,33,294,0.112244897959,0.000220354035484,0.000719189277542,true,false,unmatched_censored_at_0.35m,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_4906969,fit,surface,ground,als_to_photo,matched_above_building_state_p90,capture_block_01,ground_class2_proxy,21,1770,0.0118644067797,0.00140637556925,0.00266598958995,false,true,building_state_measured_matched_p90_strictly_exceeded,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_4906969,fit,surface,ground,als_to_photo,matched_above_building_state_p90,capture_block_03,ground_class2_proxy,7,1770,0.00395480225989,0.000468791856416,0.000888663196648,false,true,building_state_measured_matched_p90_strictly_exceeded,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_4906969,fit,surface,ground,als_to_photo,unmatched_censored_at_0p35m,capture_block_01,above_ground_vegetation_or_moving_clutter_proxy,149,1770,0.0841807909605,0.000994931857184,0.00143443017502,false,true,unmatched_censored_at_0.35m,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_4906969,fit,surface,ground,als_to_photo,unmatched_censored_at_0p35m,capture_block_01,below_ground_or_occlusion_proxy,4,1770,0.00225988700565,2.67095800586e-05,3.8508192618e-05,false,true,unmatched_censored_at_0.35m,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_4906969,fit,surface,ground,als_to_photo,unmatched_censored_at_0p35m,capture_block_01,ground_class2_proxy,1201,1770,0.678531073446,0.0080195514126,0.0115620848335,false,true,unmatched_censored_at_0.35m,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_4906969,fit,surface,ground,als_to_photo,unmatched_censored_at_0p35m,capture_block_03,above_ground_vegetation_or_moving_clutter_proxy,179,1770,0.101129943503,0.00119525370762,0.00172324161965,false,true,unmatched_censored_at_0.35m,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_4906969,fit,surface,ground,als_to_photo,unmatched_censored_at_0p35m,capture_block_03,below_ground_or_occlusion_proxy,43,1770,0.0242937853107,0.00028712798563,0.000413963070643,false,true,unmatched_censored_at_0.35m,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_4906969,fit,surface,ground,als_to_photo,unmatched_censored_at_0p35m,capture_block_03,ground_class2_proxy,1362,1770,0.769491525424,0.00909461200996,0.0131120395864,false,true,unmatched_censored_at_0.35m,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_4906969,fit,surface,ground,photo_to_als,matched_above_building_state_p90,capture_block_01,ground_class2_proxy,14,282,0.0496453900709,0.000937583712832,0.00198440822112,true,false,building_state_measured_matched_p90_strictly_exceeded,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_4906969,fit,surface,ground,photo_to_als,matched_above_building_state_p90,capture_block_03,ground_class2_proxy,5,181,0.0276243093923,0.000334851326011,0.000708717221828,true,false,building_state_measured_matched_p90_strictly_exceeded,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_4906969,fit,surface,ground,photo_to_als,unmatched_censored_at_0p35m,capture_block_01,above_ground_vegetation_or_moving_clutter_proxy,35,282,0.124113475177,0.000233708825513,0.000762776506484,true,false,unmatched_censored_at_0.35m,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_4906969,fit,surface,ground,photo_to_als,unmatched_censored_at_0p35m,capture_block_01,ground_class2_proxy,13,282,0.0460992907801,8.68061351905e-05,0.000283316988122,true,false,unmatched_censored_at_0.35m,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_4906969,fit,surface,ground,photo_to_als,unmatched_censored_at_0p35m,capture_block_03,above_ground_vegetation_or_moving_clutter_proxy,33,181,0.182320441989,0.000220354035484,0.000719189277542,true,false,unmatched_censored_at_0.35m,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_4906969,fit,surface,ground,photo_to_als,unmatched_censored_at_0p35m,capture_block_03,ground_class2_proxy,20,181,0.110497237569,0.000133547900293,0.000435872289419,true,false,unmatched_censored_at_0.35m,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_4906969,fit,surface,roof,als_to_photo,matched_above_building_state_p90,capture_block_01,roof_edge_or_facade_proxy,14,1239,0.0112994350282,0.000937583712832,0.0017773263933,false,true,building_state_measured_matched_p90_strictly_exceeded,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_4906969,fit,surface,roof,als_to_photo,matched_above_building_state_p90,capture_block_01,roof_interior_class6_proxy,70,1239,0.0564971751412,0.00468791856416,0.00888663196648,false,true,building_state_measured_matched_p90_strictly_exceeded,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_4906969,fit,surface,roof,als_to_photo,matched_above_building_state_p90,capture_block_03,roof_edge_or_facade_proxy,7,1239,0.00564971751412,0.000468791856416,0.000888663196648,false,true,building_state_measured_matched_p90_strictly_exceeded,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_4906969,fit,surface,roof,als_to_photo,matched_above_building_state_p90,capture_block_03,roof_interior_class6_proxy,40,1239,0.0322841000807,0.00267881060809,0.00507807540942,false,true,building_state_measured_matched_p90_strictly_exceeded,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_4906969,fit,surface,roof,als_to_photo,unmatched_censored_at_0p35m,capture_block_01,roof_edge_or_facade_proxy,71,1239,0.0573042776433,0.000474095046041,0.000683520418969,false,true,unmatched_censored_at_0.35m,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_4906969,fit,surface,roof,als_to_photo,unmatched_censored_at_0p35m,capture_block_01,roof_interior_class6_proxy,507,1239,0.409200968523,0.00338543927243,0.00488091341433,false,true,unmatched_censored_at_0.35m,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_4906969,fit,surface,roof,als_to_photo,unmatched_censored_at_0p35m,capture_block_03,roof_edge_or_facade_proxy,142,1239,0.114608555287,0.000948190092081,0.00136704083794,false,true,unmatched_censored_at_0.35m,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_4906969,fit,surface,roof,als_to_photo,unmatched_censored_at_0p35m,capture_block_03,roof_interior_class6_proxy,736,1239,0.594027441485,0.00491456273079,0.00708550744171,false,true,unmatched_censored_at_0.35m,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_4906969,fit,surface,roof,photo_to_als,matched_above_building_state_p90,capture_block_01,roof_edge_or_facade_proxy,10,678,0.0147492625369,0.000669702652023,0.00141743444366,true,false,building_state_measured_matched_p90_strictly_exceeded,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_4906969,fit,surface,roof,photo_to_als,matched_above_building_state_p90,capture_block_01,roof_interior_class6_proxy,46,678,0.0678466076696,0.0030806321993,0.00652019844082,true,false,building_state_measured_matched_p90_strictly_exceeded,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_4906969,fit,surface,roof,photo_to_als,matched_above_building_state_p90,capture_block_03,roof_edge_or_facade_proxy,5,656,0.00762195121951,0.000334851326011,0.000708717221828,true,false,building_state_measured_matched_p90_strictly_exceeded,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_4906969,fit,surface,roof,photo_to_als,matched_above_building_state_p90,capture_block_03,roof_interior_class6_proxy,36,656,0.0548780487805,0.00241092954728,0.00510276399717,true,false,building_state_measured_matched_p90_strictly_exceeded,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_4906969,fit,surface,roof,photo_to_als,unmatched_censored_at_0p35m,capture_block_01,roof_edge_or_facade_proxy,24,678,0.0353982300885,0.000160257480352,0.000523046747303,true,false,unmatched_censored_at_0.35m,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_4906969,fit,surface,roof,photo_to_als,unmatched_censored_at_0p35m,capture_block_01,roof_interior_class6_proxy,174,678,0.256637168142,0.00116186673255,0.00379208891795,true,false,unmatched_censored_at_0.35m,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_4906969,fit,surface,roof,photo_to_als,unmatched_censored_at_0p35m,capture_block_03,roof_edge_or_facade_proxy,29,656,0.0442073170732,0.000193644455425,0.000632014819658,true,false,unmatched_censored_at_0.35m,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_4906969,fit,surface,roof,photo_to_als,unmatched_censored_at_0p35m,capture_block_03,roof_interior_class6_proxy,347,656,0.528963414634,0.00231705607009,0.00756238422142,true,false,unmatched_censored_at_0.35m,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_4906974,trigger,surface,ground,als_to_photo,matched_above_building_state_p90,capture_block_01,ground_class2_proxy,141,2248,0.0627224199288,0.00944280739352,0.0179002158182,false,true,building_state_measured_matched_p90_strictly_exceeded,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_4906974,trigger,surface,ground,als_to_photo,matched_above_building_state_p90,capture_block_03,ground_class2_proxy,59,2248,0.0262455516014,0.00395124564693,0.00749016122889,false,true,building_state_measured_matched_p90_strictly_exceeded,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_4906974,trigger,surface,ground,als_to_photo,unmatched_censored_at_0p35m,capture_block_01,above_ground_vegetation_or_moving_clutter_proxy,157,2248,0.0698398576512,0.0010483510173,0.00151144656026,false,true,unmatched_censored_at_0.35m,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_4906974,trigger,surface,ground,als_to_photo,unmatched_censored_at_0p35m,capture_block_01,below_ground_or_occlusion_proxy,1,2248,0.000444839857651,6.67739501466e-06,9.62704815449e-06,false,true,unmatched_censored_at_0.35m,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_4906974,trigger,surface,ground,als_to_photo,unmatched_censored_at_0p35m,capture_block_01,ground_class2_proxy,1286,2248,0.57206405694,0.00858712998885,0.0123803839267,false,true,unmatched_censored_at_0.35m,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_4906974,trigger,surface,ground,als_to_photo,unmatched_censored_at_0p35m,capture_block_03,above_ground_vegetation_or_moving_clutter_proxy,81,2248,0.0360320284698,0.000540868996187,0.000779790900514,false,true,unmatched_censored_at_0.35m,false,,,
proxy_category_detail,per_view_stride16_lock2_fit_trigger,after,DEBY_LOD2_4906974,trigger,surface,ground,als_to_photo,unmatched_censored_at_0p35m,capture_block_03,below_ground_or_occlusion_proxy,68,2248,0.0302491103203,0.000454062860997,0.000654639274506,false,true,unmatched_censored_at_0.35m,false,,,
