input,building_id,status,reason,rf_success,rf_extrusion_mode,rf_pointcloud_unusable,rf_roof_type,rf_pt_density,rf_nodata_frac,rf_rmse_lod22,rf_roof_planes,has_lod22,val3dity_valid,val3dity_errors
raw-sparse,DEBY_LOD2_104583447,failure,pointcloud_unusable_no_points,True,skip,True,no points,0.000000,1.000000,,0,False,True,[]
raw-sparse,DEBY_LOD2_104583794,failure,pointcloud_unusable_no_points,True,skip,True,no points,0.000000,1.000000,,0,False,True,[]
raw-sparse,DEBY_LOD2_104586480,success,success,True,standard,False,horizontal,13.000000,0.724138,8.966720,1,True,True,[]
raw-sparse,DEBY_LOD2_107802038,failure,pointcloud_unusable_no_points,True,skip,True,no points,0.000000,1.000000,,0,False,True,[]
raw-sparse,DEBY_LOD2_107807336,failure,pointcloud_unusable_no_points,True,skip,True,no points,0.000000,1.000000,,0,False,True,[]
raw-sparse,DEBY_LOD2_108246888,failure,pointcloud_unusable_no_points,True,skip,True,no points,6.000000,0.892857,,0,False,True,[]
raw-sparse,DEBY_LOD2_108247349,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.997512,,0,False,True,[]
raw-sparse,DEBY_LOD2_108247350,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.979167,,0,False,True,[]
raw-sparse,DEBY_LOD2_108247351,failure,pointcloud_unusable_no_points,True,skip,True,no points,0.000000,1.000000,,0,False,True,[]
raw-sparse,DEBY_LOD2_108247714,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.956204,,0,False,True,[]
raw-sparse,DEBY_LOD2_108250120,failure,pointcloud_unusable_no_points,True,skip,True,no points,5.714286,0.962766,,0,False,True,[]
raw-sparse,DEBY_LOD2_108580335,success,success,True,standard,False,slanted,6.608880,0.768308,4.303247,9,True,True,[]
raw-sparse,DEBY_LOD2_108580336,failure,val3dity_invalid,True,standard,False,slanted,8.577834,0.586458,7.175083,58,True,False,"[{""code"":104,""description"":""RING_SELF_INTERSECTION"",""id"":""coid=DEBY_LOD2_108580336-0|geom=0|shell=0|face=145"",""info"":""ring self-intersects or is collapsed to a line""}]"
raw-sparse,DEBY_LOD2_42364607,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.997230,,0,False,True,[]
raw-sparse,DEBY_LOD2_42364609,failure,pointcloud_unusable_no_points,True,skip,True,no points,0.000000,1.000000,,0,False,True,[]
raw-sparse,DEBY_LOD2_42364657,success,success,True,standard,False,horizontal,4.117647,0.920746,0.404672,1,True,True,[]
raw-sparse,DEBY_LOD2_42364659,failure,missing_lod22_geometry,True,standard,False,slanted,8.066667,0.772727,0.000000,1,False,True,[]
raw-sparse,DEBY_LOD2_42364661,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.974576,,0,False,True,[]
raw-sparse,DEBY_LOD2_42364663,failure,pointcloud_unusable_no_planes,True,skip,True,no planes,22.531645,0.065089,,0,False,True,[]
raw-sparse,DEBY_LOD2_42364665,success,success,True,standard,False,multiple horizontal,10.643478,0.419192,4.214192,2,True,True,[]
raw-sparse,DEBY_LOD2_42364667,success,success,True,standard,False,slanted,16.761906,0.311475,4.879312,5,True,True,[]
raw-sparse,DEBY_LOD2_4906965,success,success,True,standard,False,slanted,18.918211,0.418232,6.049688,52,True,True,[]
raw-sparse,DEBY_LOD2_4906966,success,success,True,standard,False,slanted,18.226879,0.236389,4.545906,22,True,True,[]
