view_idx,image_name,roof_pixels,mvs_depth_valid_roof_pixels,mvs_depth_valid_roof_frac,mvs_depth_valid_all_frac
0,DJI_20241217084553_0100_D.JPG,61262,25782,0.42084816036041917,0.5960144927536232
1,DJI_20241217084555_0101_D.JPG,73351,29613,0.40371637741816746,0.5842675842675843
2,DJI_20241217084557_0102_D.JPG,81557,31871,0.390781907132435,0.5747268638875189
3,DJI_20241217084559_0103_D.JPG,84748,50713,0.5983976023032992,0.779088
4,DJI_20241217084601_0104_D.JPG,99719,82757,0.8299020246893771,0.7752727272727272
5,DJI_20241217084603_0105_D.JPG,144386,117845,0.8161802390813514,0.7783335491668825
6,DJI_20241217084605_0106_D.JPG,184105,143743,0.7807664104722848,0.7658732307692308
7,DJI_20241217084607_0107_D.JPG,192260,149289,0.7764953708519713,0.7817681634371101
8,DJI_20241217084609_0108_D.JPG,158931,137844,0.8673197802820092,0.8586086154013192
9,DJI_20241217084611_0109_D.JPG,109116,99180,0.908940943582976,0.8827714994043594
10,DJI_20241217084613_0110_D.JPG,89170,84576,0.9484804306381069,0.8912724254612782
11,DJI_20241217084615_0111_D.JPG,74034,73625,0.9944755112515871,0.9938808497536946
12,DJI_20241217084617_0112_D.JPG,37518,37250,0.9928567620875313,0.9582475742428698
13,DJI_20241217084619_0113_D.JPG,29535,29451,0.9971559167089893,0.9971791649211004
14,DJI_20241217084621_0114_D.JPG,30494,30447,0.9984587131894799,0.99875106292517
15,DJI_20241217084623_0115_D.JPG,24365,24209,0.9935973732813462,0.9942157953281424
16,DJI_20241217084639_0123_D.JPG,25186,25166,0.9992059080441515,0.9932742416818849
17,DJI_20241217084643_0125_D.JPG,11397,11397,1.0,0.9785513756316676
18,DJI_20241217084645_0126_D.JPG,777,777,1.0,0.9556960730145088
19,DJI_20241217084647_0127_D.JPG,28551,28549,0.9999299499141886,0.9880667918302327
20,DJI_20241217084649_0128_D.JPG,125853,125622,0.9981645252794927,0.9935963354211461
21,DJI_20241217084651_0129_D.JPG,203118,201946,0.9942299550015262,0.9944044063871282
22,DJI_20241217084653_0130_D.JPG,213081,211732,0.9936690742018294,0.9927125647849839
23,DJI_20241217084655_0131_D.JPG,211229,210012,0.9942384805116722,0.993484268707483
24,DJI_20241217084657_0132_D.JPG,228767,228077,0.9969838307098489,0.9903346000327222
25,DJI_20241217084659_0133_D.JPG,257791,257535,0.9990069474884693,0.9970516620380094
26,DJI_20241217084701_0134_D.JPG,276598,275613,0.99643887519071,0.9918906115417744
27,DJI_20241217084703_0135_D.JPG,280603,279163,0.994868194566701,0.9869510064120842
28,DJI_20241217084705_0136_D.JPG,353846,345972,0.9777473816292963,0.9705192994685022
29,DJI_20241217084707_0137_D.JPG,337654,333643,0.9881209759102513,0.9796549352795678
30,DJI_20241217084709_0138_D.JPG,363347,344759,0.9488422912532648,0.9605763659384523
31,DJI_20241217084711_0139_D.JPG,382309,339276,0.8874392180147472,0.9278509807287867
32,DJI_20241217084713_0140_D.JPG,377103,324552,0.8606455000357992,0.9202736869673832
33,DJI_20241217084715_0141_D.JPG,378894,319511,0.843272788695519,0.9098399814753878
34,DJI_20241217084717_0142_D.JPG,392741,316089,0.8048281182764213,0.8882186537981529
35,DJI_20241217084719_0143_D.JPG,246061,214322,0.8710116597103971,0.939605793379081
36,DJI_20241217084721_0144_D.JPG,273634,249516,0.9118603682290943,0.9551477846814935
37,DJI_20241217084723_0145_D.JPG,274748,257031,0.9355154541616317,0.9632430600919419
38,DJI_20241217084725_0146_D.JPG,178342,178220,0.9993159210954234,0.9922189647170687
39,DJI_20241217084727_0147_D.JPG,174435,173876,0.9967953679020839,0.9921976592977894
40,DJI_20241217084729_0148_D.JPG,164603,164114,0.9970292157494092,0.9921353364149974
41,DJI_20241217084731_0149_D.JPG,127982,126836,0.9910456157897204,0.9923589771729587
42,DJI_20241217084733_0150_D.JPG,114640,113267,0.9880233775296581,0.9896787838730998
43,DJI_20241217084735_0151_D.JPG,96622,95815,0.9916478648754942,0.9811303702269133
44,DJI_20241217084737_0152_D.JPG,58336,50556,0.8666346681294569,0.8836106953127293
45,DJI_20241217084739_0153_D.JPG,37239,31898,0.8565750960015038,0.8710595891803945
