bid,comparison,metric,baseline_rendered,mutual_rendered,baseline_primitive,mutual_primitive,delta,winner
B0,E1_Baseline_rendered_vs_E2_Mutual_rendered,roof_cov,,0.7703333333333333,,,,TIE_OR_NA
B0,E1_Baseline_rendered_vs_E2_Mutual_rendered,wall_cov,,0.9676666666666667,,,,TIE_OR_NA
B0,E1_Baseline_rendered_vs_E2_Mutual_rendered,ground_cov,,1.0,,,,TIE_OR_NA
B0,E1_Baseline_rendered_vs_E2_Mutual_rendered,semantic_face_acc,,0.928,,,,TIE_OR_NA
B0,E1_Baseline_rendered_vs_E2_Mutual_rendered,F,,0.9603541287057121,,,,TIE_OR_NA
B0,E1_Baseline_rendered_vs_E2_Mutual_rendered,precision,,0.9526666666666667,,,,TIE_OR_NA
B0,E1_Baseline_rendered_vs_E2_Mutual_rendered,recall,,0.9681666666666666,,,,TIE_OR_NA
B0,E1_Baseline_rendered_vs_E2_Mutual_rendered,h_err,,0.5267500991966507,,,,TIE_OR_NA
B0,E1_Baseline_rendered_vs_E2_Mutual_rendered,vol_ratio,,1.1011846202996374,,,,TIE_OR_NA
B0,E1_Baseline_rendered_vs_E2_Mutual_rendered,edge_ok,,1.0,,,,TIE_OR_NA
B0,E1_Baseline_rendered_vs_E2_Mutual_rendered,open_edges,,0.0,,,,TIE_OR_NA
B0,E1_Baseline_rendered_vs_E2_Mutual_rendered,nonmanifold_edges,,0.0,,,,TIE_OR_NA
B0,E3_Baseline_primitive_vs_E4_Mutual_primitive,roof_cov,,,0.23333333333333334,0.4593333333333333,0.22599999999999998,E4_Mutual_primitive
B0,E3_Baseline_primitive_vs_E4_Mutual_primitive,wall_cov,,,0.9476666666666667,0.9603333333333334,0.012666666666666715,E4_Mutual_primitive
B0,E3_Baseline_primitive_vs_E4_Mutual_primitive,ground_cov,,,0.9983333333333333,0.0,-0.9983333333333333,E3_Baseline_primitive
B0,E3_Baseline_primitive_vs_E4_Mutual_primitive,semantic_face_acc,,,0.9123333333333333,0.901,-0.011333333333333306,E3_Baseline_primitive
B0,E3_Baseline_primitive_vs_E4_Mutual_primitive,F,,,0.8660439592150827,0.8272475739565494,-0.03879638525853335,E3_Baseline_primitive
B0,E3_Baseline_primitive_vs_E4_Mutual_primitive,precision,,,0.8821666666666667,0.8258333333333333,-0.056333333333333346,E3_Baseline_primitive
B0,E3_Baseline_primitive_vs_E4_Mutual_primitive,recall,,,0.8505,0.8286666666666667,-0.02183333333333337,E3_Baseline_primitive
B0,E3_Baseline_primitive_vs_E4_Mutual_primitive,h_err,,,0.39044701820446903,0.5865344131450563,0.19608739494058725,E3_Baseline_primitive
B0,E3_Baseline_primitive_vs_E4_Mutual_primitive,vol_ratio,,,1.4066989261640739,2.0156338278746992,0.6089349017106254,E4_Mutual_primitive
B0,E3_Baseline_primitive_vs_E4_Mutual_primitive,edge_ok,,,1.0,1.0,0.0,TIE_OR_NA
B0,E3_Baseline_primitive_vs_E4_Mutual_primitive,open_edges,,,0.0,0.0,0.0,TIE
B0,E3_Baseline_primitive_vs_E4_Mutual_primitive,nonmanifold_edges,,,0.0,0.0,0.0,TIE
B1,E1_Baseline_rendered_vs_E2_Mutual_rendered,roof_cov,,0.8013333333333333,,,,TIE_OR_NA
B1,E1_Baseline_rendered_vs_E2_Mutual_rendered,wall_cov,,0.917,,,,TIE_OR_NA
B1,E1_Baseline_rendered_vs_E2_Mutual_rendered,ground_cov,,0.9653333333333334,,,,TIE_OR_NA
B1,E1_Baseline_rendered_vs_E2_Mutual_rendered,semantic_face_acc,,0.9625,,,,TIE_OR_NA
B1,E1_Baseline_rendered_vs_E2_Mutual_rendered,F,,0.9152138759901667,,,,TIE_OR_NA
B1,E1_Baseline_rendered_vs_E2_Mutual_rendered,precision,,0.921,,,,TIE_OR_NA
B1,E1_Baseline_rendered_vs_E2_Mutual_rendered,recall,,0.9095,,,,TIE_OR_NA
B1,E1_Baseline_rendered_vs_E2_Mutual_rendered,h_err,,0.32589166941419023,,,,TIE_OR_NA
B1,E1_Baseline_rendered_vs_E2_Mutual_rendered,vol_ratio,,0.8318257428614786,,,,TIE_OR_NA
B1,E1_Baseline_rendered_vs_E2_Mutual_rendered,edge_ok,,1.0,,,,TIE_OR_NA
B1,E1_Baseline_rendered_vs_E2_Mutual_rendered,open_edges,,0.0,,,,TIE_OR_NA
B1,E1_Baseline_rendered_vs_E2_Mutual_rendered,nonmanifold_edges,,0.0,,,,TIE_OR_NA
B1,E3_Baseline_primitive_vs_E4_Mutual_primitive,roof_cov,,,0.298,0.4776666666666667,0.1796666666666667,E4_Mutual_primitive
B1,E3_Baseline_primitive_vs_E4_Mutual_primitive,wall_cov,,,0.8933333333333333,0.8913333333333333,-0.0020000000000000018,E3_Baseline_primitive
B1,E3_Baseline_primitive_vs_E4_Mutual_primitive,ground_cov,,,0.0,0.0,0.0,TIE_OR_NA
B1,E3_Baseline_primitive_vs_E4_Mutual_primitive,semantic_face_acc,,,0.8948333333333334,0.9083333333333333,0.013499999999999956,E4_Mutual_primitive
B1,E3_Baseline_primitive_vs_E4_Mutual_primitive,F,,,0.7694956320843259,0.7890801562995036,0.019584524215177646,E4_Mutual_primitive
B1,E3_Baseline_primitive_vs_E4_Mutual_primitive,precision,,,0.7713333333333333,0.7875,0.016166666666666663,E4_Mutual_primitive
B1,E3_Baseline_primitive_vs_E4_Mutual_primitive,recall,,,0.7676666666666667,0.7906666666666666,0.02299999999999991,E4_Mutual_primitive
B1,E3_Baseline_primitive_vs_E4_Mutual_primitive,h_err,,,0.5973087174153449,0.5632176605880943,-0.034091056827250554,E4_Mutual_primitive
B1,E3_Baseline_primitive_vs_E4_Mutual_primitive,vol_ratio,,,0.7117182528525458,0.9503017829414001,0.23858353008885436,E4_Mutual_primitive
B1,E3_Baseline_primitive_vs_E4_Mutual_primitive,edge_ok,,,1.0,1.0,0.0,TIE_OR_NA
B1,E3_Baseline_primitive_vs_E4_Mutual_primitive,open_edges,,,0.0,0.0,0.0,TIE
B1,E3_Baseline_primitive_vs_E4_Mutual_primitive,nonmanifold_edges,,,0.0,0.0,0.0,TIE
B2,E1_Baseline_rendered_vs_E2_Mutual_rendered,roof_cov,,1.0,,,,TIE_OR_NA
B2,E1_Baseline_rendered_vs_E2_Mutual_rendered,wall_cov,,0.9903333333333333,,,,TIE_OR_NA
B2,E1_Baseline_rendered_vs_E2_Mutual_rendered,ground_cov,,1.0,,,,TIE_OR_NA
B2,E1_Baseline_rendered_vs_E2_Mutual_rendered,semantic_face_acc,,0.9503333333333334,,,,TIE_OR_NA
B2,E1_Baseline_rendered_vs_E2_Mutual_rendered,F,,0.9936626411718663,,,,TIE_OR_NA
B2,E1_Baseline_rendered_vs_E2_Mutual_rendered,precision,,0.9916666666666667,,,,TIE_OR_NA
B2,E1_Baseline_rendered_vs_E2_Mutual_rendered,recall,,0.9956666666666667,,,,TIE_OR_NA
B2,E1_Baseline_rendered_vs_E2_Mutual_rendered,h_err,,0.4710039968325521,,,,TIE_OR_NA
B2,E1_Baseline_rendered_vs_E2_Mutual_rendered,vol_ratio,,2.0815593079997248,,,,TIE_OR_NA
B2,E1_Baseline_rendered_vs_E2_Mutual_rendered,edge_ok,,1.0,,,,TIE_OR_NA
B2,E1_Baseline_rendered_vs_E2_Mutual_rendered,open_edges,,0.0,,,,TIE_OR_NA
B2,E1_Baseline_rendered_vs_E2_Mutual_rendered,nonmanifold_edges,,0.0,,,,TIE_OR_NA
B2,E3_Baseline_primitive_vs_E4_Mutual_primitive,roof_cov,,,0.45066666666666666,1.0,0.5493333333333333,E4_Mutual_primitive
B2,E3_Baseline_primitive_vs_E4_Mutual_primitive,wall_cov,,,0.963,0.9876666666666667,0.024666666666666726,E4_Mutual_primitive
B2,E3_Baseline_primitive_vs_E4_Mutual_primitive,ground_cov,,,0.0,0.0,0.0,TIE_OR_NA
B2,E3_Baseline_primitive_vs_E4_Mutual_primitive,semantic_face_acc,,,0.9316666666666666,0.9433333333333334,0.011666666666666714,E4_Mutual_primitive
B2,E3_Baseline_primitive_vs_E4_Mutual_primitive,F,,,0.828619071560248,0.8938517000465767,0.0652326284863286,E4_Mutual_primitive
B2,E3_Baseline_primitive_vs_E4_Mutual_primitive,precision,,,0.8183333333333334,0.869,0.05066666666666664,E4_Mutual_primitive
B2,E3_Baseline_primitive_vs_E4_Mutual_primitive,recall,,,0.8391666666666666,0.9201666666666667,0.08100000000000007,E4_Mutual_primitive
B2,E3_Baseline_primitive_vs_E4_Mutual_primitive,h_err,,,0.5222468147598232,0.6247989662139943,0.10255215145417118,E3_Baseline_primitive
B2,E3_Baseline_primitive_vs_E4_Mutual_primitive,vol_ratio,,,2.039280260808789,2.0986695350991122,0.05938927429032326,E4_Mutual_primitive
B2,E3_Baseline_primitive_vs_E4_Mutual_primitive,edge_ok,,,1.0,1.0,0.0,TIE_OR_NA
B2,E3_Baseline_primitive_vs_E4_Mutual_primitive,open_edges,,,0.0,0.0,0.0,TIE
