bid,source,F,precision,recall,h_err,vol_ratio,hausdorff,chamfer,footprint_IoU
B0,E0_GT_clean_upper_bound,0.9024049619847939,0.9056666666666666,0.8991666666666667,0.0,2.1983548431372073,2.331414284506052,0.27012476370815514,1.0
B0,E2_Mutual_rendered,0.9603541287057121,0.9526666666666667,0.9681666666666666,0.5267500991966507,1.1011846202996374,1.8606110348057399,0.2284012653310558,1.0
B0,E3_Baseline_primitive,0.8660439592150827,0.8821666666666667,0.8505,0.39044701820446903,1.4066989261640739,2.4325912935316545,0.3181200542085568,1.0
B0,E4_Mutual_primitive,0.8272475739565494,0.8258333333333333,0.8286666666666667,0.5865344131450563,2.0156338278746992,2.5932222128453972,0.3084621499067238,1.0
B1,E0_GT_clean_upper_bound,0.9884995503849829,0.9878333333333333,0.9891666666666666,0.0,1.0000097547675866,0.716354706962,0.20820992713058006,1.0
B1,E2_Mutual_rendered,0.9152138759901667,0.921,0.9095,0.32589166941419023,0.8318257428614786,1.522083312615867,0.26601823424212845,1.0
B1,E3_Baseline_primitive,0.7694956320843259,0.7713333333333333,0.7676666666666667,0.5973087174153449,0.7117182528525458,3.7751048661097872,0.386203223027598,1.0
B1,E4_Mutual_primitive,0.7890801562995036,0.7875,0.7906666666666666,0.5632176605880943,0.9503017829414001,3.481679251061597,0.36086485959664527,1.0
B2,E0_GT_clean_upper_bound,0.9994166597181691,0.9993333333333333,0.9995,1.7763568394002505e-15,2.012147367894347,0.5589936959968972,0.16568023262714543,1.0
B2,E2_Mutual_rendered,0.9936626411718663,0.9916666666666667,0.9956666666666667,0.4710039968325521,2.0815593079997248,0.8439047655335784,0.19871255124475354,1.0
B2,E3_Baseline_primitive,0.828619071560248,0.8183333333333334,0.8391666666666666,0.5222468147598232,2.039280260808789,1.7919161866168214,0.2705572669240168,1.0
B2,E4_Mutual_primitive,0.8938517000465767,0.869,0.9201666666666667,0.6247989662139943,2.0986695350991122,1.0047527280462876,0.22452077583469165,1.0
B8,E0_GT_clean_upper_bound,0.9940813144437923,0.9955,0.9926666666666667,0.0009999999999994458,1.6445875748930436,0.7489718611553016,0.18064461107618812,1.0
B8,E2_Mutual_rendered,0.9170307105215336,0.906,0.9283333333333333,0.46113781590596403,1.5768405803192445,0.8854303155636295,0.21840048693065944,1.0
B8,E3_Baseline_primitive,0.8881420621521916,0.8706666666666667,0.9063333333333333,0.6686138020521941,1.615097234944657,0.967329114331228,0.23522339459204183,1.0
B8,E4_Mutual_primitive,0.8740526115135341,0.8586666666666667,0.89,0.5975710469081168,1.5625251203294277,0.9873972486570328,0.24922539455377113,1.0
B6,E0_GT_clean_upper_bound,0.9365672686297185,0.9498333333333333,0.9236666666666666,3.6069999999999993,0.6464930438013987,3.905623131240507,0.243570355337679,1.0
B6,E2_Mutual_rendered,0.9319523128278494,0.9386666666666666,0.9253333333333333,3.38937412340141,0.6639007633208525,3.60780420490863,0.2399477653748128,1.0
B6,E3_Baseline_primitive,0.822612641815235,0.8293333333333334,0.816,2.960689442070379,0.6162998825082813,4.1841916578437175,0.319278289594209,1.0
B6,E4_Mutual_primitive,0.8335803259022293,0.832,0.8351666666666666,3.0026247571795004,0.658062210212985,3.6486233589429746,0.2948882372101992,1.0
B3,E0_GT_clean_upper_bound,0.43800785207700105,0.4216666666666667,0.45566666666666666,0.0,1.0238178731397176,12.843803156521508,1.1023835402131719,1.0
B3,E2_Mutual_rendered,0.4486254869226488,0.4325,0.466,1.8207417446001521,0.9731801334551874,11.16507198236834,1.0363764128376793,1.0
B3,E3_Baseline_primitive,0.3404918032786885,0.335,0.3461666666666667,3.7663575751335223,0.9546524899005119,10.102817385236577,1.0557442811780529,1.0
B3,E4_Mutual_primitive,0.34483538597762214,0.3358333333333333,0.35433333333333333,3.6932806700854,0.9983135487638483,10.319838024153672,1.0316127197351301,1.0
B123,E0_GT_clean_upper_bound,0.6321675889328063,0.647,0.618,0.0,0.7431837443013092,5.932051009053843,0.7866754955872073,1.0
B123,E2_Mutual_rendered,0.5722756428918001,0.5838333333333333,0.5611666666666667,0.05493656572977912,0.7385634117732891,5.414893169064048,0.8723985328934007,1.0
B123,E3_Baseline_primitive,0.42218880336819953,0.42733333333333334,0.4171666666666667,0.3613921506805582,0.9479121223441074,5.717872908264401,0.9576575692271078,1.0
B123,E4_Mutual_primitive,0.42246213017751477,0.4265,0.4185,0.578354910241373,1.0057244420038767,5.787064855923367,0.9495156606177775,1.0
B126,E0_GT_clean_upper_bound,0.5680710214818062,0.6055,0.535,1.2860000000000014,1.1711836550725598,6.247113402729302,1.0485319718131678,1.0
B126,E2_Mutual_rendered,0.5374054221533695,0.5545,0.5213333333333333,1.1424515213034923,0.4890327144783615,5.40336157047103,1.0271365758525377,1.0
B126,E3_Baseline_primitive,0.41591069761237826,0.43216666666666664,0.4008333333333333,0.841589206280247,0.6654202487506308,5.447119171630939,1.0914589111971549,1.0
B126,E4_Mutual_primitive,0.42120539651201055,0.44133333333333336,0.4028333333333333,0.8237954397920575,0.6616086883770352,5.4583785576495325,1.090753564882637,1.0
B50,E0_GT_clean_upper_bound,0.9450143125844942,0.9571666666666667,0.9331666666666667,0.35700000000000287,0.9689558267934505,1.6963891885548588,0.22099730128601303,1.0
B50,E2_Mutual_rendered,0.9383333037300178,0.9381666666666667,0.9385,0.27220380881142603,1.0043667724221053,1.562614828842291,0.22685344626593257,1.0
B50,E4_Mutual_primitive,0.8407497935044769,0.8403333333333334,0.8411666666666666,0.2190682791471481,1.0203464722006441,1.8750767213051716,0.28831019593201146,1.0
B104,E0_GT_clean_upper_bound,1.0,1.0,1.0,0.0,1.0000000000000053,0.25351624369174525,0.06511118116902322,1.0
B104,E2_Mutual_rendered,0.8331299266195172,0.8903333333333333,0.7828333333333334,0.6116163007342417,0.7344324374550641,0.759673032242964,0.21788578140707418,1.0
B104,E3_Baseline_primitive,0.8689414768013274,0.8336666666666667,0.9073333333333333,0.6171760262351902,1.1542200531368818,0.56208996696299,0.14332644479614742,1.0
