building_id,mono_crop_depth_step_p90_p10_m,ref_roof_z_span_m
DEBY_LOD2_4907184,7.6063,10.2709
DEBY_LOD2_4907185,18.4575,0.0310
DEBY_LOD2_4907198,21.3585,5.4580
DEBY_LOD2_4907202,16.1040,3.2599
DEBY_LOD2_4908168,19.0304,0.0000
DEBY_LOD2_4908178,4.3577,0.4588
DEBY_LOD2_4907199,8.2641,0.0000
DEBY_LOD2_8568391,3.5579,0.0000
DEBY_LOD2_8568392,3.4428,0.0000
DEBY_LOD2_60098,10.4925,0.2941
DEBY_LOD2_4907186,20.4241,0.0769
DEBY_LOD2_4907188,6.1066,0.0159
DEBY_LOD2_4907194,4.1146,1.0917
DEBY_LOD2_4907195,7.1537,0.8058
