arm,replicate,building_id,raw_source,gs_source,raw_density_pts_m2,gs_density_pts_m2,delta_density_gs_minus_raw,raw_coverage_frac,gs_coverage_frac,delta_coverage_gs_minus_raw,raw_ref_dist_rms_m,gs_ref_dist_rms_m,noise_gain_raw_minus_gs_m,raw_normal_structure,gs_normal_structure,delta_normal_modes_gs_minus_raw,raw_has_lod22,gs_has_lod22,raw_shell_bucket,gs_shell_bucket,gs_vs_raw_observation
sparse,r2,DEBY_LOD2_4907194,raw_sparse,gs_sparse_r2,0.0282,0.5312,0.5030,0.0071,0.0141,0.0070,1.2622,1.2228,0.0394,too_few_points,multi_slope,2.0000,false,true,미조립,무효·붕괴,improved_more_axes
sparse,r2,DEBY_LOD2_4907195,raw_sparse,gs_sparse_r2,0.2530,6.5059,6.2529,0.0451,0.1183,0.0732,25.4019,0.5629,24.8390,multi_slope,multi_slope,0.0000,false,true,미조립,조립,improved_more_axes
sparse,r2,DEBY_LOD2_4907198,raw_sparse,gs_sparse_r2,0.1529,8.9133,8.7604,0.0313,0.1203,0.0890,3.1295,2.1871,0.9424,multi_slope,multi_slope,-2.0000,false,true,미조립,조립,improved_more_axes
sparse,r2,DEBY_LOD2_4907199,raw_sparse,gs_sparse_r2,0.0203,7.3007,7.2804,0.0051,0.1043,0.0992,6.0660,5.2574,0.8086,too_few_points,single_slope,1.0000,false,false,미조립,미조립,improved_more_axes
sparse,r2,DEBY_LOD2_4907202,raw_sparse,gs_sparse_r2,0.4113,43.4629,43.0516,0.0764,0.4072,0.3308,0.7135,1.1332,-0.4197,multi_slope,weak_structure,-2.0000,true,true,조립,조립,improved_more_axes
sparse,r2,DEBY_LOD2_4908168,raw_sparse,gs_sparse_r2,0.0347,0.0000,-0.0347,0.0088,0.0000,-0.0088,0.0413,,,too_few_points,too_few_points,0.0000,false,false,미조립,미조립,worsened_more_axes
sparse,r2,DEBY_LOD2_4908178,raw_sparse,gs_sparse_r2,0.0265,20.8090,20.7825,0.0066,0.2665,0.2599,0.2784,4.8542,-4.5758,too_few_points,weak_structure,4.0000,false,true,미조립,조립,improved_more_axes
sparse,r2,DEBY_LOD2_4908179,raw_sparse,gs_sparse_r2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,too_few_points,too_few_points,0.0000,false,false,미조립,미조립,mixed_or_tie
sparse,r2,DEBY_LOD2_60098,raw_sparse,gs_sparse_r2,0.0919,2.0365,1.9446,0.0217,0.0421,0.0204,3.7256,1.3258,2.3998,single_slope,multi_slope,2.0000,false,true,미조립,조립,improved_more_axes
sparse,r2,DEBY_LOD2_8568391,raw_sparse,gs_sparse_r2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,too_few_points,too_few_points,0.0000,false,false,미조립,미조립,mixed_or_tie
