building_id,source_run,source_group,roof_planes,ref_roof_planes,model_normal_mode_count,ref_normal_mode_count,model_tilt_p50_deg,model_tilt_p90_deg,model_z_p10_p90_span_m,shape_class,has_lod22,shell_bucket,completeness,correctness,ref_rms_m,shape_note
DEBY_LOD2_4907186,raw_acmp,raw_acmp,4,2,2,2,43.5242,44.7939,5.2256,multi_plane,true,조립,1.0000,0.5000,2.4179,observed
DEBY_LOD2_4907188,raw_acmp,raw_acmp,4,2,4,2,31.1089,38.7508,2.9709,multi_plane,true,조립,1.0000,0.5000,1.8306,observed
DEBY_LOD2_4907194,raw_acmp,raw_acmp,7,2,4,2,17.9725,35.6675,3.0086,multi_plane,true,조립,1.0000,0.2857,1.7648,observed
DEBY_LOD2_4907195,raw_acmp,raw_acmp,4,2,2,2,34.2564,40.8567,4.3306,multi_plane,true,조립,1.0000,0.5000,2.2543,observed
DEBY_LOD2_4907198,raw_acmp,raw_acmp,6,4,4,3,26.5840,30.8040,2.6083,multi_plane,true,조립,1.0000,0.6667,2.1713,observed
DEBY_LOD2_4907199,raw_acmp,raw_acmp,0,1,0,0,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_planes
DEBY_LOD2_4907202,raw_acmp,raw_acmp,3,2,1,1,4.7178,6.0885,3.6151,multi_plane,true,조립,1.0000,0.6667,2.1561,observed
DEBY_LOD2_4908168,raw_acmp,raw_acmp,1,1,1,1,18.6554,18.6554,1.1902,flat_or_single_plane,true,조립,1.0000,1.0000,2.0838,observed
DEBY_LOD2_4908178,raw_acmp,raw_acmp,0,2,0,2,,,,no_model,false,미조립,0.0000,,,missing_lod22_geometry
DEBY_LOD2_4908179,raw_acmp,raw_acmp,0,1,0,0,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_points
DEBY_LOD2_60098,raw_acmp,raw_acmp,4,2,2,2,44.4060,47.2447,4.5841,multi_plane,true,무효·붕괴,1.0000,0.5000,1.9607,invalid_or_collapse
DEBY_LOD2_8568391,raw_acmp,raw_acmp,0,1,0,0,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_planes
DEBY_LOD2_8568392,raw_acmp,raw_acmp,0,1,0,0,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_points
DEBY_LOD2_108247349,gs_sparse_r1,gs_sparse,0,1,0,1,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_planes
DEBY_LOD2_108247350,gs_sparse_r1,gs_sparse,0,1,0,0,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_points
