method_id,U_target,associated,one_to_one,reference_scorable,G0,G1,G2,G3_candidate,G4_candidate,PASS_candidate,official_PASS_usable,scientific_verdict
C1_L_upper,199,126,1,79,1,1,1,0,5,0,null,null
C2_MVS,199,153,3,79,3,3,3,0,13,0,null,null
C3_GS_image,199,101,10,79,3,3,2,0,3,0,null,null
