stage,count,meaning
U_target,199,all stable-ID buildings in the AOI
UAS_reference_candidate,72,candidate patch reference; not an execution filte
strict_independent_reference,10,strict independent reference evidence
no_reference_but_retained,120,processed and retained with score missingness
