setting,mean_coverage_post_sor,mean_correctness,median_ref_rms_m,has_lod22,val3dity_valid,coverage_delta_vs_base,correctness_delta_vs_base,median_ref_rms_delta_vs_base,tradeoff_note
base,0.1506,0.5637,4.3230,30,41,0.0000,0.0000,0.0000,little_coverage_gain
voxel02,0.0595,0.6458,3.1289,8,34,-0.0911,0.0821,-1.1941,little_coverage_gain
