arm,replicate,run_name,z_min,z_max,n_gaussians,fraction_of_all,opacity_p50,ckpt
arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,520.0000,522.0000,0,0.00000000,,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/ckpt/final.pt
arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,522.0000,524.0000,0,0.00000000,,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/ckpt/final.pt
arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,524.0000,526.0000,0,0.00000000,,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/ckpt/final.pt
arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,526.0000,528.0000,0,0.00000000,,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/ckpt/final.pt
arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,528.0000,530.0000,0,0.00000000,,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/ckpt/final.pt
arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,530.0000,532.0000,0,0.00000000,,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/ckpt/final.pt
arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,532.0000,534.0000,0,0.00000000,,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/ckpt/final.pt
arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,534.0000,536.0000,0,0.00000000,,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/ckpt/final.pt
arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,536.0000,538.0000,0,0.00000000,,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/ckpt/final.pt
arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,538.0000,540.0000,0,0.00000000,,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/ckpt/final.pt
arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,540.0000,542.0000,0,0.00000000,,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/ckpt/final.pt
arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,542.0000,544.0000,0,0.00000000,,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/ckpt/final.pt
arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,544.0000,546.0000,0,0.00000000,,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/ckpt/final.pt
arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,546.0000,548.0000,0,0.00000000,,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/ckpt/final.pt
