building_id,footprint_area_m2,n_exterior_vertices,n_samples,n_views_nadir,n_views_oblique,n_views_total,median_pair_angle_deg,frac_pairs_10_60deg,median_incidence_deg,frac_views_incidence_le60,roof_obs_covered_frac,recon_score_median,recon_score_p10,roof_lowtex_frac,roof_grad_p10,roof_sat_frac,roof_periodicity,roof_lowtex_v4,lowtex_version,occlusion_frac_approx,lowtex_valid,roof_lowtex_v5,roof_grad_p10_v5,roof_sat_frac_v5,lowtex_v5_view,lowtex_v5_zenith_deg,lowtex_v5_frame_r,lowtex_v5_inframe_frac,lowtex_v5_area_px,lowtex_v5_delta_from_v4
DEBY_LOD2_42364609,16.45,4,16,0.0,143.12,143.12,32.1,0.757,78.05,0.244,1.0,114.12,108.554,0.22,0.0124,0.0,0.707,0.886,v4a_carryover_v3_contaminated,0.615,valid,0.546,0.0062,0.0,DJI_20241217084535_0091_D.JPG,60.337,0.623,1.0,9567,-0.34
DEBY_LOD2_42364657,107.3,9,106,0.0,76.55,76.55,32.4,0.838,85.77,0.156,1.0,81.005,71.756,0.077,0.0232,0.0057,0.623,0.652,v4a_carryover_v3_contaminated,0.667,valid,0.382,0.0062,0.0002,DJI_20241217091139_0112_D.JPG,62.051,0.521,1.0,8906,-0.27
DEBY_LOD2_42364659,66.1,9,66,10.67,130.71,141.38,29.51,0.848,80.12,0.307,1.0,197.061,195.888,0.022,0.0496,0.0,0.507,0.474,v4a_carryover_v3_contaminated,1.0,valid,0.522,0.0062,0.0,DJI_20241217091157_0121_D.JPG,3.911,0.264,1.0,112099,0.048
DEBY_LOD2_42364661,58.56,4,58,0.0,76.4,76.4,34.76,0.78,85.97,0.157,1.0,90.953,86.316,0.031,0.0894,0.0347,0.37,0.151,v4a_carryover_v3_contaminated,1.0,valid,0.327,0.0078,0.0,DJI_20241217091235_0140_D.JPG,60.679,0.808,1.0,1623,0.176
DEBY_LOD2_42364663,42.22,6,42,4.83,220.67,225.5,37.65,0.747,72.61,0.225,1.0,143.837,119.569,0.224,0.0123,0.0,0.764,0.921,v4a_carryover_v3_contaminated,0.125,valid,0.446,0.0044,0.0,DJI_20241217084727_0147_D.JPG,6.358,0.682,1.0,13716,-0.475
DEBY_LOD2_42364665,49.28,6,48,4.17,252.67,256.83,35.15,0.831,67.18,0.256,1.0,154.321,147.27,0.046,0.0309,0.0,0.706,0.527,v4a_carryover_v3_contaminated,1.0,valid,0.52,0.0044,0.0,DJI_20241217084853_0190_D.JPG,15.641,0.849,1.0,20835,-0.007
DEBY_LOD2_42364667,45.7,6,44,4.16,247.66,251.82,36.54,0.821,64.01,0.307,1.0,147.648,139.363,0.043,0.0329,0.0,0.584,0.528,v4a_carryover_v3_contaminated,0.25,valid,0.567,0.0044,0.0,DJI_20241217084725_0146_D.JPG,13.147,0.676,1.0,24130,0.039
DEBY_LOD2_4906965,2621.25,158,400,4.15,161.99,166.14,37.97,0.666,67.1,0.367,1.0,128.726,84.155,0.063,0.0265,0.001,0.372,0.553,v4a_carryover_v3_contaminated,0.0,valid,0.603,0.0028,0.0,DJI_20241217094552_0032_D.JPG,84.86,0.774,1.0,41942,0.05
DEBY_LOD2_4906966,1437.02,52,400,4.79,194.31,199.11,40.84,0.672,73.01,0.275,1.0,119.25,101.105,0.011,0.0683,0.0332,0.5,0.309,v4a_carryover_v3_contaminated,0.0,valid,0.537,0.0044,0.0136,DJI_20241217102531_0018_D.JPG,76.677,0.848,1.0,35000,0.228
DEBY_LOD2_4906967,2568.09,30,400,4.72,224.21,228.93,38.34,0.727,71.04,0.292,1.0,136.418,76.995,0.057,0.0357,0.0462,0.427,0.366,v4a_carryover_v3_contaminated,0.0,valid,0.444,0.0044,0.0062,DJI_20241217103125_0019_D.JPG,58.68,0.808,1.0,104296,0.078
