image_idx,image_name,backend,align_a,align_b,mvs_valid_pixels,residual_abs_median_m,residual_abs_p90_m,warp_amp_plane_m,warp_amp_quadratic_m,metric_depth,mono_normal_world
10,DJI_20241217084613_0110_D.JPG,Depth Anything V2 Small vits,-4.53252658,67.77810096,97720,2.1659,8.7897,7.6274,7.7840,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084613_0110_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084613_0110_D.npy
11,DJI_20241217084615_0111_D.JPG,Depth Anything V2 Small vits,-2.17005482,66.75803462,77475,0.8680,2.8773,3.2474,3.4693,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084615_0111_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084615_0111_D.npy
12,DJI_20241217084617_0112_D.JPG,Depth Anything V2 Small vits,-4.06622760,73.53565586,45626,1.6626,4.2997,3.9933,6.0278,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084617_0112_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084617_0112_D.npy
13,DJI_20241217084619_0113_D.JPG,Depth Anything V2 Small vits,2.04878608,55.33019136,35704,2.9895,8.6810,2.4973,9.5003,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084619_0113_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084619_0113_D.npy
14,DJI_20241217084621_0114_D.JPG,Depth Anything V2 Small vits,1.47504029,57.32237557,37585,2.8359,8.3590,2.0081,9.3755,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084621_0114_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084621_0114_D.npy
15,DJI_20241217084623_0115_D.JPG,Depth Anything V2 Small vits,-5.90346312,75.84295970,26814,1.8104,4.8199,6.8997,6.8881,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084623_0115_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084623_0115_D.npy
16,DJI_20241217084639_0123_D.JPG,Depth Anything V2 Small vits,-2.78882799,64.05296696,44600,0.9762,2.5214,2.7919,3.4772,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084639_0123_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084639_0123_D.npy
17,DJI_20241217084643_0125_D.JPG,Depth Anything V2 Small vits,-0.63676332,56.86423418,17428,1.5556,4.3933,1.7802,4.2002,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084643_0125_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084643_0125_D.npy
18,DJI_20241217084645_0126_D.JPG,Depth Anything V2 Small vits,-4.59654136,77.27647836,46702,3.3438,6.1765,1.8821,6.6198,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084645_0126_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084645_0126_D.npy
19,DJI_20241217084647_0127_D.JPG,Depth Anything V2 Small vits,-6.21537006,79.80485843,69469,2.2201,3.8557,3.2538,6.0523,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084647_0127_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084647_0127_D.npy
20,DJI_20241217084649_0128_D.JPG,Depth Anything V2 Small vits,-7.88229585,79.59170233,191313,2.3693,5.7674,7.4411,10.0015,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084649_0128_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084649_0128_D.npy
21,DJI_20241217084651_0129_D.JPG,Depth Anything V2 Small vits,-5.66406162,74.93333250,261059,1.2942,5.9045,7.8519,9.2167,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084651_0129_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084651_0129_D.npy
