arm,replicate,run_name,interval_start_exclusive,interval_end_inclusive,building_id,duplicate_events,split_events,total_events,audit_steps,source
arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,5000,10000,DEBY_LOD2_4908168,0,6,6,25,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r2/audit/densify_events.csv
arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,5000,10000,DEBY_LOD2_4908178,0,55,55,25,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r2/audit/densify_events.csv
arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,10000,15000,DEBY_LOD2_4907184,2314,1103,3417,25,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r2/audit/densify_events.csv
arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,10000,15000,DEBY_LOD2_4907202,15,77,92,25,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r2/audit/densify_events.csv
arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,10000,15000,DEBY_LOD2_4908168,0,2,2,25,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r2/audit/densify_events.csv
arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,10000,15000,DEBY_LOD2_4908178,0,16,16,25,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r2/audit/densify_events.csv
arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,15000,20000,DEBY_LOD2_4907184,1308,647,1955,24,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r2/audit/densify_events.csv
arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,15000,20000,DEBY_LOD2_4907202,5,51,56,24,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r2/audit/densify_events.csv
arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,15000,20000,DEBY_LOD2_4908168,0,6,6,24,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r2/audit/densify_events.csv
arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,15000,20000,DEBY_LOD2_4908178,0,2,2,24,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r2/audit/densify_events.csv
