family,arm,replicate,run_name,building_id,pk_target,has_lod22,pred_direction_mode_count,ref_direction_mode_count,mode_count_delta,pred_mode_azimuths_deg,ref_mode_azimuths_deg,azimuth_min_abs_delta_deg,azimuth_within_25deg,mode_ge1_and_azimuth_within_25deg,pred_roof_face_count,ref_roof_face_count,pred_sloped_face_count,ref_sloped_face_count,mode_definition,cityjson
arm1p_base,arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,DEBY_LOD2_4907186,false,true,1,2,-1,321.1,68.6;248.6,72.5000,false,false,3,2,3,2,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2p_405_repair_20260710_C001/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r2_run_1.city.json
arm1p_base,arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,DEBY_LOD2_4907188,false,true,1,2,-1,329.5,68.8;248.8,80.7000,false,false,1,2,1,2,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2p_405_repair_20260710_C001/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r2_run_1.city.json
arm1p_base,arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,DEBY_LOD2_4907194,false,true,1,2,-1,243.6,69.6;249.6,6.0000,true,true,1,2,1,2,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2p_405_repair_20260710_C001/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r2_run_1.city.json
arm1p_base,arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,DEBY_LOD2_4907195,false,true,1,2,-1,263.7,69.0;249.0,14.7000,true,true,2,2,2,2,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2p_405_repair_20260710_C001/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r2_run_1.city.json
arm1p_base,arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,DEBY_LOD2_4907198,false,true,1,2,-1,338.5,68.8;248.8,89.7000,false,false,2,4,1,3,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2p_405_repair_20260710_C001/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r2_run_1.city.json
arm1p_base,arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,DEBY_LOD2_4907199,false,false,0,0,0,,,,false,false,0,1,0,0,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2p_405_repair_20260710_C001/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r2_run_1.city.json
arm1p_base,arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,DEBY_LOD2_4907202,false,true,1,0,1,340.8,,,false,false,1,2,1,0,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2p_405_repair_20260710_C001/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r2_run_1.city.json
arm1p_base,arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,DEBY_LOD2_4908168,false,false,0,1,-1,,332.1,,false,false,0,1,0,1,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2p_405_repair_20260710_C001/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r2_run_1.city.json
arm1p_base,arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,DEBY_LOD2_4908178,false,false,0,2,-2,,158.7;338.7,,false,false,0,2,0,2,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2p_405_repair_20260710_C001/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r2_run_1.city.json
arm1p_base,arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,DEBY_LOD2_4908179,false,false,0,0,0,,,,false,false,0,1,0,0,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2p_405_repair_20260710_C001/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r2_run_1.city.json
