family,arm,replicate,run_name,building_id,pk_target,has_lod22,pred_direction_mode_count,ref_direction_mode_count,mode_count_delta,pred_mode_azimuths_deg,ref_mode_azimuths_deg,azimuth_min_abs_delta_deg,azimuth_within_25deg,mode_ge1_and_azimuth_within_25deg,pred_roof_face_count,ref_roof_face_count,pred_sloped_face_count,ref_sloped_face_count,mode_definition,cityjson
s3a,s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,DEBY_LOD2_4907194,false,true,1,2,-1,241.2,69.6;249.6,8.4000,true,true,1,2,1,2,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s3a_405_repair_20260713_C001/e5p_s3a_semantic_guided_20260713_C001/base/cityjson/gs_e5_C001_s3a_semantic_guided_r2_run_1.city.json
s3a,s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,DEBY_LOD2_4907195,false,true,1,2,-1,301.4,69.0;249.0,52.4000,false,false,1,2,1,2,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s3a_405_repair_20260713_C001/e5p_s3a_semantic_guided_20260713_C001/base/cityjson/gs_e5_C001_s3a_semantic_guided_r2_run_1.city.json
s3a,s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,DEBY_LOD2_4907198,false,true,2,2,0,235.7;331.3,68.8;248.8,13.1000,true,true,7,4,7,3,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s3a_405_repair_20260713_C001/e5p_s3a_semantic_guided_20260713_C001/base/cityjson/gs_e5_C001_s3a_semantic_guided_r2_run_1.city.json
s3a,s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,DEBY_LOD2_4907199,false,true,1,0,1,253.3,,,false,false,1,1,1,0,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s3a_405_repair_20260713_C001/e5p_s3a_semantic_guided_20260713_C001/base/cityjson/gs_e5_C001_s3a_semantic_guided_r2_run_1.city.json
s3a,s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,DEBY_LOD2_4907202,false,true,0,0,0,,,,false,false,1,2,0,0,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s3a_405_repair_20260713_C001/e5p_s3a_semantic_guided_20260713_C001/base/cityjson/gs_e5_C001_s3a_semantic_guided_r2_run_1.city.json
s3a,s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,DEBY_LOD2_4908168,false,false,0,1,-1,,332.1,,false,false,0,1,0,1,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s3a_405_repair_20260713_C001/e5p_s3a_semantic_guided_20260713_C001/base/cityjson/gs_e5_C001_s3a_semantic_guided_r2_run_1.city.json
s3a,s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,DEBY_LOD2_4908178,false,true,0,2,-2,,158.7;338.7,,false,false,1,2,0,2,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s3a_405_repair_20260713_C001/e5p_s3a_semantic_guided_20260713_C001/base/cityjson/gs_e5_C001_s3a_semantic_guided_r2_run_1.city.json
s3a,s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,DEBY_LOD2_4908179,false,false,0,0,0,,,,false,false,0,1,0,0,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s3a_405_repair_20260713_C001/e5p_s3a_semantic_guided_20260713_C001/base/cityjson/gs_e5_C001_s3a_semantic_guided_r2_run_1.city.json
s3a,s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,DEBY_LOD2_60098,true,true,1,2,-1,301.3,68.9;248.9,52.4000,false,false,1,2,1,2,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s3a_405_repair_20260713_C001/e5p_s3a_semantic_guided_20260713_C001/base/cityjson/gs_e5_C001_s3a_semantic_guided_r2_run_1.city.json
s3a,s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,DEBY_LOD2_8568391,false,false,0,0,0,,,,false,false,0,1,0,0,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s3a_405_repair_20260713_C001/e5p_s3a_semantic_guided_20260713_C001/base/cityjson/gs_e5_C001_s3a_semantic_guided_r2_run_1.city.json
s3a,s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,DEBY_LOD2_8568392,false,false,0,0,0,,,,false,false,0,1,0,0,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s3a_405_repair_20260713_C001/e5p_s3a_semantic_guided_20260713_C001/base/cityjson/gs_e5_C001_s3a_semantic_guided_r2_run_1.city.json
